dataset,method,strategy,update_every_steps,update_every_minutes,window_scores,nominal_window_minutes,note
pleia,quantile_uncalibrated,static,0,0.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,static,0,0.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,periodic,24,240.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,periodic,48,480.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,periodic,144,1440.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,24,240.0,250.0,2500.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,24,240.0,500.0,5000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,24,240.0,1000.0,10000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,48,480.0,250.0,2500.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,48,480.0,500.0,5000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,48,480.0,1000.0,10000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,144,1440.0,250.0,2500.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,144,1440.0,500.0,5000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,cqr,rolling,144,1440.0,1000.0,10000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,static,0,0.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,periodic,24,240.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,periodic,48,480.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,periodic,144,1440.0,,,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,24,240.0,250.0,2500.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,24,240.0,500.0,5000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,24,240.0,1000.0,10000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,48,480.0,250.0,2500.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,48,480.0,500.0,5000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,48,480.0,1000.0,10000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,144,1440.0,250.0,2500.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,144,1440.0,500.0,5000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
pleia,recentred_enbpi,rolling,144,1440.0,1000.0,10000.0,score-count rolling window; missing outcomes can make actual elapsed span longer
