dataset,outer_fold,model_seed
pleia,0,42
pleia,0,43
pleia,0,44
pleia,0,45
pleia,0,46
pleia,1,42
pleia,1,43
pleia,1,44
pleia,1,45
pleia,1,46
pleia,2,43
pleia,2,44
pleia,2,45
pleia,2,46
pleia_energy,0,42
pleia_energy,0,43
pleia_energy,0,44
pleia_energy,0,45
pleia_energy,0,46
pleia_energy,1,42
pleia_energy,1,43
pleia_energy,1,44
pleia_energy,1,45
pleia_energy,1,46
pleia_energy,2,43
pleia_energy,2,44
pleia_energy,2,45
pleia_energy,2,46
rico,0,42
rico,0,43
rico,0,44
rico,0,45
rico,0,46
rico,1,42
rico,1,43
rico,1,44
rico,1,45
rico,1,46
rico,2,43
rico,2,44
rico,2,45
rico,2,46
bdg2,0,42
bdg2,0,43
bdg2,0,44
bdg2,0,45
bdg2,0,46
bdg2,1,42
bdg2,1,43
bdg2,1,44
bdg2,1,45
bdg2,1,46
