dataset,horizon,outer_fold,role,groups,n,membership_hash,row_id_hash,origin_min,origin_max,target_min,target_max
rico,5,2,fit,61,12932,3658387a50ac69383d169c4cd64e0f10af6cb1173d670d23cd36cc41340234e7,c755dd01ece762dbd51ba428c055e8553cdf95dcc026a35d8a864ea2dda9baaa,2023-07-26 15:24:00,2023-08-07 22:55:00,2023-07-26 15:29:00,2023-08-07 23:00:00
rico,5,2,calibration,21,4452,5d80e479d7f2d8194826bd75f476bb30f29d341ebeb04f975816feb43ded72c5,95fbd3e9e78192059585691a00d55cc264e607ec334a8f3a3988fe57e1814fdc,2023-08-07 23:24:00,2023-08-12 02:55:00,2023-08-07 23:29:00,2023-08-12 03:00:00
rico,5,2,test,41,8692,0083f660ce00ba82b7680ac8a176432167c878e986a4911db7dc1df20306108f,7d1aee54ebd66b5f6541f1af4efedc077913db45c4fb7ea01f732b52411d52d0,2023-08-12 07:24:00,2024-02-04 10:55:00,2023-08-12 07:29:00,2024-02-04 11:00:00
rico,5,2,inner0_train,20,4240,c1a4e771c1a038bd72f692838b5d8582f89cb22ed86367cf0f4b67f5ee82d04c,d0fae55550952c749ca4cb3c93ec3f59e8b3a9f62c2bdde723c9cc80c6bf88de,2023-07-26 15:24:00,2023-07-30 22:55:00,2023-07-26 15:29:00,2023-07-30 23:00:00
rico,5,2,inner0_validation,20,4240,e3a07ebc686275bff2d1dc7d8558595990613af830655e24b8a205e8d43a0609,28e29d294b80eeb6a5f8994b0744951494a3e4717e07f370f158f948a33d0e48,2023-07-30 23:24:00,2023-08-03 22:55:00,2023-07-30 23:29:00,2023-08-03 23:00:00
rico,5,2,inner1_train,40,8480,6e488b9c421d5b5bde8e49d51a5acc9fd405fbdec90e71ed8be66f739b614b6e,2208aa8747a405f6e07db0aca45f47b897d2142c3d45af5770fdc650c204e411,2023-07-26 15:24:00,2023-08-03 22:55:00,2023-07-26 15:29:00,2023-08-03 23:00:00
rico,5,2,inner1_validation,21,4452,4ed20a262cd2134ba3c9e63f62e81a4e9e1ba38dc0ab4bbcbffcb4b038b50f0f,f610fdc1f2fd8e841130d8948f2add6ece5b3ea6a1cb4ee8babd9615dfaf6e16,2023-08-03 23:24:00,2023-08-07 22:55:00,2023-08-03 23:29:00,2023-08-07 23:00:00
bdg2,1,2,fit,10,51664,6e0d45c48d3a4b44d9f76f6b73bcfa544059c044e4fcb2bb043113a3ea0c98b3,a768c33faacf5ee1c4dc438e25212bf45d7ea78dfea5619e155deb5319db6fde,2016-01-07 23:00:00,2016-08-12 00:00:00,2016-01-08 00:00:00,2016-08-12 01:00:00
bdg2,1,2,calibration,10,17370,6a3ee02d97428f6ac606609430e38532655800cc84db58c3aa6ea5cd92b5b046,26c6b13b52297d2afd3247d44c89c4f19830685e9ff40c4c6362776af4a4537a,2016-08-12 03:00:00,2016-10-23 11:00:00,2016-08-12 04:00:00,2016-10-23 12:00:00
bdg2,1,2,test,10,34640,c0a9c62ab5c2c19e2bcda261042739e825c4525966fbd8708bf07bb1a963c3a3,b57c00d734ecf2193bf555669b2e5662f0e8634317096680bd62d91bca9d41b9,2016-10-23 13:00:00,2017-03-17 07:00:00,2016-10-23 14:00:00,2017-03-17 08:00:00
bdg2,1,2,inner0_train,10,17103,3b0ce3c40fb104a4f9776689f902c2ebe24fb8f34c3c1dee00a43f065304be50,39798ad61dbc450c98f123d94ad9dd68d17987e19b2eba92912c07cd4315061a,2016-01-07 23:00:00,2016-03-20 05:00:00,2016-01-08 00:00:00,2016-03-20 06:00:00
bdg2,1,2,inner0_validation,10,17225,5107d05697add3596888e9689d63abf9f53717168f4d4e2512a41f0ed22456bf,7f1a703b31df6c2e9b0965dafe1ac65d9043ef8e91b79743ba2c5671dd174389,2016-03-20 07:00:00,2016-05-31 14:00:00,2016-03-20 08:00:00,2016-05-31 15:00:00
bdg2,1,2,inner1_train,10,34328,e84068cb2e5bb9ddf91d2e95c8970ef283ab8f0917ce39666fca328339caea80,2a9ec624a426e36fb1aa25c4c6154cd94037384dc1380aca8518429489b22811,2016-01-07 23:00:00,2016-05-31 14:00:00,2016-01-08 00:00:00,2016-05-31 15:00:00
bdg2,1,2,inner1_validation,10,17316,69372493d379fab7967b2ee8f30590cb6c7908fa72c8046b7992da14d71184e0,870d2f28235a81b4591b8c3e267d4762572c5b01721d5748e2c50872ca667b5a,2016-05-31 16:00:00,2016-08-12 00:00:00,2016-05-31 17:00:00,2016-08-12 01:00:00
