dataset,horizon,role,group_id,n,origin_min,origin_max,target_min,target_max,raw_rows,start,end,season_steps,phase,scheduler_step,target_id,legacy_fold0_roles,proposal_fold0_roles,legacy_fold1_roles,proposal_fold1_roles,legacy_fold2_roles,proposal_fold2_roles
rico,5,fit,P1S1,212,2023-07-26 15:24:00,2023-07-26 18:55:00,2023-07-26 15:29:00,2023-07-26 19:00:00,240.0,2023-07-26 15:01:00,2023-07-26 19:00:00,,1.0,1.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S10,212,2023-07-28 03:24:00,2023-07-28 06:55:00,2023-07-28 03:29:00,2023-07-28 07:00:00,240.0,2023-07-28 03:01:00,2023-07-28 07:00:00,,1.0,10.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S11,212,2023-07-28 07:24:00,2023-07-28 10:55:00,2023-07-28 07:29:00,2023-07-28 11:00:00,240.0,2023-07-28 07:01:00,2023-07-28 11:00:00,,1.0,11.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S12,212,2023-07-28 11:24:00,2023-07-28 14:55:00,2023-07-28 11:29:00,2023-07-28 15:00:00,240.0,2023-07-28 11:01:00,2023-07-28 15:00:00,,1.0,12.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S13,212,2023-07-28 15:24:00,2023-07-28 18:55:00,2023-07-28 15:29:00,2023-07-28 19:00:00,240.0,2023-07-28 15:01:00,2023-07-28 19:00:00,,1.0,13.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S14,212,2023-07-28 19:24:00,2023-07-28 22:55:00,2023-07-28 19:29:00,2023-07-28 23:00:00,240.0,2023-07-28 19:01:00,2023-07-28 23:00:00,,1.0,14.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S15,212,2023-07-28 23:24:00,2023-07-29 02:55:00,2023-07-28 23:29:00,2023-07-29 03:00:00,240.0,2023-07-28 23:01:00,2023-07-29 03:00:00,,1.0,15.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S16,212,2023-07-29 03:24:00,2023-07-29 06:55:00,2023-07-29 03:29:00,2023-07-29 07:00:00,240.0,2023-07-29 03:01:00,2023-07-29 07:00:00,,1.0,16.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S17,212,2023-07-29 07:24:00,2023-07-29 10:55:00,2023-07-29 07:29:00,2023-07-29 11:00:00,240.0,2023-07-29 07:01:00,2023-07-29 11:00:00,,1.0,17.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S2,212,2023-07-26 19:24:00,2023-07-26 22:55:00,2023-07-26 19:29:00,2023-07-26 23:00:00,240.0,2023-07-26 19:01:00,2023-07-26 23:00:00,,1.0,2.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
