horizon,model,seed,outer_fold,estimator_class,phase,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,source
1,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,tuning,252.91565009999977,508956672,714498048,530173952,681340928,205541376,2457260032,2407563264,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_attention_lstm\payload.json
1,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,final_fit,82.52771489999941,707690496,709214208,674459648,675659776,1523712,2457260032,3863891968,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_attention_lstm\payload.json
1,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,calibration,0.3792401999999129,675840000,677224448,633806848,634675200,1384448,2457260032,3978600448,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_attention_lstm\payload.json
1,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,inference,0.3653656000024057,677224448,679329792,634658816,636776448,2105344,2457260032,3978600448,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_attention_lstm\payload.json
1,persistence,42,0,src.pilot_forecasters.Persistence,tuning,0.0006450000000768341,410374144,410390528,369741824,369774592,16384,2457260032,2906071040,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_persistence\payload.json
1,persistence,42,0,src.pilot_forecasters.Persistence,final_fit,0.0004923999986203853,410390528,410390528,369774592,369774592,0,2457260032,2906066944,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_persistence\payload.json
1,persistence,42,0,src.pilot_forecasters.Persistence,calibration,0.0053952000016579404,410390528,410468352,369774592,369774592,77824,2457260032,2905628672,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_persistence\payload.json
1,persistence,42,0,src.pilot_forecasters.Persistence,inference,0.0040239000009023584,410468352,410468352,369774592,369774592,0,2457260032,2904891392,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_persistence\payload.json
1,xgboost,42,0,xgboost.sklearn.XGBRegressor,tuning,4.353503899998032,412602368,524963840,371032064,546107392,112361472,2457260032,2720321536,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_xgboost\payload.json
1,xgboost,42,0,xgboost.sklearn.XGBRegressor,final_fit,1.2833855000026233,505630720,526725120,526786560,548229120,21094400,2457260032,2717405184,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_xgboost\payload.json
1,xgboost,42,0,xgboost.sklearn.XGBRegressor,calibration,0.10583609999957844,519921664,519966720,541306880,541335552,45056,2457260032,2703241216,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_xgboost\payload.json
1,xgboost,42,0,xgboost.sklearn.XGBRegressor,inference,0.1025798999980907,519966720,519974912,541319168,541335552,8192,2457260032,2696957952,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h1_f0_s42_xgboost\payload.json
3,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,tuning,241.38085390000003,422682624,543645696,379736064,515510272,120963072,2457006080,2817028096,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_attention_lstm\payload.json
3,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,final_fit,68.47716389999994,502853632,536887296,468766720,508116992,34033664,2457006080,2472734720,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_attention_lstm\payload.json
3,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,calibration,0.5106491000000233,504401920,504401920,466014208,466956288,0,2457006080,3634937856,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_attention_lstm\payload.json
3,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,inference,0.5225679000000127,502296576,506380288,466956288,470155264,4083712,2457006080,3658108928,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_attention_lstm\payload.json
3,persistence,42,0,src.pilot_forecasters.Persistence,tuning,0.0005634999979520217,693739520,693755904,650977280,651010048,16384,2457260032,3942875136,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_persistence\payload.json
3,persistence,42,0,src.pilot_forecasters.Persistence,final_fit,0.000872299999173265,693755904,693755904,651010048,651010048,0,2457260032,3942875136,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_persistence\payload.json
3,persistence,42,0,src.pilot_forecasters.Persistence,calibration,0.005169799998839153,693739520,693755904,650977280,651010048,16384,2457260032,3942875136,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_persistence\payload.json
3,persistence,42,0,src.pilot_forecasters.Persistence,inference,0.004166999999142718,693755904,693755904,651010048,651010048,0,2457260032,3943026688,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_persistence\payload.json
3,xgboost,42,0,xgboost.sklearn.XGBRegressor,tuning,4.189542000000074,692441088,699756544,649928704,657371136,7315456,2457260032,3919396864,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_xgboost\payload.json
3,xgboost,42,0,xgboost.sklearn.XGBRegressor,final_fit,1.2421013999992283,694431744,702578688,652054528,660180992,8146944,2457260032,3925164032,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_xgboost\payload.json
3,xgboost,42,0,xgboost.sklearn.XGBRegressor,calibration,0.10141920000023674,695689216,695693312,653254656,653271040,4096,2457260032,3925479424,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_xgboost\payload.json
3,xgboost,42,0,xgboost.sklearn.XGBRegressor,inference,0.10132490000250982,695689216,695693312,653254656,653271040,4096,2457260032,3923869696,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h3_f0_s42_xgboost\payload.json
6,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,tuning,164.95222739999997,621244416,670683136,648847360,708542464,49438720,2457006080,3363393536,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_attention_lstm\payload.json
6,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,final_fit,51.45261340000002,653623296,662777856,693952512,700796928,9154560,2457006080,3634659328,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_attention_lstm\payload.json
6,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,calibration,0.388137699999902,654336000,655654912,692244480,693112832,1318912,2457006080,3684024320,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_attention_lstm\payload.json
6,attention_lstm,42,0,src.attention_lstm.AttentionLSTM,inference,0.4450994000000037,655650816,656437248,693096448,693833728,786432,2457006080,3679928320,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_attention_lstm\payload.json
6,persistence,42,0,src.pilot_forecasters.Persistence,tuning,0.0005330000000185464,509612032,509628416,470388736,470421504,16384,2457006080,3655966720,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_persistence\payload.json
6,persistence,42,0,src.pilot_forecasters.Persistence,final_fit,0.00041840000005777256,509628416,509628416,470421504,470421504,0,2457006080,3655966720,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_persistence\payload.json
6,persistence,42,0,src.pilot_forecasters.Persistence,calibration,0.005260300000031748,509612032,509628416,470388736,470421504,16384,2457006080,3655471104,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_persistence\payload.json
6,persistence,42,0,src.pilot_forecasters.Persistence,inference,0.004077300000062678,509628416,509628416,470421504,470421504,0,2457006080,3654737920,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_persistence\payload.json
6,xgboost,42,0,xgboost.sklearn.XGBRegressor,tuning,4.982808100000057,509689856,625360896,470388736,653479936,115671040,2457006080,3495739392,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_xgboost\payload.json
6,xgboost,42,0,xgboost.sklearn.XGBRegressor,final_fit,1.3295131999999512,620040192,627662848,648163328,655802368,7622656,2457006080,3498864640,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_xgboost\payload.json
6,xgboost,42,0,xgboost.sklearn.XGBRegressor,calibration,0.10940660000005664,620736512,620740608,648871936,648888320,4096,2457006080,3509530624,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_xgboost\payload.json
6,xgboost,42,0,xgboost.sklearn.XGBRegressor,inference,0.10729560000004312,620736512,620748800,648871936,648896512,12288,2457006080,3503337472,0.05,outputs\model_comparison_pilot_v1\runs\pilot_v1_20260913\units\h6_f0_s42_xgboost\payload.json
