role,family,severity,requested,effective,distinct_effective_onsets,placed,null,rejected,outer_fold
inner0_selection,random_missing,0.5,63,16,16,63,47,0,2
inner0_selection,random_missing,1.0,63,36,36,63,27,0,2
inner0_selection,random_missing,2.0,63,52,52,63,11,0,2
inner0_selection,block_missing,0.5,64,64,64,64,0,0,2
inner0_selection,block_missing,1.0,65,65,65,65,0,0,2
inner0_selection,block_missing,2.0,65,65,64,65,0,0,2
inner0_selection,stuck,0.5,65,64,63,65,1,0,2
inner0_selection,stuck,1.0,65,65,65,65,0,0,2
inner0_selection,stuck,2.0,65,64,64,65,1,0,2
inner0_selection,dropout,0.5,65,65,64,65,0,0,2
inner0_selection,dropout,1.0,65,65,65,65,0,0,2
inner0_selection,dropout,2.0,65,65,65,65,0,0,2
inner0_selection,bias,0.5,65,65,65,65,0,0,2
inner0_selection,bias,1.0,65,65,65,65,0,0,2
inner0_selection,bias,2.0,65,65,65,65,0,0,2
inner0_selection,level_shift,0.5,65,65,65,65,0,0,2
inner0_selection,level_shift,1.0,65,65,65,65,0,0,2
inner0_selection,level_shift,2.0,65,65,65,65,0,0,2
inner0_selection,drift,0.5,65,65,65,65,0,0,2
inner0_selection,drift,1.0,64,64,63,64,0,0,2
inner0_selection,drift,2.0,63,63,63,63,0,0,2
inner1_selection,random_missing,0.5,63,22,21,63,41,0,2
inner1_selection,random_missing,1.0,63,43,43,63,20,0,2
inner1_selection,random_missing,2.0,63,51,51,63,12,0,2
inner1_selection,block_missing,0.5,64,64,63,64,0,0,2
inner1_selection,block_missing,1.0,65,65,65,65,0,0,2
inner1_selection,block_missing,2.0,65,65,65,65,0,0,2
inner1_selection,stuck,0.5,65,60,60,65,5,0,2
inner1_selection,stuck,1.0,65,64,64,65,1,0,2
inner1_selection,stuck,2.0,65,61,61,65,4,0,2
inner1_selection,dropout,0.5,65,65,65,65,0,0,2
inner1_selection,dropout,1.0,65,65,65,65,0,0,2
inner1_selection,dropout,2.0,65,64,64,65,1,0,2
inner1_selection,bias,0.5,65,65,65,65,0,0,2
inner1_selection,bias,1.0,65,65,65,65,0,0,2
inner1_selection,bias,2.0,65,65,65,65,0,0,2
inner1_selection,level_shift,0.5,65,65,65,65,0,0,2
inner1_selection,level_shift,1.0,65,65,65,65,0,0,2
inner1_selection,level_shift,2.0,65,65,65,65,0,0,2
inner1_selection,drift,0.5,65,65,62,65,0,0,2
inner1_selection,drift,1.0,64,64,64,64,0,0,2
inner1_selection,drift,2.0,63,63,63,63,0,0,2
outer_test,random_missing,0.5,171,54,53,171,117,0,2
outer_test,random_missing,1.0,172,99,98,172,73,0,2
outer_test,random_missing,2.0,173,158,158,173,15,0,2
outer_test,block_missing,0.5,174,174,174,174,0,0,2
outer_test,block_missing,1.0,175,175,175,175,0,0,2
outer_test,block_missing,2.0,175,175,175,175,0,0,2
outer_test,stuck,0.5,175,162,161,175,13,0,2
outer_test,stuck,1.0,175,165,165,175,10,0,2
outer_test,stuck,2.0,175,172,171,175,3,0,2
outer_test,dropout,0.5,175,175,174,175,0,0,2
outer_test,dropout,1.0,174,174,174,174,0,0,2
outer_test,dropout,2.0,173,173,173,173,0,0,2
outer_test,bias,0.5,172,172,172,172,0,0,2
outer_test,bias,1.0,171,171,171,171,0,0,2
outer_test,bias,2.0,170,170,170,170,0,0,2
outer_test,level_shift,0.5,170,170,170,170,0,0,2
outer_test,level_shift,1.0,170,170,170,170,0,0,2
outer_test,level_shift,2.0,170,170,170,170,0,0,2
outer_test,drift,0.5,170,170,169,170,0,0,2
outer_test,drift,1.0,170,170,170,170,0,0,2
outer_test,drift,2.0,170,170,170,170,0,0,2
inner0_selection,random_missing,0.5,96,41,41,96,55,0,1
inner0_selection,random_missing,1.0,97,58,58,97,39,0,1
inner0_selection,random_missing,2.0,98,84,84,98,14,0,1
inner0_selection,block_missing,0.5,99,99,98,99,0,0,1
inner0_selection,block_missing,1.0,100,100,100,100,0,0,1
inner0_selection,block_missing,2.0,100,100,100,100,0,0,1
inner0_selection,stuck,0.5,100,91,91,100,9,0,1
inner0_selection,stuck,1.0,100,96,96,100,4,0,1
