outer_fold,role,method,fit_objects,sub_estimators,estimator_class,fit_identity
2,inner0_selection,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,2be84ec41330bfdf398da2e6cf52d9c8892a845d11b3b5b4991566042aabe4e4
2,inner1_selection,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,a5c1f97d466ac86e8c15849eb4e2d64c87218d3128a340143dc743e77ed05770
2,outer_test,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,881d2599ebe4191f5bd5c094757fee78bc06e6cb15aa47363d2394426b7d08a9
2,outer_test,persistence_split,0,0,persistence.target_lag_0,cacc3af5481c71c8ff45995c91b493a53fdd51a4e5bf59f0828c6fc7dd293892
1,inner0_selection,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,a70995038f272556e013d7a797dea2d86b0522c59bc2c30b2a30df7a40e00510
1,inner1_selection,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,288ece03d2139b7165519e4977470df2a51829ec6172aad3e41a6a860a2cd08e
1,outer_test,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,64536be6247e76f17486c38f715347c43766924929eda3d09ac2b0432d4ae02c
1,outer_test,persistence_split,0,0,persistence.target_lag_0,c2adad80ccd214c69024643e75f438532243238704ec79a2756ccf2c4ca7b5df
0,inner0_selection,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,bcf1503cbfcda291dd4c36bdebcdc9fc1bb0e45750bb8d22816c54c604bdf32c
0,inner1_selection,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,8946d9932df2a6ba8c5324a0676d39e6878e75e6babd49ca982b9f16bd071b4f
0,outer_test,cqr,1,3,sklearn.ensemble.HistGradientBoostingRegressor,cb532498928991b37d8b01c24e6b04a971becd08158c0ab5f7fd8c2fbf9f6d7c
0,outer_test,persistence_split,0,0,persistence.target_lag_0,137456a547f64472d34f4e7f72bbde05a55b5b2694b459187d819ac83046f0f6
