outer_fold,selection,decision,candidate_id,operational_feasible,settings,source_hash
2,primary,no_feasible_configuration,,False,null,8218d9f461811fa9075c2966c394cae2344ae61f073887ff356af82025c8f4e4
2,inverse,selected,c0024_ba16b82adffd,True,"{""applicable"": true, ""candidate_id"": ""c0024_ba16b82adffd"", ""every"": 12, ""k"": 1, ""level"": 0.95, ""m"": 1, ""method"": ""cqr"", ""min_samples"": 50, ""rule_id"": ""single_sample"", ""strategy"": ""rolling"", ""window"": 200, ""window_minutes"": 60.0}",8218d9f461811fa9075c2966c394cae2344ae61f073887ff356af82025c8f4e4
2,baseline,no_feasible_configuration,,False,null,8218d9f461811fa9075c2966c394cae2344ae61f073887ff356af82025c8f4e4
2,conformal_only,no_feasible_configuration,,False,null,8218d9f461811fa9075c2966c394cae2344ae61f073887ff356af82025c8f4e4
2,temporal,no_feasible_configuration,,False,null,8218d9f461811fa9075c2966c394cae2344ae61f073887ff356af82025c8f4e4
2,full,no_feasible_configuration,,False,null,8218d9f461811fa9075c2966c394cae2344ae61f073887ff356af82025c8f4e4
1,primary,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
1,inverse,selected,c0024_ba16b82adffd,True,"{""applicable"": true, ""candidate_id"": ""c0024_ba16b82adffd"", ""every"": 12, ""k"": 1, ""level"": 0.95, ""m"": 1, ""method"": ""cqr"", ""min_samples"": 50, ""rule_id"": ""single_sample"", ""strategy"": ""rolling"", ""window"": 200, ""window_minutes"": 60.0}",203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
1,baseline,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
1,conformal_only,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
1,temporal,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
1,full,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
0,primary,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
0,inverse,selected,c0024_ba16b82adffd,True,"{""applicable"": true, ""candidate_id"": ""c0024_ba16b82adffd"", ""every"": 12, ""k"": 1, ""level"": 0.95, ""m"": 1, ""method"": ""cqr"", ""min_samples"": 50, ""rule_id"": ""single_sample"", ""strategy"": ""rolling"", ""window"": 200, ""window_minutes"": 60.0}",203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
0,baseline,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
0,conformal_only,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
0,temporal,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
0,full,no_feasible_configuration,,False,null,203f3babf66c98ac072ad450abec5ea7ce3d60473f02708fa64ac2102ea3f7c9
