candidate_id,group_id,exposure_days,clean_episodes,unmatched_episodes,corrupted_episodes,time_in_alert_days,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,tp0,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,outer_fold
c0000_f5146f1247fa,Eagle_assembly_Benny,144.79166666666666,199.0,956.0,1232.0,14.825,7.0,9.0,16.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,16.0,19.0,20.0,20.0,6.0,6.0,6.0,20.0,19.0,17.0,11.0,16.0,15.0,7.0,15.0,15.0,5.0,12.0,15.0,2
c0000_f5146f1247fa,Eagle_assembly_Ian,144.79166666666666,374.0,1723.0,2018.0,20.808333333333334,6.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,6.0,8.0,15.0,15.0,15.0,12.0,8.0,8.0,6.0,15.0,16.0,17.0,14.0,18.0,20.0,14.0,18.0,18.0,15.0,18.0,19.0,2
c0000_f5146f1247fa,Fox_education_Henrietta,144.79166666666666,157.0,751.0,1051.0,12.291666666666666,6.0,15.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,6.0,15.0,18.0,20.0,19.0,20.0,6.0,8.0,8.0,19.0,18.0,16.0,14.0,15.0,15.0,13.0,15.0,14.0,11.0,14.0,16.0,2
c0000_f5146f1247fa,Hog_assembly_Colette,144.79166666666666,521.0,2360.0,2675.0,28.25,6.0,8.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,6.0,8.0,11.0,15.0,15.0,14.0,9.0,9.0,10.0,16.0,17.0,18.0,16.0,18.0,20.0,18.0,20.0,19.0,19.0,19.0,18.0,2
c0000_f5146f1247fa,Hog_assembly_Dona,144.79166666666666,284.0,1347.0,1638.0,16.791666666666668,3.0,13.0,17.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,3.0,13.0,17.0,19.0,20.0,17.0,8.0,8.0,12.0,17.0,16.0,15.0,13.0,15.0,15.0,10.0,15.0,15.0,11.0,15.0,17.0,2
c0000_f5146f1247fa,Lamb_assembly_Bertie,144.79166666666666,220.0,1074.0,1347.0,36.1,4.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,16.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,3.0,7.0,12.0,13.0,13.0,14.0,6.0,9.0,13.0,16.0,15.0,18.0,17.0,17.0,19.0,16.0,16.0,16.0,9.0,13.0,11.0,2
c0000_f5146f1247fa,Lamb_assembly_Cesar,144.79166666666666,107.0,541.0,764.0,35.63333333333333,9.0,12.0,16.0,20.0,19.0,18.0,13.0,10.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,6.0,11.0,11.0,16.0,14.0,15.0,3.0,5.0,12.0,12.0,10.0,14.0,7.0,12.0,11.0,7.0,8.0,13.0,10.0,14.0,12.0,2
c0000_f5146f1247fa,Moose_education_Ricardo,144.04166666666666,136.0,630.0,904.0,11.308333333333334,3.0,7.0,15.0,15.0,16.0,17.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,3.0,7.0,15.0,15.0,16.0,17.0,2.0,4.0,8.0,20.0,20.0,20.0,16.0,17.0,18.0,8.0,16.0,15.0,9.0,13.0,15.0,2
c0000_f5146f1247fa,Mouse_health_Estela,144.79166666666666,74.0,415.0,702.0,8.799999999999999,6.0,11.0,18.0,17.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,6.0,11.0,18.0,17.0,16.0,15.0,3.0,7.0,6.0,15.0,15.0,15.0,10.0,16.0,17.0,11.0,17.0,20.0,14.0,19.0,19.0,2
c0000_f5146f1247fa,Mouse_health_Justin,144.79166666666666,249.0,1111.0,1414.0,17.525,4.0,8.0,16.0,18.0,19.0,20.0,17.0,20.0,19.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,4.0,7.0,15.0,18.0,19.0,20.0,10.0,11.0,11.0,20.0,18.0,18.0,16.0,16.0,15.0,12.0,15.0,15.0,13.0,15.0,15.0,2
