role,candidate_id,family,severity,channel,n_events,n_detected,recall,outer_fold
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,availability_only,16,16,1.0,2
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,numerical_only,16,6,0.375,2
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,combined,16,16,1.0,2
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,availability_only,36,36,1.0,2
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,numerical_only,36,14,0.3888888888888889,2
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,combined,36,35,0.9722222222222222,2
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,availability_only,52,52,1.0,2
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,numerical_only,52,17,0.3269230769230769,2
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,combined,52,51,0.9807692307692308,2
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,availability_only,64,64,1.0,2
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,numerical_only,64,23,0.359375,2
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,combined,64,64,1.0,2
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,availability_only,65,65,1.0,2
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,numerical_only,65,19,0.2923076923076923,2
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,combined,65,64,0.9846153846153848,2
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,availability_only,65,65,1.0,2
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,numerical_only,65,23,0.3538461538461538,2
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,combined,65,61,0.9384615384615383,2
inner0_selection,c0000_f5146f1247fa,stuck,0.5,availability_only,64,0,0.0,2
inner0_selection,c0000_f5146f1247fa,stuck,0.5,numerical_only,64,27,0.421875,2
inner0_selection,c0000_f5146f1247fa,stuck,0.5,combined,64,27,0.421875,2
inner0_selection,c0000_f5146f1247fa,stuck,1.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,stuck,1.0,numerical_only,65,17,0.2615384615384615,2
inner0_selection,c0000_f5146f1247fa,stuck,1.0,combined,65,17,0.2615384615384615,2
inner0_selection,c0000_f5146f1247fa,stuck,2.0,availability_only,64,0,0.0,2
inner0_selection,c0000_f5146f1247fa,stuck,2.0,numerical_only,64,23,0.359375,2
inner0_selection,c0000_f5146f1247fa,stuck,2.0,combined,64,23,0.359375,2
inner0_selection,c0000_f5146f1247fa,dropout,0.5,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,dropout,0.5,numerical_only,65,63,0.9692307692307692,2
inner0_selection,c0000_f5146f1247fa,dropout,0.5,combined,65,63,0.9692307692307692,2
inner0_selection,c0000_f5146f1247fa,dropout,1.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,dropout,1.0,numerical_only,65,63,0.9692307692307692,2
inner0_selection,c0000_f5146f1247fa,dropout,1.0,combined,65,63,0.9692307692307692,2
inner0_selection,c0000_f5146f1247fa,dropout,2.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,dropout,2.0,numerical_only,65,62,0.953846153846154,2
inner0_selection,c0000_f5146f1247fa,dropout,2.0,combined,65,62,0.953846153846154,2
inner0_selection,c0000_f5146f1247fa,bias,0.5,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,bias,0.5,numerical_only,65,26,0.4,2
inner0_selection,c0000_f5146f1247fa,bias,0.5,combined,65,26,0.4,2
inner0_selection,c0000_f5146f1247fa,bias,1.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,bias,1.0,numerical_only,65,42,0.6461538461538462,2
inner0_selection,c0000_f5146f1247fa,bias,1.0,combined,65,42,0.6461538461538462,2
inner0_selection,c0000_f5146f1247fa,bias,2.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,bias,2.0,numerical_only,65,52,0.8,2
inner0_selection,c0000_f5146f1247fa,bias,2.0,combined,65,52,0.8,2
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,numerical_only,65,29,0.4461538461538462,2
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,combined,65,29,0.4461538461538462,2
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,numerical_only,65,43,0.6615384615384615,2
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,combined,65,43,0.6615384615384615,2
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,availability_only,65,0,0.0,2
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,numerical_only,65,51,0.7846153846153846,2
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,combined,65,51,0.7846153846153846,2
inner0_selection,c0000_f5146f1247fa,drift,0.5,availability_only,65,0,0.0,2
