outer_fold,invocation,nested_in_checkpoint,event,utc,phase,status,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds
2,run,False,phase_end,2026-09-13T11:20:19.652289+00:00,preparation,complete,4.877276600000187,356184064,1024704512,312926208,999006208,668520448,1036832768,3680841728,0.05
2,run,False,phase_end,2026-09-13T11:20:21.481209+00:00,windows,complete,1.8292435000003024,390897664,507240448,345387008,461705216,116342784,1036832768,4190052352,0.05
2,run,False,phase_end,2026-09-13T11:20:30.056280+00:00,prefit_identity,complete,5.703807300000335,464744448,490172416,417955840,443518976,25427968,1036832768,4209623040,0.05
2,run,True,phase_end,2026-09-13T11:23:22.125778+00:00,inner0_fit_replay_score,complete,170.8935418000001,482693120,1111388160,436310016,1066045440,628695040,1112596480,3595997184,0.05
2,run,True,phase_end,2026-09-13T11:26:13.352832+00:00,inner1_fit_replay_score,complete,171.21612119999918,782233600,1400573952,737816576,1358938112,618340352,1423626240,3343097856,0.05
2,run,True,phase_end,2026-09-13T11:33:35.945290+00:00,outer_fit_replay_score,complete,441.3175712000011,1621917696,2720698368,1579528192,2686783488,1098780672,2754732032,1994489856,0.05
2,run,False,phase_end,2026-09-13T11:36:31.495635+00:00,checkpoint_compute_save_verify,complete,961.438728000001,465862656,3839774720,419794944,3816112128,3373912064,3901652992,1498148864,0.05
2,run,False,phase_end,2026-09-13T11:36:37.095754+00:00,output_validation,complete,5.599683799999184,1695805440,2166538240,1670287360,2140590080,470732800,3901652992,3471953920,0.05
2,resume,False,phase_end,2026-09-13T11:39:54.355502+00:00,preparation,complete,4.746372900001006,356954112,923332608,313270272,1001852928,566378496,1038360576,4305174528,0.05
2,resume,False,phase_end,2026-09-13T11:39:56.145679+00:00,windows,complete,1.787082200000441,391548928,507518976,346259456,461963264,115970048,1038360576,4662104064,0.05
2,resume,False,phase_end,2026-09-13T11:40:01.097482+00:00,prefit_identity,complete,2.1097188999992795,463822848,485384192,416722944,439595008,21561344,1038360576,4734574592,0.05
2,resume,False,phase_end,2026-09-13T11:41:04.504864+00:00,checkpoint_load_verify,complete,63.403578199999174,479682560,4686430208,432971776,4713062400,4206747648,4748304384,633327616,0.05
2,resume,False,phase_end,2026-09-13T11:41:09.044937+00:00,output_validation,complete,4.537305099998775,2538078208,3065163776,2500378624,3028242432,527085568,4748304384,2219560960,0.05
1,run,False,phase_end,2026-09-13T13:31:56.517176+00:00,preparation,complete,4.866715299998759,356937728,986353664,313569280,1001463808,629415936,1038544896,4644769792,0.05
1,run,False,phase_end,2026-09-13T13:31:58.356572+00:00,windows,complete,1.8379089000009117,391864320,507953152,347398144,463159296,116088832,1038544896,5108727808,0.05
1,run,False,phase_end,2026-09-13T13:32:13.529708+00:00,prefit_identity,complete,12.306045000001177,464736256,501968896,417976320,455434240,37232640,1038544896,5067964416,0.05
1,run,True,phase_end,2026-09-13T13:36:22.343770+00:00,inner0_fit_replay_score,complete,247.16478959999586,487170048,1379098624,440160256,1353752576,891928576,1434701824,4731355136,0.05
1,run,True,phase_end,2026-09-13T13:40:31.390149+00:00,inner1_fit_replay_score,complete,249.04305469999963,928645120,1847615488,896618496,1811419136,918970368,1903325184,4310896640,0.05
1,run,True,phase_end,2026-09-13T13:47:35.606756+00:00,outer_fit_replay_score,complete,422.5482800000027,2190733312,3271614464,2156748800,3240644608,1080881152,3313614848,3153731584,0.05
1,run,False,phase_end,2026-09-13T13:50:38.692563+00:00,checkpoint_compute_save_verify,complete,1105.1602582999985,483528704,3257851904,437960704,3226034176,2774323200,3313614848,3169148928,0.05
1,run,False,phase_end,2026-09-13T13:50:44.965578+00:00,output_validation,complete,6.269566900002246,1985798144,2645471232,1952923648,2612756480,659673088,3313614848,3583426560,0.05
1,resume,False,phase_end,2026-09-13T13:59:54.074269+00:00,preparation,complete,4.8053397000039695,357625856,903114752,314208256,998821888,545488896,1037307904,5462986752,0.05
1,resume,False,phase_end,2026-09-13T13:59:56.074994+00:00,windows,complete,1.9972133000046597,391827456,507326464,347877376,463421440,115499008,1037307904,5856579584,0.05
1,resume,False,phase_end,2026-09-13T14:00:06.125692+00:00,prefit_identity,complete,7.208200300003227,466296832,496680960,419438592,451026944,30384128,1037307904,5844586496,0.05
1,resume,False,phase_end,2026-09-13T14:00:46.789570+00:00,checkpoint_load_verify,complete,40.66046079999796,487358464,3251847168,440913920,3214467072,2764488704,3313573888,3179180032,0.05
1,resume,False,phase_end,2026-09-13T14:00:52.907482+00:00,output_validation,complete,6.114133600000059,3087925248,3758608384,3051958272,3723350016,670683136,3758608384,2671472640,0.05
0,run,False,phase_end,2026-09-13T14:01:25.051103+00:00,preparation,complete,4.822619999999006,356954112,993017856,313651200,1003032576,636063744,1037766656,4948226048,0.05
0,run,False,phase_end,2026-09-13T14:01:27.013425+00:00,windows,complete,1.9560555999996723,391188480,506839040,346390528,461750272,115650560,1037766656,5467537408,0.05
0,run,False,phase_end,2026-09-13T14:01:45.238641+00:00,prefit_identity,complete,15.311926200003654,464101376,513273856,417316864,466575360,49172480,1037766656,5831503872,0.05
0,run,True,phase_end,2026-09-13T14:07:20.547506+00:00,inner0_fit_replay_score,complete,333.1060056999995,483033088,1667719168,437039104,1659768832,1184686080,1751175168,5089218560,0.05
0,run,True,phase_end,2026-09-13T14:12:42.882284+00:00,inner1_fit_replay_score,complete,322.3332612000013,1089200128,2311282688,1059241984,2283679744,1222082560,2385907712,3976036352,0.05
0,run,True,phase_end,2026-09-13T14:20:07.479887+00:00,outer_fit_replay_score,complete,442.4426824999973,2768363520,3826946048,2735345664,3794608128,1058582528,3882496000,2701361152,0.05
0,run,False,phase_end,2026-09-13T14:23:53.625809+00:00,checkpoint_compute_save_verify,complete,1328.3850050999972,483303424,3826946048,437145600,3794608128,3343642624,3882496000,2701361152,0.05
0,run,False,phase_end,2026-09-13T14:24:00.874322+00:00,output_validation,complete,7.244957199996861,2198147072,2964545536,2263195648,3008217088,766398464,3882496000,4210950144,0.05
0,resume,False,phase_end,2026-09-13T14:29:45.680550+00:00,preparation,complete,5.422889100002067,357322752,1023119360,313991168,1001930752,665796608,1038487552,5359300608,0.05
0,resume,False,phase_end,2026-09-13T14:29:47.487234+00:00,windows,complete,1.8036367999957292,391958528,507838464,347693056,463425536,115879936,1038487552,5906636800,0.05
0,resume,False,phase_end,2026-09-13T14:29:58.951445+00:00,prefit_identity,complete,8.669551600003615,464846848,502591488,418205696,457043968,37744640,1038487552,5911953408,0.05
0,resume,False,phase_end,2026-09-13T14:30:50.171190+00:00,checkpoint_load_verify,complete,51.21478819999902,486961152,3851788288,440610816,3817738240,3364827136,3913285632,2633371648,0.05
0,resume,False,phase_end,2026-09-13T14:30:57.530646+00:00,output_validation,complete,7.355906500000856,3688935424,4495155200,3655864320,4463218688,806219776,4495155200,1998536704,0.05
