group_id,status,pre_coverage,window_steps,recovery_minutes,recovery_censored,followup_minutes,role,candidate_id,catalogue_seed
Eagle_assembly_Benny,observed,0.9583333333333334,2,120.0,False,540.0,inner0_selection,c0000_f5146f1247fa,42
Eagle_assembly_Ian,observed,0.875,10,600.0,False,2460.0,inner0_selection,c0000_f5146f1247fa,42
Fox_education_Henrietta,observed,1.0,12,720.0,False,3000.0,inner0_selection,c0000_f5146f1247fa,42
Hog_assembly_Colette,right_censored,0.543859649122807,5,,True,1260.0,inner0_selection,c0000_f5146f1247fa,42
Hog_assembly_Dona,observed,0.864406779661017,9,600.0,False,2220.0,inner0_selection,c0000_f5146f1247fa,42
Lamb_assembly_Bertie,observed,0.6153846153846154,7,780.0,False,1860.0,inner0_selection,c0000_f5146f1247fa,42
Lamb_assembly_Cesar,right_censored,0.9035532994923858,4,,True,960.0,inner0_selection,c0000_f5146f1247fa,42
Moose_education_Ricardo,observed,1.0,2,120.0,False,480.0,inner0_selection,c0000_f5146f1247fa,42
Mouse_health_Estela,observed,1.0,1,60.0,False,300.0,inner0_selection,c0000_f5146f1247fa,42
Mouse_health_Justin,observed,0.6666666666666666,24,5160.0,False,8520.0,inner0_selection,c0000_f5146f1247fa,42
Eagle_assembly_Benny,right_censored,0.9108910891089109,5,,True,1200.0,inner0_selection,c0000_f5146f1247fa,43
Eagle_assembly_Ian,observed,0.8348623853211009,22,1320.0,False,5400.0,inner0_selection,c0000_f5146f1247fa,43
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6660.0,inner0_selection,c0000_f5146f1247fa,43
Hog_assembly_Colette,right_censored,0.5517241379310345,22,,True,5400.0,inner0_selection,c0000_f5146f1247fa,43
Hog_assembly_Dona,observed,0.75,24,1560.0,False,7200.0,inner0_selection,c0000_f5146f1247fa,43
Lamb_assembly_Bertie,right_censored,0.37735849056603776,19,,True,4740.0,inner0_selection,c0000_f5146f1247fa,43
Lamb_assembly_Cesar,right_censored,0.875,1,,True,180.0,inner0_selection,c0000_f5146f1247fa,43
