role,candidate_id,family,severity,channel,n_events,n_detected,recall
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,availability_only,41,41,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,numerical_only,41,11,0.2682926829268293
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,combined,41,40,0.975609756097561
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,availability_only,58,58,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,numerical_only,58,17,0.29310344827586204
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,combined,58,57,0.9827586206896551
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,availability_only,84,84,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,numerical_only,84,23,0.27380952380952384
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,combined,84,84,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,availability_only,99,99,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,numerical_only,99,32,0.32323232323232326
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,combined,99,93,0.9393939393939394
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,availability_only,100,100,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,numerical_only,100,35,0.35
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,combined,100,97,0.97
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,availability_only,100,100,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,numerical_only,100,31,0.31
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,combined,100,95,0.95
inner0_selection,c0000_f5146f1247fa,stuck,0.5,availability_only,91,0,0.0
inner0_selection,c0000_f5146f1247fa,stuck,0.5,numerical_only,91,30,0.32967032967032966
inner0_selection,c0000_f5146f1247fa,stuck,0.5,combined,91,30,0.32967032967032966
inner0_selection,c0000_f5146f1247fa,stuck,1.0,availability_only,96,0,0.0
inner0_selection,c0000_f5146f1247fa,stuck,1.0,numerical_only,96,25,0.2604166666666667
inner0_selection,c0000_f5146f1247fa,stuck,1.0,combined,96,25,0.2604166666666667
inner0_selection,c0000_f5146f1247fa,stuck,2.0,availability_only,94,0,0.0
inner0_selection,c0000_f5146f1247fa,stuck,2.0,numerical_only,94,29,0.30851063829787234
inner0_selection,c0000_f5146f1247fa,stuck,2.0,combined,94,29,0.30851063829787234
inner0_selection,c0000_f5146f1247fa,dropout,0.5,availability_only,96,0,0.0
inner0_selection,c0000_f5146f1247fa,dropout,0.5,numerical_only,96,94,0.9791666666666666
inner0_selection,c0000_f5146f1247fa,dropout,0.5,combined,96,94,0.9791666666666666
inner0_selection,c0000_f5146f1247fa,dropout,1.0,availability_only,97,0,0.0
inner0_selection,c0000_f5146f1247fa,dropout,1.0,numerical_only,97,96,0.9896907216494846
inner0_selection,c0000_f5146f1247fa,dropout,1.0,combined,97,96,0.9896907216494846
inner0_selection,c0000_f5146f1247fa,dropout,2.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,dropout,2.0,numerical_only,95,87,0.9157894736842105
inner0_selection,c0000_f5146f1247fa,dropout,2.0,combined,95,87,0.9157894736842105
inner0_selection,c0000_f5146f1247fa,bias,0.5,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,bias,0.5,numerical_only,95,35,0.3684210526315789
inner0_selection,c0000_f5146f1247fa,bias,0.5,combined,95,35,0.3684210526315789
inner0_selection,c0000_f5146f1247fa,bias,1.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,bias,1.0,numerical_only,95,57,0.6
inner0_selection,c0000_f5146f1247fa,bias,1.0,combined,95,57,0.6
inner0_selection,c0000_f5146f1247fa,bias,2.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,bias,2.0,numerical_only,95,75,0.7894736842105263
inner0_selection,c0000_f5146f1247fa,bias,2.0,combined,95,75,0.7894736842105263
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,numerical_only,95,39,0.4105263157894737
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,combined,95,39,0.4105263157894737
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,numerical_only,95,53,0.5578947368421052
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,combined,95,53,0.5578947368421052
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,numerical_only,95,70,0.7368421052631579
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,combined,95,70,0.7368421052631579
inner0_selection,c0000_f5146f1247fa,drift,0.5,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,drift,0.5,numerical_only,95,28,0.29473684210526313
inner0_selection,c0000_f5146f1247fa,drift,0.5,combined,95,28,0.29473684210526313
inner0_selection,c0000_f5146f1247fa,drift,1.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,drift,1.0,numerical_only,95,41,0.43157894736842106
inner0_selection,c0000_f5146f1247fa,drift,1.0,combined,95,41,0.43157894736842106
inner0_selection,c0000_f5146f1247fa,drift,2.0,availability_only,95,0,0.0
inner0_selection,c0000_f5146f1247fa,drift,2.0,numerical_only,95,62,0.6526315789473685
inner0_selection,c0000_f5146f1247fa,drift,2.0,combined,95,62,0.6526315789473685
inner0_selection,c0001_ee0570e08213,random_missing,0.5,availability_only,41,1,0.024390243902439025
inner0_selection,c0001_ee0570e08213,random_missing,0.5,numerical_only,41,2,0.04878048780487805
inner0_selection,c0001_ee0570e08213,random_missing,0.5,combined,41,6,0.14634146341463414
inner0_selection,c0001_ee0570e08213,random_missing,1.0,availability_only,58,4,0.06896551724137931
