role,n,groups,asset_days,membership_hash
B0,19493,10,812.2083333333333,6b39a734a6d30dacae7d4ba38ae1ae66af959b9901a9bad286996af3578b7535
B1,19522,10,813.4166666666666,5dcea04d04d62538fa411b78a46d8f2be78d345331f5abbffa485d6ec81b9a6a
B2,19530,10,813.75,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
B3,19544,10,814.3333333333333,00f3fea8b698522edbba92983340452c7da0081a8f1c1b5c5aeea6863252a9e6
final_fit,78089,10,3253.708333333333,97951bc6a8e667911244bfdb862c3405e999cf6cf04aa0051ea7a5a04155711d
final_calibration,26048,10,1085.3333333333333,f31a05cf1008911348d751cdf22f70490ad963ad7d181d172fbd8792a73f1807
outer_test,34645,10,1443.5416666666665,8fd8f4dec671c62c09faf21a1cb16cb011669515a949902959c08927d839ce8b
inner0_train,19493,10,812.2083333333333,6b39a734a6d30dacae7d4ba38ae1ae66af959b9901a9bad286996af3578b7535
inner0_calibration,19522,10,813.4166666666666,5dcea04d04d62538fa411b78a46d8f2be78d345331f5abbffa485d6ec81b9a6a
inner0_selection,19530,10,813.75,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
inner1_train,39015,10,1625.625,d0d9278e975a8a10b072ca63e6244fb0ee4e726b24b38a80900fbd78c7f98435
inner1_calibration,19530,10,813.75,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
inner1_selection,19544,10,814.3333333333333,00f3fea8b698522edbba92983340452c7da0081a8f1c1b5c5aeea6863252a9e6
