outer_fold,role,path,preflight_file_sha256,requested,attempted,placed,effective,null,rejected,asset_days,hostable_asset_days,requested_incidence,realised_incidence,requested_schedule_incidence,duration_steps,guard_steps,tolerance_steps,catalogue_seed,namespace_seed,catalogue_hash,zero_control
2,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner0_selection_e42_catalogue.csv.gz,9583777b3c0ba48033951243cdad80639e5b970afb1b906c4ab02a8e927ff4c1,271,271,271,246,25,0,541.7499999999999,541.7499999999999,0.5,0.454083987078911,0.5002307337332719,4,6,3,42,4137932173110083896,04da9c743004ef23e070db7db59d55ff848388591130ddbad319a0cb738c6f4b,False
2,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner0_selection_e43_catalogue.csv.gz,15440c1c0d508f096589247be946667bd9aed5036c7d4e271e8c5f37284a0fda,271,271,271,256,15,0,541.7499999999999,541.7499999999999,0.5,0.4725426857406554,0.5002307337332719,4,6,3,43,12794207207245660067,e168c526856ec2547ba9be8651d2832867b207a3ce0bff3ecfa2aedb0a75f756,False
2,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner0_selection_e44_catalogue.csv.gz,10dfbfcde0bb52267c394b6780cf28b24e862030a7839640d370f84da0263f22,271,271,271,257,14,0,541.7499999999999,541.7499999999999,0.5,0.4743885556068298,0.5002307337332719,4,6,3,44,16475096941811569541,6df8cf2ca4acc901bcbef5e9cdd3bd7d4ed683b34d4acdc8a071b0a858a69f81,False
2,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner0_selection_e45_catalogue.csv.gz,60c500772cc3b5a5ea33e77762c7d8ff3edbbdf9ecd0eb62825598f7cf33ccc2,271,271,271,253,18,0,541.7499999999999,541.7499999999999,0.5,0.4670050761421321,0.5002307337332719,4,6,3,45,7699786071447564326,9005a576a2836613207e3c67fbd375d816d131edaef61b0cd53bec5d45ed540d,False
2,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner0_selection_e46_catalogue.csv.gz,de480086a6d52538ab523567e8f96af120bad439f35b47927fe248bb9db17417,271,271,271,256,15,0,541.7499999999999,541.7499999999999,0.5,0.4725426857406554,0.5002307337332719,4,6,3,46,1460282289547087247,3873806c58ebca4905530bc1320dceadd5f75eedbb6705c2a634bdd8f40b0c21,False
2,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner1_selection_e42_catalogue.csv.gz,2b1bb63edc7b1e255d174c341cffdcd8bdf69b81e236f6075de6592fe259fcaf,271,271,271,256,15,0,542.9166666666667,542.9166666666667,0.5,0.4715272448196469,0.4991557943207981,4,6,3,42,795109317134205569,4fdaf46ff28fd3729354a4d07986ad08a46ae541157a02f42bf333ddcde1aa36,False
2,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner1_selection_e43_catalogue.csv.gz,5ec2c2965e83aa85d949ebc4a8f4e772d6b0ecf53f0b8fc01e472b68ca65b52b,271,271,271,252,19,0,542.9166666666667,542.9166666666667,0.5,0.46415963161933993,0.4991557943207981,4,6,3,43,10356299746094725545,9ad858d0ff8755c4d3450ece652c976f98f84c619dc99ebbd91ac67c0f7c368a,False
2,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner1_selection_e44_catalogue.csv.gz,4a91abe85161bf6cd5f3142ea0f68ae5f93a9744a407474d586e850c9955a67a,271,271,271,252,19,0,542.9166666666667,542.9166666666667,0.5,0.46415963161933993,0.4991557943207981,4,6,3,44,12551968638414986661,5901a04809abab95be6b6f0aa660ee8439dc247427da77585730e6499157ea3b,False
2,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner1_selection_e45_catalogue.csv.gz,2f8de7b7b0e56c2ce3afd497981fec57a99465d44fbfef9503a985840faaccbf,271,271,271,252,19,0,542.9166666666667,542.9166666666667,0.5,0.46415963161933993,0.4991557943207981,4,6,3,45,1193204682909679537,9c0b295a3162788e3d3f7c0d773cc8f2c2e3927fdbd4511c0338de83ff7e2587,False
2,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f2_inner1_selection_e46_catalogue.csv.gz,1cff50ac9b7c3a88e1476079695b443db4c29617a96309089ee16085896cbab9,271,271,271,259,12,0,542.9166666666667,542.9166666666667,0.5,0.47705295471987713,0.4991557943207981,4,6,3,46,7875035030635351728,10e9b7a4f5f2ac0348c5ae535ea232eb7d340193c1b85942200a604c76fe7007,False
2,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f2_outer_test_e42_catalogue.csv.gz,34a97a647def030c837f4d6b0479d9f7bd28e1953e2521f34c24d3a65313430f,724,724,724,677,47,0,1447.1666666666667,1447.1666666666667,0.5,0.46781066451687203,0.5002879189220315,4,6,3,42,4878597358044853064,913d91bea821a0921da86690537deaf353df3e9bbdf6cc0850006d5b8c577590,False
2,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f2_outer_test_e43_catalogue.csv.gz,e6f43bbcebe81f74864fa296859c917f3bddd51d12f22ad05a76c48599fe459b,724,724,724,668,56,0,1447.1666666666667,1447.1666666666667,0.5,0.4615916158009904,0.5002879189220315,4,6,3,43,16251131334239060283,4b77c3cdd65cf55d00578a88070ce3a24bbbe836ea1e7dc5d7b7e4c843d9ff4e,False
2,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f2_outer_test_e44_catalogue.csv.gz,449801c907e63d159f9c644e86567d1ddfec8307d48cccca50de4ed66b7713cb,724,724,724,680,44,0,1447.1666666666667,1447.1666666666667,0.5,0.46988368075549924,0.5002879189220315,4,6,3,44,6463191820984637743,e51b341fc93afb72f75394de0ba086ec5ad56058ea0ecbd31c4dded1be2030f5,False
2,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f2_outer_test_e45_catalogue.csv.gz,87e03ce3fb228d162c463e3d17e0c50f52ea797f704a16eb33ba2ff7ae7359ca,724,724,724,684,40,0,1447.1666666666667,1447.1666666666667,0.5,0.47264770240700216,0.5002879189220315,4,6,3,45,9652989130865091146,d7dd3d72fb47062b8a5157869d2e7eefaea4a3c9dbf168be53eb3abbfa1bb93c,False
2,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f2_outer_test_e46_catalogue.csv.gz,2fd6ca2a683d3a350e2a868b63688cb3755f11b59948eac8fa7f8db78e868643,724,724,724,680,44,0,1447.1666666666667,1447.1666666666667,0.5,0.46988368075549924,0.5002879189220315,4,6,3,46,12804938601696877786,517526a7c90ead5bcd65ed713ec552be578d3b5628f18458b04ad4b8c9880969,False
1,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner0_selection_e42_catalogue.csv.gz,3fba2222d823eec30bcc2c3a908a4ce8a00ae87e5485a86485729afd3e86a473,407,407,407,387,20,0,813.75,813.75,0.5,0.47557603686635946,0.5001536098310292,4,6,3,42,10468701026496525889,c618c2372462dce52d6c6f7bc6ed320cd34532cb5c58e0b69d14fed6ef1a555d,False
1,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner0_selection_e43_catalogue.csv.gz,44a23f5f017f0ccf3e046525dc85f6ba16aea03245b67ca4bd2de8bb7e2caac4,407,407,407,378,29,0,813.75,813.75,0.5,0.4645161290322581,0.5001536098310292,4,6,3,43,5177812935867748806,6fc1d5d1b1754c1f1d7edb175f5dc803083618aa04549f44bc478ded5677a813,False
1,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner0_selection_e44_catalogue.csv.gz,4ef7ccfc178a24bd126c7a3fef31f321bf129d22df7de7d7f527009a8d71ee69,407,407,407,385,22,0,813.75,813.75,0.5,0.4731182795698925,0.5001536098310292,4,6,3,44,2328809423603595243,16ce9e020b0148e52767f72b759f5a2159909ec3f094863975a6f63af79b1925,False
1,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner0_selection_e45_catalogue.csv.gz,d5ae71df788b573603cd74f629f54720c768d276800239cda8a488e622ca4bbc,407,407,407,377,30,0,813.75,813.75,0.5,0.4632872503840246,0.5001536098310292,4,6,3,45,13770592880997950823,669db01504eef16a0c1757cf934316e0c6357076fc11da465750ac22dcda3ecb,False
1,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner0_selection_e46_catalogue.csv.gz,6a957d1ed2129580529b83251e4703ace54270c94ffedab105ccb4e455f31c79,407,407,407,379,28,0,813.75,813.75,0.5,0.46574500768049154,0.5001536098310292,4,6,3,46,6466099228810674027,c0948bff1b64c45cfce623988454a78826bc4d1390107df4ce41e619bae3aa9a,False
1,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner1_selection_e42_catalogue.csv.gz,8a04fbadb6635a9f315f5f56b32c1cbe549f85a96539944c80228e9ddac601f3,407,407,407,383,24,0,814.3333333333334,814.3333333333334,0.5,0.47032337290216947,0.49979533360622186,4,6,3,42,15351686225870054152,dfc35b23488df15870c00109c492fe487e955bd98afa01488d06a8115757b515,False
