outer_fold,role,family,severity,requested,placed,effective,distinct_onsets,null,rejected,support
2,inner0_selection,random_missing,0.5,63,63,16,16,47,0,True
2,inner0_selection,random_missing,1.0,63,63,36,36,27,0,True
2,inner0_selection,random_missing,2.0,63,63,52,52,11,0,True
2,inner0_selection,block_missing,0.5,64,64,64,64,0,0,True
2,inner0_selection,block_missing,1.0,65,65,65,65,0,0,True
2,inner0_selection,block_missing,2.0,65,65,65,64,0,0,True
2,inner0_selection,stuck,0.5,65,65,64,63,1,0,True
2,inner0_selection,stuck,1.0,65,65,65,65,0,0,True
2,inner0_selection,stuck,2.0,65,65,64,64,1,0,True
2,inner0_selection,dropout,0.5,65,65,65,64,0,0,True
2,inner0_selection,dropout,1.0,65,65,65,65,0,0,True
2,inner0_selection,dropout,2.0,65,65,65,65,0,0,True
2,inner0_selection,bias,0.5,65,65,65,65,0,0,True
2,inner0_selection,bias,1.0,65,65,65,65,0,0,True
2,inner0_selection,bias,2.0,65,65,65,65,0,0,True
2,inner0_selection,level_shift,0.5,65,65,65,65,0,0,True
2,inner0_selection,level_shift,1.0,65,65,65,65,0,0,True
2,inner0_selection,level_shift,2.0,65,65,65,65,0,0,True
2,inner0_selection,drift,0.5,65,65,65,65,0,0,True
2,inner0_selection,drift,1.0,64,64,64,63,0,0,True
2,inner0_selection,drift,2.0,63,63,63,63,0,0,True
2,inner1_selection,random_missing,0.5,63,63,22,21,41,0,True
2,inner1_selection,random_missing,1.0,63,63,43,43,20,0,True
2,inner1_selection,random_missing,2.0,63,63,51,51,12,0,True
2,inner1_selection,block_missing,0.5,64,64,64,63,0,0,True
2,inner1_selection,block_missing,1.0,65,65,65,65,0,0,True
2,inner1_selection,block_missing,2.0,65,65,65,65,0,0,True
2,inner1_selection,stuck,0.5,65,65,60,60,5,0,True
2,inner1_selection,stuck,1.0,65,65,64,64,1,0,True
2,inner1_selection,stuck,2.0,65,65,61,61,4,0,True
2,inner1_selection,dropout,0.5,65,65,65,65,0,0,True
2,inner1_selection,dropout,1.0,65,65,65,65,0,0,True
2,inner1_selection,dropout,2.0,65,65,64,64,1,0,True
2,inner1_selection,bias,0.5,65,65,65,65,0,0,True
2,inner1_selection,bias,1.0,65,65,65,65,0,0,True
2,inner1_selection,bias,2.0,65,65,65,65,0,0,True
2,inner1_selection,level_shift,0.5,65,65,65,65,0,0,True
2,inner1_selection,level_shift,1.0,65,65,65,65,0,0,True
2,inner1_selection,level_shift,2.0,65,65,65,65,0,0,True
2,inner1_selection,drift,0.5,65,65,65,62,0,0,True
2,inner1_selection,drift,1.0,64,64,64,64,0,0,True
2,inner1_selection,drift,2.0,63,63,63,63,0,0,True
2,outer_test,random_missing,0.5,171,171,54,53,117,0,True
2,outer_test,random_missing,1.0,172,172,99,98,73,0,True
2,outer_test,random_missing,2.0,173,173,158,158,15,0,True
2,outer_test,block_missing,0.5,174,174,174,174,0,0,True
2,outer_test,block_missing,1.0,175,175,175,175,0,0,True
2,outer_test,block_missing,2.0,175,175,175,175,0,0,True
2,outer_test,stuck,0.5,175,175,162,161,13,0,True
2,outer_test,stuck,1.0,175,175,165,165,10,0,True
2,outer_test,stuck,2.0,175,175,172,171,3,0,True
2,outer_test,dropout,0.5,175,175,175,174,0,0,True
2,outer_test,dropout,1.0,174,174,174,174,0,0,True
2,outer_test,dropout,2.0,173,173,173,173,0,0,True
2,outer_test,bias,0.5,172,172,172,172,0,0,True
2,outer_test,bias,1.0,171,171,171,171,0,0,True
2,outer_test,bias,2.0,170,170,170,170,0,0,True
2,outer_test,level_shift,0.5,170,170,170,170,0,0,True
2,outer_test,level_shift,1.0,170,170,170,170,0,0,True
2,outer_test,level_shift,2.0,170,170,170,170,0,0,True
2,outer_test,drift,0.5,170,170,170,169,0,0,True
2,outer_test,drift,1.0,170,170,170,170,0,0,True
2,outer_test,drift,2.0,170,170,170,170,0,0,True
1,inner0_selection,random_missing,0.5,96,96,41,41,55,0,True
1,inner0_selection,random_missing,1.0,97,97,58,58,39,0,True
1,inner0_selection,random_missing,2.0,98,98,84,84,14,0,True
1,inner0_selection,block_missing,0.5,99,99,99,98,0,0,True
1,inner0_selection,block_missing,1.0,100,100,100,100,0,0,True
1,inner0_selection,block_missing,2.0,100,100,100,100,0,0,True
1,inner0_selection,stuck,0.5,100,100,91,91,9,0,True
1,inner0_selection,stuck,1.0,100,100,96,96,4,0,True
1,inner0_selection,stuck,2.0,99,99,94,93,5,0,True
1,inner0_selection,dropout,0.5,98,98,96,96,2,0,True
1,inner0_selection,dropout,1.0,97,97,97,97,0,0,True
1,inner0_selection,dropout,2.0,96,96,95,95,1,0,True
1,inner0_selection,bias,0.5,95,95,95,95,0,0,True
1,inner0_selection,bias,1.0,95,95,95,95,0,0,True
1,inner0_selection,bias,2.0,95,95,95,95,0,0,True
1,inner0_selection,level_shift,0.5,95,95,95,95,0,0,True
1,inner0_selection,level_shift,1.0,95,95,95,95,0,0,True
1,inner0_selection,level_shift,2.0,95,95,95,95,0,0,True
1,inner0_selection,drift,0.5,95,95,95,95,0,0,True
1,inner0_selection,drift,1.0,95,95,95,95,0,0,True
1,inner0_selection,drift,2.0,95,95,95,95,0,0,True
1,inner1_selection,random_missing,0.5,96,96,38,38,58,0,True
1,inner1_selection,random_missing,1.0,97,97,57,57,40,0,True
1,inner1_selection,random_missing,2.0,98,98,89,89,9,0,True
1,inner1_selection,block_missing,0.5,99,99,99,99,0,0,True
1,inner1_selection,block_missing,1.0,100,100,100,100,0,0,True
1,inner1_selection,block_missing,2.0,100,100,100,100,0,0,True
1,inner1_selection,stuck,0.5,100,100,96,96,4,0,True
1,inner1_selection,stuck,1.0,100,100,100,99,0,0,True
