dataset,rule_id,window_minutes,k,m,applicable
pleia,single_sample,10.0,1,1,True
pleia,5min_2of0,5.0,2,0,False
pleia,15min_3of1,15.0,3,1,False
pleia,30min_3of3,30.0,3,3,True
pleia,60min_4of6,60.0,4,6,True
pleia,180min_3of18,180.0,3,18,True
pleia,360min_4of36,360.0,4,36,True
pleia_energy,single_sample,10.0,1,1,True
pleia_energy,5min_2of0,5.0,2,0,False
pleia_energy,15min_3of1,15.0,3,1,False
pleia_energy,30min_3of3,30.0,3,3,True
pleia_energy,60min_4of6,60.0,4,6,True
pleia_energy,180min_3of18,180.0,3,18,True
pleia_energy,360min_4of36,360.0,4,36,True
rico,single_sample,1.0,1,1,True
rico,5min_2of5,5.0,2,5,True
rico,15min_3of15,15.0,3,15,True
rico,30min_3of30,30.0,3,30,True
rico,60min_4of60,60.0,4,60,True
rico,180min_3of180,180.0,3,180,True
rico,360min_4of360,360.0,4,360,True
bdg2,single_sample,60.0,1,1,True
bdg2,5min_2of0,5.0,2,0,False
bdg2,15min_3of0,15.0,3,0,False
bdg2,30min_3of0,30.0,3,0,False
bdg2,60min_4of1,60.0,4,1,False
bdg2,180min_3of3,180.0,3,3,True
bdg2,360min_4of6,360.0,4,6,True
