dataset,outer_fold,role,family,severity,requested,placed,effective,distinct_onsets,null,rejected,support
pleia,0,inner0_selection,random_missing,0.5,6,6,2,2,4,0,False
pleia,0,inner0_selection,random_missing,1.0,7,7,5,5,2,0,True
pleia,0,inner0_selection,random_missing,2.0,8,8,8,8,0,0,True
pleia,0,inner0_selection,block_missing,0.5,9,9,9,9,0,0,True
pleia,0,inner0_selection,block_missing,1.0,10,10,10,10,0,0,True
pleia,0,inner0_selection,block_missing,2.0,9,9,9,9,0,0,True
pleia,0,inner0_selection,stuck,0.5,8,8,8,8,0,0,True
pleia,0,inner0_selection,stuck,1.0,7,7,7,7,0,0,True
pleia,0,inner0_selection,stuck,2.0,6,6,6,6,0,0,True
pleia,0,inner0_selection,dropout,0.5,5,5,5,5,0,0,True
pleia,0,inner0_selection,dropout,1.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,dropout,2.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,bias,0.5,5,5,5,5,0,0,True
pleia,0,inner0_selection,bias,1.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,bias,2.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia,0,inner0_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,drift,0.5,5,5,5,5,0,0,True
pleia,0,inner0_selection,drift,1.0,5,5,5,5,0,0,True
pleia,0,inner0_selection,drift,2.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,random_missing,0.5,6,6,3,3,3,0,False
pleia,0,inner1_selection,random_missing,1.0,7,7,5,5,2,0,True
pleia,0,inner1_selection,random_missing,2.0,8,8,7,7,1,0,True
pleia,0,inner1_selection,block_missing,0.5,9,9,9,9,0,0,True
pleia,0,inner1_selection,block_missing,1.0,10,10,10,10,0,0,True
pleia,0,inner1_selection,block_missing,2.0,9,9,9,9,0,0,True
pleia,0,inner1_selection,stuck,0.5,8,8,8,8,0,0,True
pleia,0,inner1_selection,stuck,1.0,7,7,6,6,1,0,True
pleia,0,inner1_selection,stuck,2.0,6,6,6,6,0,0,True
pleia,0,inner1_selection,dropout,0.5,5,5,5,5,0,0,True
pleia,0,inner1_selection,dropout,1.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,dropout,2.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,bias,0.5,5,5,5,5,0,0,True
