dataset,outer_fold,left,right,run_intersections,passed
pleia,0,inner0_train,inner0_calibration,0,True
pleia,0,inner0_calibration,inner0_selection,0,True
pleia,0,inner1_train,inner1_calibration,0,True
pleia,0,inner1_calibration,inner1_selection,0,True
pleia,0,final_fit,final_calibration,0,True
pleia,0,final_calibration,outer_test,0,True
pleia,1,inner0_train,inner0_calibration,0,True
pleia,1,inner0_calibration,inner0_selection,0,True
pleia,1,inner1_train,inner1_calibration,0,True
pleia,1,inner1_calibration,inner1_selection,0,True
pleia,1,final_fit,final_calibration,0,True
pleia,1,final_calibration,outer_test,0,True
pleia,2,inner0_train,inner0_calibration,0,True
pleia,2,inner0_calibration,inner0_selection,0,True
pleia,2,inner1_train,inner1_calibration,0,True
pleia,2,inner1_calibration,inner1_selection,0,True
pleia,2,final_fit,final_calibration,0,True
pleia,2,final_calibration,outer_test,0,True
pleia_energy,0,inner0_train,inner0_calibration,0,True
pleia_energy,0,inner0_calibration,inner0_selection,0,True
pleia_energy,0,inner1_train,inner1_calibration,0,True
pleia_energy,0,inner1_calibration,inner1_selection,0,True
pleia_energy,0,final_fit,final_calibration,0,True
pleia_energy,0,final_calibration,outer_test,0,True
pleia_energy,1,inner0_train,inner0_calibration,0,True
pleia_energy,1,inner0_calibration,inner0_selection,0,True
pleia_energy,1,inner1_train,inner1_calibration,0,True
pleia_energy,1,inner1_calibration,inner1_selection,0,True
pleia_energy,1,final_fit,final_calibration,0,True
pleia_energy,1,final_calibration,outer_test,0,True
pleia_energy,2,inner0_train,inner0_calibration,0,True
pleia_energy,2,inner0_calibration,inner0_selection,0,True
pleia_energy,2,inner1_train,inner1_calibration,0,True
pleia_energy,2,inner1_calibration,inner1_selection,0,True
pleia_energy,2,final_fit,final_calibration,0,True
pleia_energy,2,final_calibration,outer_test,0,True
rico,0,inner0_train,inner0_calibration,0,True
rico,0,inner0_calibration,inner0_selection,0,True
rico,0,inner1_train,inner1_calibration,0,True
rico,0,inner1_calibration,inner1_selection,0,True
rico,0,final_fit,final_calibration,0,True
rico,0,final_calibration,outer_test,0,True
rico,1,inner0_train,inner0_calibration,0,True
rico,1,inner0_calibration,inner0_selection,0,True
rico,1,inner1_train,inner1_calibration,0,True
rico,1,inner1_calibration,inner1_selection,0,True
rico,1,final_fit,final_calibration,0,True
rico,1,final_calibration,outer_test,0,True
rico,2,inner0_train,inner0_calibration,0,True
rico,2,inner0_calibration,inner0_selection,0,True
rico,2,inner1_train,inner1_calibration,0,True
rico,2,inner1_calibration,inner1_selection,0,True
rico,2,final_fit,final_calibration,0,True
rico,2,final_calibration,outer_test,0,True
