dataset,group_id,raw_rows,start,end,season_steps,phase,scheduler_step,target_id,legacy_fold0_roles,proposal_fold0_roles,legacy_fold1_roles,proposal_fold1_roles,legacy_fold2_roles,proposal_fold2_roles
rico,P1S1,240,2023-07-26 15:01:00,2023-07-26 19:00:00,,1.0,1.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S2,240,2023-07-26 19:01:00,2023-07-26 23:00:00,,1.0,2.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S4,240,2023-07-27 03:01:00,2023-07-27 07:00:00,,1.0,4.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S5,240,2023-07-27 07:01:00,2023-07-27 11:00:00,,1.0,5.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S7,240,2023-07-27 15:01:00,2023-07-27 19:00:00,,1.0,7.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S8,240,2023-07-27 19:01:00,2023-07-27 23:00:00,,1.0,8.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S9,240,2023-07-27 23:01:00,2023-07-28 03:00:00,,1.0,9.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S10,240,2023-07-28 03:01:00,2023-07-28 07:00:00,,1.0,10.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S11,240,2023-07-28 07:01:00,2023-07-28 11:00:00,,1.0,11.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S12,240,2023-07-28 11:01:00,2023-07-28 15:00:00,,1.0,12.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
