dataset,outer_fold,role,family,severity,requested,placed,effective,null,distinct_effective_onsets,effective_original_units,supported
pleia,0,inner0_selection,random_missing,0.5,102,102,43,59,33,33,True
pleia,0,inner0_selection,random_missing,1.0,102,102,79,23,50,50,True
pleia,0,inner0_selection,random_missing,2.0,102,102,95,7,51,51,True
pleia,0,inner0_selection,block_missing,0.5,102,102,102,0,51,51,True
pleia,0,inner0_selection,block_missing,1.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,block_missing,2.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,stuck,0.5,102,102,96,6,48,48,True
pleia,0,inner0_selection,stuck,1.0,102,102,100,2,50,50,True
pleia,0,inner0_selection,stuck,2.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,dropout,0.5,102,102,102,0,51,51,True
pleia,0,inner0_selection,dropout,1.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,dropout,2.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,bias,0.5,102,102,102,0,51,51,True
pleia,0,inner0_selection,bias,1.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,bias,2.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,level_shift,0.5,102,102,102,0,51,51,True
pleia,0,inner0_selection,level_shift,1.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,level_shift,2.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,drift,0.5,102,102,102,0,51,51,True
pleia,0,inner0_selection,drift,1.0,102,102,102,0,51,51,True
pleia,0,inner0_selection,drift,2.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,random_missing,0.5,102,102,36,66,28,28,True
pleia,0,inner1_selection,random_missing,1.0,102,102,77,25,47,47,True
pleia,0,inner1_selection,random_missing,2.0,102,102,95,7,51,51,True
pleia,0,inner1_selection,block_missing,0.5,102,102,102,0,51,51,True
pleia,0,inner1_selection,block_missing,1.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,block_missing,2.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,stuck,0.5,102,102,98,4,49,49,True
pleia,0,inner1_selection,stuck,1.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,stuck,2.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,dropout,0.5,102,102,102,0,51,51,True
pleia,0,inner1_selection,dropout,1.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,dropout,2.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,bias,0.5,102,102,102,0,51,51,True
pleia,0,inner1_selection,bias,1.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,bias,2.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,level_shift,0.5,102,102,102,0,51,51,True
pleia,0,inner1_selection,level_shift,1.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,level_shift,2.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,drift,0.5,102,102,102,0,51,51,True
pleia,0,inner1_selection,drift,1.0,102,102,102,0,51,51,True
pleia,0,inner1_selection,drift,2.0,102,102,102,0,51,51,True
pleia,0,outer_test,random_missing,0.5,136,136,68,68,51,51,True
pleia,0,outer_test,random_missing,1.0,136,136,101,35,65,65,True
pleia,0,outer_test,random_missing,2.0,136,136,126,10,68,68,True
pleia,0,outer_test,block_missing,0.5,136,136,136,0,68,68,True
pleia,0,outer_test,block_missing,1.0,136,136,136,0,68,68,True
pleia,0,outer_test,block_missing,2.0,136,136,136,0,68,68,True
pleia,0,outer_test,stuck,0.5,136,136,108,28,54,54,True
pleia,0,outer_test,stuck,1.0,136,136,120,16,60,60,True
pleia,0,outer_test,stuck,2.0,136,136,128,8,64,64,True
pleia,0,outer_test,dropout,0.5,136,136,136,0,68,68,True
