dataset,outer_fold,role,effective_events,minimum_distinct_onsets,supported_strata,missing_strata,required_strata,required_effective_onsets_per_stratum,block_length_steps,original_resampling_units,enough_original_units,structural_event_support,status,bounds_identifiable,asset_days,requested_per_catalogue,requested,hostable_requested,placed,null,rejected,original_groups,faulted_original_groups,request_missing_strata,request_min_per_stratum,count_impossible,allocation_impossible,null_probability_random_missing_low
pleia,0,outer_test,162,5,21,0,21,5,100,99,True,True,structural_support_only,not_measured_no_fitting,68.79861111111111,34,170,170,170,8,0,1,0,0,5,False,False,0.531441
pleia,0,inner0_selection,124,2,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting,51.59027777777778,26,130,130,130,6,0,1,0,0,5,False,False,0.531441
pleia,0,inner1_selection,123,3,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting,51.59722222222222,26,130,130,130,7,0,1,0,0,5,False,False,0.531441
pleia,1,outer_test,163,2,20,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting,68.79861111111111,34,170,170,170,7,0,1,0,0,5,False,False,0.531441
pleia,1,inner0_selection,93,2,15,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting,38.6875,19,95,95,95,2,0,1,0,0,3,True,True,0.531441
pleia,1,inner1_selection,93,1,15,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting,38.701388888888886,19,95,95,95,2,0,1,0,0,3,True,True,0.531441
pleia,2,outer_test,164,2,20,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting,68.79861111111111,34,170,170,170,6,0,1,0,0,5,False,False,0.531441
pleia,2,inner0_selection,64,0,9,4,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting,25.78472222222222,13,65,65,65,1,0,1,0,4,0,True,True,0.531441
pleia,2,inner1_selection,64,0,9,4,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting,25.79861111111111,13,65,65,65,1,0,1,0,4,0,True,True,0.531441
pleia_energy,0,outer_test,164,4,19,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting,68.8125,34,170,170,170,6,0,1,0,0,5,False,False,0.531441
pleia_energy,0,inner0_selection,123,2,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting,51.59027777777778,26,130,130,130,7,0,1,0,0,5,False,False,0.531441
pleia_energy,0,inner1_selection,125,2,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting,51.59722222222222,26,130,130,130,5,0,1,0,0,5,False,False,0.531441
pleia_energy,1,outer_test,159,3,19,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting,68.79861111111111,34,170,170,170,11,0,1,0,0,5,False,False,0.531441
pleia_energy,1,inner0_selection,92,2,14,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting,38.6875,19,95,95,95,3,0,1,0,0,3,True,True,0.531441
pleia_energy,1,inner1_selection,93,2,14,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting,38.701388888888886,19,95,95,95,2,0,1,0,0,3,True,True,0.531441
pleia_energy,2,outer_test,164,1,20,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting,68.79861111111111,34,170,170,170,6,0,1,0,0,5,False,False,0.531441
pleia_energy,2,inner0_selection,64,0,9,5,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting,25.78472222222222,13,65,65,65,1,0,1,0,4,0,True,True,0.531441
pleia_energy,2,inner1_selection,64,0,9,5,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting,25.79861111111111,13,65,65,65,1,0,1,0,4,0,True,True,0.531441
rico,0,outer_test,0,0,0,21,21,5,430,1,False,False,insufficient_design_support,not_measured_no_fitting,0.15347222222222223,0,0,0,0,0,0,1,0,21,0,True,True,0.001797010299914434
rico,0,inner0_selection,15,0,0,14,21,5,430,38,True,False,insufficient_design_support,not_measured_no_fitting,5.831944444444445,3,15,15,15,0,0,38,3,14,0,True,True,0.001797010299914434
rico,0,inner1_selection,15,0,0,14,21,5,430,39,True,False,insufficient_design_support,not_measured_no_fitting,5.985416666666667,3,15,15,15,0,0,39,3,14,0,True,True,0.001797010299914434
rico,1,outer_test,0,0,0,21,21,5,430,1,False,False,insufficient_design_support,not_measured_no_fitting,0.15347222222222223,0,0,0,0,0,0,1,0,21,0,True,True,0.001797010299914434
rico,1,inner0_selection,14,0,0,15,21,5,430,38,True,False,insufficient_design_support,not_measured_no_fitting,5.831944444444445,3,15,15,15,1,0,38,3,14,0,True,True,0.001797010299914434
rico,1,inner1_selection,15,0,0,14,21,5,430,39,True,False,insufficient_design_support,not_measured_no_fitting,5.985416666666667,3,15,15,15,0,0,39,3,14,0,True,True,0.001797010299914434
rico,2,outer_test,0,0,0,21,21,5,430,1,False,False,insufficient_design_support,not_measured_no_fitting,0.15347222222222223,0,0,0,0,0,0,1,0,21,0,True,True,0.001797010299914434
rico,2,inner0_selection,14,0,0,15,21,5,430,38,True,False,insufficient_design_support,not_measured_no_fitting,5.831944444444445,3,15,15,15,1,0,38,3,14,0,True,True,0.001797010299914434
rico,2,inner1_selection,15,0,0,14,21,5,430,39,True,False,insufficient_design_support,not_measured_no_fitting,5.985416666666667,3,15,15,15,0,0,39,3,14,0,True,True,0.001797010299914434
