dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash,segments,eligible_onset_positions,guarded_capacity_per_catalogue,request_per_catalogue,frequency_minutes,horizon_steps
pleia,0,B0,7428,1,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,51.583333333333336,fd05d4d1591ea86f23af95d7c66833474f05ea1876482dace7e275efa77953cf,1,7416,177,26,10.0,1
pleia,0,B1,7429,1,2021-02-28 14:10:00,2021-04-21 04:10:00,2021-02-28 14:20:00,2021-04-21 04:20:00,51.59027777777778,4ada5a1ca9aee0759105e6fc13999ead9211809561d0e078c1b552ec3d1ed7a8,1,7417,177,26,10.0,1
pleia,0,B2,7429,1,2021-04-21 04:30:00,2021-06-11 18:30:00,2021-04-21 04:40:00,2021-06-11 18:40:00,51.59027777777778,5253e4eff67587588ad671676aded4a2beb8c45e558dbb46a3b752af4067c702,1,7417,177,26,10.0,1
pleia,0,B3,7430,1,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,51.59722222222222,149c87769c8facd0115f791414ef33c14f07b23557a0416358cef8182e3be44b,1,7418,177,26,10.0,1
pleia,0,final_fit,29716,1,2021-01-08 00:00:00,2021-08-02 09:00:00,2021-01-08 00:10:00,2021-08-02 09:10:00,206.36111111111111,bda004a37549a498b39c7c99bd2052d64c91300d39e00679660f29eccb15fcec,4,29668,708,103,10.0,1
pleia,0,final_calibration,9907,1,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,68.79861111111111,577a8393a4f3e766c07b26e092833df6c4dab9b955056c789e2989256260338a,1,9895,236,34,10.0,1
pleia,0,outer_test,9907,1,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,68.79861111111111,a9a00f5a19e72dc12a25e28b902768b164c084b8146ff8a9b5d76c41cb99670e,1,9895,236,34,10.0,1
pleia,0,inner0_train,7428,1,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,51.583333333333336,fd05d4d1591ea86f23af95d7c66833474f05ea1876482dace7e275efa77953cf,1,7416,177,26,10.0,1
pleia,0,inner0_calibration,7429,1,2021-02-28 14:10:00,2021-04-21 04:10:00,2021-02-28 14:20:00,2021-04-21 04:20:00,51.59027777777778,4ada5a1ca9aee0759105e6fc13999ead9211809561d0e078c1b552ec3d1ed7a8,1,7417,177,26,10.0,1
pleia,0,inner0_selection,7429,1,2021-04-21 04:30:00,2021-06-11 18:30:00,2021-04-21 04:40:00,2021-06-11 18:40:00,51.59027777777778,5253e4eff67587588ad671676aded4a2beb8c45e558dbb46a3b752af4067c702,1,7417,177,26,10.0,1
pleia,0,inner1_train,14857,1,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,103.17361111111111,4fdaff7ea56818630843c6ba2cd0a28a6e1cbdf338854023ca592f4c3dbf8269,2,14833,354,52,10.0,1
pleia,0,inner1_calibration,7429,1,2021-04-21 04:30:00,2021-06-11 18:30:00,2021-04-21 04:40:00,2021-06-11 18:40:00,51.59027777777778,5253e4eff67587588ad671676aded4a2beb8c45e558dbb46a3b752af4067c702,1,7417,177,26,10.0,1
pleia,0,inner1_selection,7430,1,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,51.59722222222222,149c87769c8facd0115f791414ef33c14f07b23557a0416358cef8182e3be44b,1,7418,177,26,10.0,1
pleia,1,B0,5571,1,2021-01-08 00:00:00,2021-02-15 16:20:00,2021-01-08 00:10:00,2021-02-15 16:30:00,38.6875,d1111ecac6e2db5177d53a95178350ba5836938115fe02870c8d4f7ddd626833,1,5559,133,19,10.0,1
pleia,1,B1,5571,1,2021-02-15 16:40:00,2021-03-26 09:00:00,2021-02-15 16:50:00,2021-03-26 09:10:00,38.6875,8dc62fba9fb5ce560530d03a349bfc7aaeab5562bb22f1e97ab02afd91294104,1,5559,133,19,10.0,1
pleia,1,B2,5571,1,2021-03-26 09:20:00,2021-05-04 01:40:00,2021-03-26 09:30:00,2021-05-04 01:50:00,38.6875,b716f00951fc337c203af516a406302c89be414056226310ea1a3c419027e82f,1,5559,133,19,10.0,1
pleia,1,B3,5573,1,2021-05-04 02:00:00,2021-06-11 18:40:00,2021-05-04 02:10:00,2021-06-11 18:50:00,38.701388888888886,ae0d53209fc96ac288a31ee0b49ab30b39058ed13814f957ea3db788caf50665,1,5561,133,19,10.0,1
pleia,1,final_fit,22286,1,2021-01-08 00:00:00,2021-06-11 18:40:00,2021-01-08 00:10:00,2021-06-11 18:50:00,154.76388888888889,42916607316925b8452155152ebb1151d6af235431ea2ab5a3c350719d3d5dcc,4,22238,532,77,10.0,1
pleia,1,final_calibration,7430,1,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,51.59722222222222,7508a4eb7b7216a75fd1b030f31c7c951ad251ee7ad2a23be4b69b44b797b8df,1,7418,177,26,10.0,1
pleia,1,outer_test,9907,1,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,68.79861111111111,424af8cc3bd44de5f0cc7b5f16cc66221a3c7c41bb24dacb13e54495693822b5,1,9895,236,34,10.0,1
pleia,1,inner0_train,5571,1,2021-01-08 00:00:00,2021-02-15 16:20:00,2021-01-08 00:10:00,2021-02-15 16:30:00,38.6875,d1111ecac6e2db5177d53a95178350ba5836938115fe02870c8d4f7ddd626833,1,5559,133,19,10.0,1
pleia,1,inner0_calibration,5571,1,2021-02-15 16:40:00,2021-03-26 09:00:00,2021-02-15 16:50:00,2021-03-26 09:10:00,38.6875,8dc62fba9fb5ce560530d03a349bfc7aaeab5562bb22f1e97ab02afd91294104,1,5559,133,19,10.0,1
pleia,1,inner0_selection,5571,1,2021-03-26 09:20:00,2021-05-04 01:40:00,2021-03-26 09:30:00,2021-05-04 01:50:00,38.6875,b716f00951fc337c203af516a406302c89be414056226310ea1a3c419027e82f,1,5559,133,19,10.0,1
pleia,1,inner1_train,11142,1,2021-01-08 00:00:00,2021-03-26 09:00:00,2021-01-08 00:10:00,2021-03-26 09:10:00,77.375,a5c701edcf9f107b9e87483396a1505a64791a0e4c14978febf5a1fc3efe7293,2,11118,266,39,10.0,1
pleia,1,inner1_calibration,5571,1,2021-03-26 09:20:00,2021-05-04 01:40:00,2021-03-26 09:30:00,2021-05-04 01:50:00,38.6875,b716f00951fc337c203af516a406302c89be414056226310ea1a3c419027e82f,1,5559,133,19,10.0,1
pleia,1,inner1_selection,5573,1,2021-05-04 02:00:00,2021-06-11 18:40:00,2021-05-04 02:10:00,2021-06-11 18:50:00,38.701388888888886,ae0d53209fc96ac288a31ee0b49ab30b39058ed13814f957ea3db788caf50665,1,5561,133,19,10.0,1
pleia,2,B0,3713,1,2021-01-08 00:00:00,2021-02-02 18:40:00,2021-01-08 00:10:00,2021-02-02 18:50:00,25.78472222222222,0f06f305704fb86bce3bc177724c9d58142b6e3ff041228f37a140e0a2632ce6,1,3701,89,13,10.0,1
pleia,2,B1,3714,1,2021-02-02 19:00:00,2021-02-28 13:50:00,2021-02-02 19:10:00,2021-02-28 14:00:00,25.791666666666668,f81aa1b244c46a9ec87486c56a78152e814ae3720587b7f086ec82ccd68ea50d,1,3702,89,13,10.0,1
pleia,2,B2,3713,1,2021-02-28 14:10:00,2021-03-26 08:50:00,2021-02-28 14:20:00,2021-03-26 09:00:00,25.78472222222222,da322922a13bd0212aee761c2289246a4bc08d8e08d679126eefcb0648e7ae8d,1,3701,89,13,10.0,1
pleia,2,B3,3715,1,2021-03-26 09:10:00,2021-04-21 04:10:00,2021-03-26 09:20:00,2021-04-21 04:20:00,25.79861111111111,1a21cdd709620be87a8a407baeeef2a96b67bf89092543bdb200472b0783afd1,1,3703,89,13,10.0,1
pleia,2,final_fit,14855,1,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,103.15972222222224,18f1c13c22286a7d9edc49673c37cf3179afcdb0156fd6d6f5b45d7e8e3a6803,4,14807,356,52,10.0,1
pleia,2,final_calibration,4954,1,2021-04-21 04:30:00,2021-05-25 14:00:00,2021-04-21 04:40:00,2021-05-25 14:10:00,34.40277777777778,7e77f5c0663ace56640de03db6fe5b1bee3239ed0447c47023f8737a708ba0bc,1,4942,118,17,10.0,1
pleia,2,outer_test,9907,1,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,68.79861111111111,9cbeccd008d01320de17dc7671eaff4afc1da3f060ac9db1be6dedd4fb8b920f,1,9895,236,34,10.0,1
pleia,2,inner0_train,3713,1,2021-01-08 00:00:00,2021-02-02 18:40:00,2021-01-08 00:10:00,2021-02-02 18:50:00,25.78472222222222,0f06f305704fb86bce3bc177724c9d58142b6e3ff041228f37a140e0a2632ce6,1,3701,89,13,10.0,1
pleia,2,inner0_calibration,3714,1,2021-02-02 19:00:00,2021-02-28 13:50:00,2021-02-02 19:10:00,2021-02-28 14:00:00,25.791666666666668,f81aa1b244c46a9ec87486c56a78152e814ae3720587b7f086ec82ccd68ea50d,1,3702,89,13,10.0,1
pleia,2,inner0_selection,3713,1,2021-02-28 14:10:00,2021-03-26 08:50:00,2021-02-28 14:20:00,2021-03-26 09:00:00,25.78472222222222,da322922a13bd0212aee761c2289246a4bc08d8e08d679126eefcb0648e7ae8d,1,3701,89,13,10.0,1
pleia,2,inner1_train,7427,1,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,51.576388888888886,375412d1c3141089b831858b59d2661493b246b44331154e3e40cdb4c66e8f16,2,7403,178,26,10.0,1
pleia,2,inner1_calibration,3713,1,2021-02-28 14:10:00,2021-03-26 08:50:00,2021-02-28 14:20:00,2021-03-26 09:00:00,25.78472222222222,da322922a13bd0212aee761c2289246a4bc08d8e08d679126eefcb0648e7ae8d,1,3701,89,13,10.0,1
pleia,2,inner1_selection,3715,1,2021-03-26 09:10:00,2021-04-21 04:10:00,2021-03-26 09:20:00,2021-04-21 04:20:00,25.79861111111111,1a21cdd709620be87a8a407baeeef2a96b67bf89092543bdb200472b0783afd1,1,3703,89,13,10.0,1
pleia_energy,0,B0,7428,1,2021-01-07 23:50:00,2021-02-28 13:40:00,2021-01-08 00:00:00,2021-02-28 13:50:00,51.583333333333336,a0fa7c8e14730ed2a203b6ab7bb733962cf407e7d8cb0aa2efb53cc2f3ce4b9f,1,7416,177,26,10.0,1
pleia_energy,0,B1,7429,1,2021-02-28 14:00:00,2021-04-21 04:00:00,2021-02-28 14:10:00,2021-04-21 04:10:00,51.59027777777778,6ad474820e78f061d5b119ce42c594b8ef62faeada3334e2cee4dd66b67226c6,1,7417,177,26,10.0,1
pleia_energy,0,B2,7429,1,2021-04-21 04:20:00,2021-06-11 18:20:00,2021-04-21 04:30:00,2021-06-11 18:30:00,51.59027777777778,c3a0832b2f57493f170b4ba0ac06689392d365cdd9286ff1601a8ccdab16a277,1,7417,177,26,10.0,1
pleia_energy,0,B3,7430,1,2021-06-11 18:40:00,2021-08-02 08:50:00,2021-06-11 18:50:00,2021-08-02 09:00:00,51.59722222222222,26ad849d51d4b1094239d3b308dd72a5029a47966a48497e4930e96bcf7447f7,1,7418,177,26,10.0,1
pleia_energy,0,final_fit,29716,1,2021-01-07 23:50:00,2021-08-02 08:50:00,2021-01-08 00:00:00,2021-08-02 09:00:00,206.36111111111111,83296f8446a5233f791458167ccf9f08205d564765954c50b23888f15f26ee88,4,29668,708,103,10.0,1
pleia_energy,0,final_calibration,9907,1,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,68.79861111111111,b3d6f6c76df5d3d3958f22833733e8f0812566094fa06b60f8175bc6360c4d32,1,9895,236,34,10.0,1
pleia_energy,0,outer_test,9909,1,2021-10-10 04:30:00,2021-12-17 23:50:00,2021-10-10 04:40:00,2021-12-18 00:00:00,68.8125,ed19bf3d6dbf621bc68a5e80cd703cf1e62a19b7ccc8dd80c86f897ee5b63672,1,9897,236,34,10.0,1
pleia_energy,0,inner0_train,7428,1,2021-01-07 23:50:00,2021-02-28 13:40:00,2021-01-08 00:00:00,2021-02-28 13:50:00,51.583333333333336,a0fa7c8e14730ed2a203b6ab7bb733962cf407e7d8cb0aa2efb53cc2f3ce4b9f,1,7416,177,26,10.0,1
pleia_energy,0,inner0_calibration,7429,1,2021-02-28 14:00:00,2021-04-21 04:00:00,2021-02-28 14:10:00,2021-04-21 04:10:00,51.59027777777778,6ad474820e78f061d5b119ce42c594b8ef62faeada3334e2cee4dd66b67226c6,1,7417,177,26,10.0,1
pleia_energy,0,inner0_selection,7429,1,2021-04-21 04:20:00,2021-06-11 18:20:00,2021-04-21 04:30:00,2021-06-11 18:30:00,51.59027777777778,c3a0832b2f57493f170b4ba0ac06689392d365cdd9286ff1601a8ccdab16a277,1,7417,177,26,10.0,1
pleia_energy,0,inner1_train,14857,1,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,103.17361111111111,4615005f1cdd87c56b42c76e5686486df7c67929371fbcd59df9425cb13a62c6,2,14833,354,52,10.0,1
pleia_energy,0,inner1_calibration,7429,1,2021-04-21 04:20:00,2021-06-11 18:20:00,2021-04-21 04:30:00,2021-06-11 18:30:00,51.59027777777778,c3a0832b2f57493f170b4ba0ac06689392d365cdd9286ff1601a8ccdab16a277,1,7417,177,26,10.0,1
pleia_energy,0,inner1_selection,7430,1,2021-06-11 18:40:00,2021-08-02 08:50:00,2021-06-11 18:50:00,2021-08-02 09:00:00,51.59722222222222,26ad849d51d4b1094239d3b308dd72a5029a47966a48497e4930e96bcf7447f7,1,7418,177,26,10.0,1
pleia_energy,1,B0,5571,1,2021-01-07 23:50:00,2021-02-15 16:10:00,2021-01-08 00:00:00,2021-02-15 16:20:00,38.6875,b4b64a5f5ea0b16c4fdea034203c85791fb1e0342f5a63200ebf0c9f7ce38359,1,5559,133,19,10.0,1
pleia_energy,1,B1,5571,1,2021-02-15 16:30:00,2021-03-26 08:50:00,2021-02-15 16:40:00,2021-03-26 09:00:00,38.6875,fa3fa6ea2270d5bd8eb36938b3670aa5fc182928777636f616f5354f51820a8e,1,5559,133,19,10.0,1
