dataset,outer_fold,role,horizons,common_origins,original_groups,origin_min,target_max,common_origin_hash,calibration_minimum_400_met,evaluated
bdg2,0,fit,1|3|6,103544,10,2016-01-07 23:00:00,2017-03-16 21:00:00,25d9a5e9267827e8e58143bd74b6268ab6adb1cb6e7b461a1c95eca9f1b5c113,True,False
bdg2,0,calibration,1|3|6,34454,10,2017-03-17 07:00:00,2017-08-08 21:00:00,161b4ce25c73c11e51392fb49949ce834c28a936df7cd2ba7fbf79406a04574b,True,False
bdg2,0,test,1|3|6,34376,10,2017-08-09 03:00:00,2017-12-31 23:00:00,98a792d1f7f6debfcd499aca3852ece360b932203389510b45c8cb9695902eb4,True,False
bdg2,1,fit,1|3|6,77542,10,2016-01-07 23:00:00,2016-11-28 07:00:00,e894b56f2f98a65d3804b276d669d89990b1a2bfe4ed22291119e31692cb947e,True,False
bdg2,1,calibration,1|3|6,25902,10,2016-11-28 17:00:00,2017-03-17 02:00:00,d12a98ccc58bd7abf3d349136af6cbe1bba58b80a981da24ff220420ece26e1d,True,False
bdg2,1,test,1|3|6,34492,10,2017-03-17 08:00:00,2017-08-09 03:00:00,c5d36896ccce529f588d9631c07b5b7d800fade321f9897507470a751500e200,True,False
bdg2,2,fit,1|3|6,51534,10,2016-01-07 23:00:00,2016-08-11 17:00:00,8fca6ce9c4fd942b921dc201b2f473a435218575fc569735449ba165cfdcf208,True,False
bdg2,2,calibration,1|3|6,17270,10,2016-08-12 03:00:00,2016-10-23 07:00:00,dc152a9361caecc01afdf0369c51bde5f4e4fba81a24df72c2f786aab733fe1c,True,False
bdg2,2,test,1|3|6,34590,10,2016-10-23 13:00:00,2017-03-17 08:00:00,d2bed9edd7c709d4b045a65a3e398d3312407261f06cc67fda7aad50ecb94a24,True,False
pleia,0,fit,1|3|6,29705,1,2021-01-08 00:00:00,2021-08-02 07:40:00,a11fd7b326aa4131e1edace01f8fa765a1ed0875768da128081d575d4eba818c,True,False
pleia,0,calibration,1|3|6,9897,1,2021-08-02 09:20:00,2021-10-10 03:40:00,19b0582137368cd63ac57f96813e23a6f022ba2053d8f83e04664ffa3be599d2,True,False
pleia,0,test,1|3|6,9902,1,2021-10-10 04:40:00,2021-12-17 23:50:00,c5f2db7e4ce01f93c997bde802e1b755f5e38cc3d1b5fa0ccec515a056dfc2a4,True,False
pleia,1,fit,1|3|6,22275,1,2021-01-08 00:00:00,2021-06-11 17:20:00,428951126e13af2e65338edbb9179de390ad3116de5935fefdf4473e7cd97d0f,True,False
pleia,1,calibration,1|3|6,7420,1,2021-06-11 19:00:00,2021-08-02 08:30:00,19271171f2bd566a222a76a79eab6296563734572b86180e43c833d730a01a03,True,False
pleia,1,test,1|3|6,9902,1,2021-08-02 09:30:00,2021-10-10 04:40:00,b2e4c93d6caaddc3d5f619cf9e61a63bcf52a39a0509a4fbab9ebe2c0b0c6c77,True,False
pleia,2,fit,1|3|6,14845,1,2021-01-08 00:00:00,2021-04-21 03:00:00,7035daeef29750b892f4c5e2fe2c4c0ce2b883f9f58d047bd6593c3b30b10a3e,True,False
pleia,2,calibration,1|3|6,4943,1,2021-04-21 04:40:00,2021-05-25 13:20:00,bab0d6c45f58c231dcdf117e16d7a6f4f137dcfced4edc52a1cebe6742694fa9,True,False
pleia,2,test,1|3|6,9902,1,2021-05-25 14:20:00,2021-08-02 09:30:00,b02ad02a6572f677a59c60929cc44f9d4e85125be45e8e202028132b324976f2,True,False
pleia_energy,0,fit,1|3|6,29705,1,2021-01-07 23:50:00,2021-08-02 07:30:00,aaa28d2148fccd34cc07967613afbda7e20ea0465d4b5ebac6235b4aabcfbb3a,True,False
pleia_energy,0,calibration,1|3|6,9897,1,2021-08-02 09:10:00,2021-10-10 03:30:00,30024e2a7a19458db1f0b56865ceff3869149fc1be6db78e38bdcee0a4367cfb,True,False
pleia_energy,0,test,1|3|6,9904,1,2021-10-10 04:30:00,2021-12-18 00:00:00,f542f6a8ab3cdaa0aac7288efcf488ac5cfba8024517ebc28850a7ca285f951d,True,False
pleia_energy,1,fit,1|3|6,22275,1,2021-01-07 23:50:00,2021-06-11 17:10:00,cd7091af58ba7a1d645b5d63b06e2042b702d20a9afd99d9dfa17a1b247d5102,True,False
pleia_energy,1,calibration,1|3|6,7420,1,2021-06-11 18:50:00,2021-08-02 08:20:00,97e4fe8e51b94a23d784bb2a148d8dc4b3b685ccc5c9e192d332b5481554aefb,True,False
pleia_energy,1,test,1|3|6,9902,1,2021-08-02 09:20:00,2021-10-10 04:30:00,05d3bae86a63b00defe021228d0562e41016798ac9e948cedda22db6a93ca870,True,False
pleia_energy,2,fit,1|3|6,14845,1,2021-01-07 23:50:00,2021-04-21 02:50:00,32d5c3ead6fee3223fcc060e3be287469c8348575ec0bb85fc992f29e646cae8,True,False
pleia_energy,2,calibration,1|3|6,4943,1,2021-04-21 04:30:00,2021-05-25 13:10:00,40a0d3f88ee43f38cf2c683a0be4d1ed1925701e151d0267db63d5f7efab553e,True,False
pleia_energy,2,test,1|3|6,9902,1,2021-05-25 14:10:00,2021-08-02 09:20:00,ca6d2c423a15c1233176246d17dc99ec6f9f973c8fa7be04fbdc9d5088963b80,True,False
rico,0,fit,5|15|30|60,19311,123,2023-07-26 15:24:00,2024-02-04 11:00:00,df0ed45aba54535860b5dde98f44d718267fa4748f4bdda3382629cc2b0a33ed,True,False
rico,0,calibration,5|15|30|60,6437,41,2024-02-04 11:24:00,2024-05-11 03:00:00,f3eb545f91a00fa557aac3f9c97dea6c01b156894bda922b51ce55e4c6f45a6b,True,False
rico,0,test,5|15|30|60,6751,43,2024-05-11 03:24:00,2024-05-18 07:00:00,a3ce77ca2b17c4ed22f182ad3a533428dc64867a04ad556cf6fb11b81c1bcbad,True,False
rico,1,fit,5|15|30|60,14444,92,2023-07-26 15:24:00,2024-01-30 03:00:00,923500e6fb0592a564e30b19dbc89b4d8031377f70fb92b30c22bc8bdfa035cb,True,False
rico,1,calibration,5|15|30|60,4867,31,2024-01-30 03:24:00,2024-02-04 11:00:00,eefd11859df740703db991862cde9e85f4d419be6d8cf964ef2252782ded1990,True,False
rico,1,test,5|15|30|60,6437,41,2024-02-04 11:24:00,2024-05-11 03:00:00,f3eb545f91a00fa557aac3f9c97dea6c01b156894bda922b51ce55e4c6f45a6b,True,False
rico,2,fit,5|15|30|60,9577,61,2023-07-26 15:24:00,2023-08-07 23:00:00,3f08f5529e24052ed16e3d77f1b0b983928f5889362c41bab5b6439ecfac0bef,True,False
rico,2,calibration,5|15|30|60,3297,21,2023-08-07 23:24:00,2023-08-12 03:00:00,7eb9e4b2fa264ee9055c2adaebc12eebcf3d2f83d26fbba5193cd542b8ae3c0b,True,False
rico,2,test,5|15|30|60,6437,41,2023-08-12 07:24:00,2024-02-04 11:00:00,eef2e75abbf2a781b25c776e8a23568487418f3747423c74bbdb77dc78d84260,True,False
