task,actual_exit,seconds,receipt
pleia_energy/freeze,0,4.472233599997708,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T152828654234+0000_8957fe27\command.log.json
pleia_energy/readiness,0,4.478392799996072,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T152834769922+0000_eb7c4534\command.log.json
pleia_energy/run,0,178.2811042999965,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T152840892533+0000_8dfdc527\command.log.json
pleia_energy/validate,0,210.93818759999704,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T153731416263+0000_cbd322e1\command.log.json
pleia_energy/resume,0,25.078668700007256,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T154102935309+0000_06c6408e\command.log.json
rico/freeze,0,4.44269080000231,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T154129326553+0000_162f49c0\command.log.json
rico/readiness,0,4.231015900004422,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T154135473402+0000_e49c2925\command.log.json
rico/run,0,114.97251719998894,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T154141606797+0000_af25ece1\command.log.json
rico/validate,0,133.17775489999622,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T154338570837+0000_7e720ed8\command.log.json
rico/resume,0,14.099123599997256,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\conditional_context005\synthetic_v1_coordinator\attempts\2026-09-14T154553727374+0000_3f5423ad\command.log.json
