dataset,horizon,outer_fold,calibration_n,test_n,model_seed_aliases,learned_fits,unique_computation_complete,evidence_path,counts_as_original_training_seed
pleia,1,0,9907,9907,42|43|44|45|46,0,False,,False
pleia,1,1,7430,9907,42|43|44|45|46,0,False,,False
pleia,1,2,4953,9907,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\pleia_f2_s42_v1\stages\seasonal_h1,False
pleia,3,0,9906,9907,42|43|44|45|46,0,False,,False
pleia,3,1,7429,9907,42|43|44|45|46,0,False,,False
pleia,3,2,4952,9907,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\pleia_f2_s42_v1\stages\seasonal_h3,False
pleia,6,0,9904,9907,42|43|44|45|46,0,False,,False
pleia,6,1,7428,9907,42|43|44|45|46,0,False,,False
pleia,6,2,4951,9907,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\pleia_f2_s42_v1\stages\seasonal_h6,False
pleia_energy,1,0,9907,9909,42|43|44|45|46,0,False,,False
pleia_energy,1,1,7430,9907,42|43|44|45|46,0,False,,False
pleia_energy,1,2,4953,9907,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\pleia_energy_f2_s42_v2\stages\seasonal_h1,False
pleia_energy,3,0,9906,9909,42|43|44|45|46,0,False,,False
pleia_energy,3,1,7429,9907,42|43|44|45|46,0,False,,False
pleia_energy,3,2,4952,9907,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\pleia_energy_f2_s42_v2\stages\seasonal_h3,False
pleia_energy,6,0,9904,9909,42|43|44|45|46,0,False,,False
pleia_energy,6,1,7428,9907,42|43|44|45|46,0,False,,False
pleia_energy,6,2,4951,9907,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\pleia_energy_f2_s42_v2\stages\seasonal_h6,False
bdg2,1,0,34534,34426,42|43|44|45|46,0,False,,False
bdg2,1,1,26002,34532,42|43|44|45|46,0,False,,False
bdg2,1,2,17370,34640,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h1,False
bdg2,3,0,34532,34422,42|43|44|45|46,0,False,,False
bdg2,3,1,25992,34536,42|43|44|45|46,0,False,,False
bdg2,3,2,17360,34640,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h3,False
bdg2,6,0,34524,34416,42|43|44|45|46,0,False,,False
bdg2,6,1,25982,34542,42|43|44|45|46,0,False,,False
bdg2,6,2,17350,34640,42|43|44|45|46,0,True,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h6,False
