dataset,outer_fold,boundary,passed
pleia_energy,0,fit_calibration,True
pleia_energy,0,calibration_test,True
pleia_energy,1,fit_calibration,True
pleia_energy,1,calibration_test,True
pleia_energy,2,fit_calibration,True
pleia_energy,2,calibration_test,True
pleia,0,fit_calibration,True
pleia,0,calibration_test,True
pleia,1,fit_calibration,True
pleia,1,calibration_test,True
pleia,2,fit_calibration,True
pleia,2,calibration_test,True
rico,0,fit_calibration,True
rico,0,calibration_test,True
rico,1,fit_calibration,True
rico,1,calibration_test,True
rico,2,fit_calibration,True
rico,2,calibration_test,True
bdg2,0,fit_calibration,True
bdg2,0,calibration_test,True
bdg2,1,fit_calibration,True
bdg2,1,calibration_test,True
bdg2,2,fit_calibration,True
bdg2,2,calibration_test,True
