dataset,horizon,level,method,distribution,n,mean,q1,q5,q25,q50,q75,q95,q99
pleia_energy,1,0.9,cqr,own_calibration_signed_error,4953,-0.008624693695298379,-0.137429117858096,-0.062441002413022834,-0.015566002413022834,-0.004023854750807243,0.005272594802928493,0.026424264461951202,0.0956121041988728
pleia_energy,1,0.9,cqr,own_test_signed_error,9907,-0.010295859891510065,-0.44248367540468136,-0.2888727479514557,-0.10661058732761047,-0.012937553498422336,0.016186459190376846,0.39833539258351247,0.7806323700331157
pleia_energy,1,0.9,cqr,native_calibration_score,14859,-0.01989929242326678,-0.19423624027906464,-0.08190550177789711,-0.030877751365404868,-0.014409354424062104,-0.002064637039506878,0.02794056781816244,0.058247086833305164
pleia_energy,1,0.95,cqr,own_calibration_signed_error,4953,-0.008624693695298379,-0.137429117858096,-0.062441002413022834,-0.015566002413022834,-0.004023854750807243,0.005272594802928493,0.026424264461951202,0.0956121041988728
pleia_energy,1,0.95,cqr,own_test_signed_error,9907,-0.010295859891510065,-0.44248367540468136,-0.2888727479514557,-0.10661058732761047,-0.012937553498422336,0.016186459190376846,0.39833539258351247,0.7806323700331157
pleia_energy,1,0.95,cqr,native_calibration_score,14859,-0.1306643842963339,-0.6328700653296175,-0.44156057627184214,-0.28968436223649763,-0.04324411598060365,-0.010749110157085046,0.021384012764528948,0.04585110733459541
pleia_energy,1,0.9,recentred_enbpi_static,own_calibration_signed_error,4953,-0.06336585644457904,-0.4547548888,-0.19562359599999998,-0.07484706999999999,-0.03577214000000001,-0.020349060000000002,-0.002124440000000005,0.0236045
pleia_energy,1,0.9,recentred_enbpi_static,own_test_signed_error,9907,-0.039168254775411325,-0.49835818000000004,-0.341443754,-0.125698285,-0.053134490000000006,-0.010046040000000006,0.3976608249999985,0.8176368024000011
pleia_energy,1,0.9,recentred_enbpi_static,native_calibration_score,4540,0.002059033261420596,-0.09048650652170181,-0.02520962432026863,-0.010657571877042454,-0.0008647032082080841,0.00765528033177058,0.0307393758247296,0.13520263105630698
pleia_energy,1,0.95,recentred_enbpi_static,own_calibration_signed_error,4953,-0.06336585644457904,-0.4547548888,-0.19562359599999998,-0.07484706999999999,-0.03577214000000001,-0.020349060000000002,-0.002124440000000005,0.0236045
pleia_energy,1,0.95,recentred_enbpi_static,own_test_signed_error,9907,-0.039168254775411325,-0.49835818000000004,-0.341443754,-0.125698285,-0.053134490000000006,-0.010046040000000006,0.3976608249999985,0.8176368024000011
pleia_energy,1,0.95,recentred_enbpi_static,native_calibration_score,4540,0.002059033261420596,-0.09048650652170181,-0.02520962432026863,-0.010657571877042454,-0.0008647032082080841,0.00765528033177058,0.0307393758247296,0.13520263105630698
pleia_energy,3,0.9,cqr,own_calibration_signed_error,4952,-0.007423468567539181,-0.12518005930508913,-0.0589324240498299,-0.015357101842060471,-0.0032203787358430144,0.005647117137816154,0.026790738840677213,0.09593202302003857
pleia_energy,3,0.9,cqr,own_test_signed_error,9907,0.013634420588237512,-0.4062524937532274,-0.24500332235104336,-0.0839366180654483,-0.008210690483074878,0.021790324766927736,0.4469045539540715,0.9236435117824218
pleia_energy,3,0.9,cqr,native_calibration_score,14856,-0.04235727713912214,-0.432613397530781,-0.2184977262058757,-0.047977216091774716,-0.017881270184363057,-0.004289775440320578,0.026258227851238658,0.055921563928911594
pleia_energy,3,0.95,cqr,own_calibration_signed_error,4952,-0.007423468567539181,-0.12518005930508913,-0.0589324240498299,-0.015357101842060471,-0.0032203787358430144,0.005647117137816154,0.026790738840677213,0.09593202302003857
pleia_energy,3,0.95,cqr,own_test_signed_error,9907,0.013634420588237512,-0.4062524937532274,-0.24500332235104336,-0.0839366180654483,-0.008210690483074878,0.021790324766927736,0.4469045539540715,0.9236435117824218
pleia_energy,3,0.95,cqr,native_calibration_score,14856,-0.10347622980267718,-0.5466570953389879,-0.38232612052332143,-0.20535750974164835,-0.03401239145744353,-0.012640161351823248,0.020000985271339755,0.04366378292380599
pleia_energy,3,0.9,recentred_enbpi_static,own_calibration_signed_error,4952,-0.03519226987479805,-0.18778318160000002,-0.101743928,-0.04116063,-0.030464920000000006,-0.02072521999999999,0.006021323999999985,0.08745251249999994
pleia_energy,3,0.9,recentred_enbpi_static,own_test_signed_error,9907,0.006239909776420714,-0.418015591,-0.24463449499999998,-0.0627315,-0.02387207999999999,0.008167270000000004,0.43933787099999977,0.9063970280000007
pleia_energy,3,0.9,recentred_enbpi_static,native_calibration_score,4528,0.0016066635746176457,-0.10323789045214651,-0.028393210408588252,-0.01040808297693729,-0.0008499563361207621,0.006752205081284046,0.03179718051105725,0.1371323764075832
pleia_energy,3,0.95,recentred_enbpi_static,own_calibration_signed_error,4952,-0.03519226987479805,-0.18778318160000002,-0.101743928,-0.04116063,-0.030464920000000006,-0.02072521999999999,0.006021323999999985,0.08745251249999994
pleia_energy,3,0.95,recentred_enbpi_static,own_test_signed_error,9907,0.006239909776420714,-0.418015591,-0.24463449499999998,-0.0627315,-0.02387207999999999,0.008167270000000004,0.43933787099999977,0.9063970280000007
pleia_energy,3,0.95,recentred_enbpi_static,native_calibration_score,4528,0.0016066635746176457,-0.10323789045214651,-0.028393210408588252,-0.01040808297693729,-0.0008499563361207621,0.006752205081284046,0.03179718051105725,0.1371323764075832
pleia_energy,6,0.9,cqr,own_calibration_signed_error,4951,-0.0013947714463961628,-0.10732400591541189,-0.051904872593130064,-0.012477275557234137,-0.0001220343320537387,0.01030189455855006,0.037026008734859256,0.12481869096548519
pleia_energy,6,0.9,cqr,own_test_signed_error,9907,0.05001445137609858,-0.34320188394881196,-0.2032717814944959,-0.02643855377744564,0.006302652830212807,0.04201660820845826,0.5017613584343891,1.0344952178618938
pleia_energy,6,0.9,cqr,native_calibration_score,14853,-0.0544110995974095,-0.40729260381208765,-0.25393192271817056,-0.08518299922747297,-0.01911662246870882,-0.004750306276187735,0.030437137895766866,0.0560939386646173
pleia_energy,6,0.95,cqr,own_calibration_signed_error,4951,-0.0013947714463961628,-0.10732400591541189,-0.051904872593130064,-0.012477275557234137,-0.0001220343320537387,0.01030189455855006,0.037026008734859256,0.12481869096548519
pleia_energy,6,0.95,cqr,own_test_signed_error,9907,0.05001445137609858,-0.34320188394881196,-0.2032717814944959,-0.02643855377744564,0.006302652830212807,0.04201660820845826,0.5017613584343891,1.0344952178618938
pleia_energy,6,0.95,cqr,native_calibration_score,14853,-0.14709499297096648,-0.7051516541882271,-0.5301812020504924,-0.3299838754285122,-0.03581289046854247,-0.01245054293247086,0.024135554873584028,0.049155170728613126
pleia_energy,6,0.9,recentred_enbpi_static,own_calibration_signed_error,4951,-0.060683271430014125,-0.199133795,-0.13787209,-0.071222545,-0.05470359999999999,-0.04330885000000001,-0.016198580000000004,0.07771576000000001
pleia_energy,6,0.9,recentred_enbpi_static,own_test_signed_error,9907,0.003724449242454831,-0.4155316128,-0.23215755500000002,-0.08634159999999999,-0.04157926000000001,0.0017948799999999987,0.456718835999999,1.0310613960000015
pleia_energy,6,0.9,recentred_enbpi_static,native_calibration_score,4527,0.001322455680059931,-0.10818473167717457,-0.029503537714481352,-0.011091938242316246,-0.0013821994264920506,0.008063431829214096,0.034447721888621635,0.14524166099727143
pleia_energy,6,0.95,recentred_enbpi_static,own_calibration_signed_error,4951,-0.060683271430014125,-0.199133795,-0.13787209,-0.071222545,-0.05470359999999999,-0.04330885000000001,-0.016198580000000004,0.07771576000000001
pleia_energy,6,0.95,recentred_enbpi_static,own_test_signed_error,9907,0.003724449242454831,-0.4155316128,-0.23215755500000002,-0.08634159999999999,-0.04157926000000001,0.0017948799999999987,0.456718835999999,1.0310613960000015
pleia_energy,6,0.95,recentred_enbpi_static,native_calibration_score,4527,0.001322455680059931,-0.10818473167717457,-0.029503537714481352,-0.011091938242316246,-0.0013821994264920506,0.008063431829214096,0.034447721888621635,0.14524166099727143
pleia,1,0.9,cqr,own_calibration_signed_error,4953,0.38532262693632174,-0.8739099244936551,-0.43016772017619326,-0.029551315992947025,0.2572064958486351,0.6089552597011547,1.7586634144051627,2.8761213895179183
pleia,1,0.9,cqr,own_test_signed_error,9907,3.147922507948812,-0.2384878419175088,0.25764375762913866,1.8225351805685914,3.3413315602313247,4.4444759129569,5.780435757892179,6.489774663673556
pleia,1,0.9,cqr,native_calibration_score,14859,-0.42712580272366135,-2.985995858937958,-1.7888163161805806,-0.6877256823243645,-0.3570982159652196,-0.08060439303694622,0.6339605062376457,1.7113582207859537
pleia,1,0.95,cqr,own_calibration_signed_error,4953,0.38532262693632174,-0.8739099244936551,-0.43016772017619326,-0.029551315992947025,0.2572064958486351,0.6089552597011547,1.7586634144051627,2.8761213895179183
pleia,1,0.95,cqr,own_test_signed_error,9907,3.147922507948812,-0.2384878419175088,0.25764375762913866,1.8225351805685914,3.3413315602313247,4.4444759129569,5.780435757892179,6.489774663673556
pleia,1,0.95,cqr,native_calibration_score,14859,-0.6125215417795578,-3.012885104193628,-2.020968961880301,-0.8654714408830735,-0.5092477013032131,-0.23132810316408126,0.2984984004119511,1.0547338521522889
pleia,1,0.9,recentred_enbpi_static,own_calibration_signed_error,4953,0.5693874625479508,-0.7409068400000004,-0.31724160000000123,0.09822400000000187,0.42095799999999883,0.8969370000000012,1.9548369999999988,2.926679
pleia,1,0.9,recentred_enbpi_static,own_test_signed_error,9907,3.145970132936308,-0.07005330000000227,0.4894200999999999,1.878089000000001,3.1266789999999993,4.410406,5.826679000000002,6.498248
pleia,1,0.9,recentred_enbpi_static,native_calibration_score,4540,0.0009733624115214691,-1.201202375411988,-0.650795049667359,-0.22278065681457448,0.0001191139221194959,0.24507136344909597,0.6484430217742928,0.9550652923583983
