dataset,horizon,level,method,native_n,common_n,native_coverage,common_coverage,coverage_support_delta,available,unavailable,below_fraction,above_fraction,cal_own_prediction_bias,test_own_prediction_bias,cal_absolute_error_q95,test_absolute_error_q95,mpiw,winkler,score_convention,score_pool,units
pleia_energy,1,0.9,quantile_uncalibrated,9907,9902,0.6896134046633693,0.6894566754191073,0.00015672924426202162,9907,0,0.19622489149086506,0.11416170384576561,0.008624693695298379,0.010295859891510065,0.07025350241302283,0.45898193170373675,0.31001553053763725,0.8293693326160247,none: uncalibrated raw quantiles,fixed historical calibration,kWh per interval
pleia_energy,1,0.9,cqr,9907,9902,0.816695265973554,0.8166027065239345,9.255944961950036e-05,9907,0,0.05602099525587968,0.12728373877056626,0.008624693695298379,0.010295859891510065,0.07025350241302283,0.45898193170373675,0.3392865034089401,0.8004200883013423,asymmetric native tails,fixed historical calibration,kWh per interval
pleia_energy,1,0.9,recentred_enbpi_static,9907,9902,0.17240335116584232,0.1724904059785902,-8.705481274787208e-05,9907,0,0.6729585141818916,0.15463813465226608,0.06336585644457904,0.039168254775411325,0.19822361399999985,0.4797634019999997,0.05598807334899902,2.4610421897978294,native MAPIE OOB calibration score,fixed historical calibration,kWh per interval
pleia_energy,1,0.9,recentred_enbpi_updated,9907,9902,0.735843343090744,0.7357099575843264,0.0001333855064175049,9907,0,0.0965983647925709,0.16755829211668516,0.06336585644457904,0.039168254775411325,0.19822361399999985,0.4797634019999997,0.27952103355708086,1.2838761675835269,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,kWh per interval
pleia_energy,1,0.9,dscp,9902,9902,0.7184407190466573,0.7184407190466573,0.0,9902,0,0.05584730357503535,0.22571197737830742,0.03617900204205113,0.010340212028487911,0.20485629737377165,0.47310854196548396,0.25116596046456713,1.3334085063705226,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,kWh per interval
pleia_energy,1,0.95,quantile_uncalibrated,9907,9902,0.8250731805793883,0.8249848515451425,8.83290342458265e-05,9907,0,0.1252649641667508,0.04966185525386091,0.008624693695298379,0.010295859891510065,0.07025350241302283,0.45898193170373675,0.5241254165920016,1.218988232325043,none: uncalibrated raw quantiles,fixed historical calibration,kWh per interval
pleia_energy,1,0.95,cqr,9907,9902,0.7907540123145251,0.7906483538679054,0.00010565844661969415,9907,0,0.04522055112546684,0.16402543656000806,0.008624693695298379,0.010295859891510065,0.07025350241302283,0.45898193170373675,0.3134338000323357,1.7266579212695878,asymmetric native tails,fixed historical calibration,kWh per interval
pleia_energy,1,0.95,recentred_enbpi_static,9907,9902,0.25143837690521853,0.2515653403352858,-0.00012696343006729505,9907,0,0.6064398909861713,0.14212173210861007,0.06336585644457904,0.039168254775411325,0.19822361399999985,0.4797634019999997,0.08263728022575378,4.528695697935192,native MAPIE OOB calibration score,fixed historical calibration,kWh per interval
pleia_energy,1,0.95,recentred_enbpi_updated,9907,9902,0.8504088018572726,0.8503332660068673,7.553585040531718e-05,9907,0,0.03987079842535581,0.10972039971737156,0.06336585644457904,0.039168254775411325,0.19822361399999985,0.4797634019999997,0.4892921055576866,1.6055407842293317,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,kWh per interval
pleia_energy,1,0.95,dscp,9902,9902,0.7866087659058776,0.7866087659058776,0.0,9902,0,0.03453847707533832,0.1788527570187841,0.03617900204205113,0.010340212028487911,0.20485629737377165,0.47310854196548396,0.2992114165176697,2.15869928056412,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,kWh per interval
