ledger,operation_id,stage,synthetic,kind,module,call,estimator_class,pid,utc,n_rows,parameters,target_hash,wall_seconds,process_cpu_seconds,event,return_is_none
review/context_replay005_implementation_20260914/synthetic_debug_operations.jsonl,ee5ae4a7186f423280ab87cd05584fca,predictor_path_diagnosis,True,quantile_estimator_fit,sklearn.ensemble._hist_gradient_boosting.gradient_boosting,fit,HistGradientBoostingRegressor,17048,2026-09-14T15:12:30.557817+00:00,520,"{'categorical_features': 'warn', 'early_stopping': False, 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.05, 'loss': 'quantile', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 3, 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': 0.025, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",09d748d3947fcdaa5a6b30a84aae9475e8def716f791556d4e22a2cfb353cebc,0.013162299990653992,0.015625,returned,False
review/context_replay005_implementation_20260914/synthetic_debug_operations.jsonl,29bd49e5b0694ceb89346eb31ad10b94,predictor_path_diagnosis,True,quantile_estimator_fit,sklearn.ensemble._hist_gradient_boosting.gradient_boosting,fit,HistGradientBoostingRegressor,17048,2026-09-14T15:12:30.561522+00:00,520,"{'categorical_features': 'warn', 'early_stopping': False, 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.05, 'loss': 'quantile', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 3, 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': 0.975, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",09d748d3947fcdaa5a6b30a84aae9475e8def716f791556d4e22a2cfb353cebc,0.012445799991837703,0.0,returned,False
review/context_replay005_implementation_20260914/synthetic_debug_operations.jsonl,806c01094d2d4ce690d49d729bbf5de6,predictor_path_diagnosis,True,quantile_estimator_fit,sklearn.ensemble._hist_gradient_boosting.gradient_boosting,fit,HistGradientBoostingRegressor,17048,2026-09-14T15:12:30.589441+00:00,520,"{'categorical_features': 'warn', 'early_stopping': False, 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.05, 'loss': 'quantile', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 3, 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': 0.5, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",09d748d3947fcdaa5a6b30a84aae9475e8def716f791556d4e22a2cfb353cebc,0.013498300002538599,0.015625,returned,False
review/context_replay005_implementation_20260914/synthetic_debug_operations.jsonl,1e9ab00ef83e40fe998df155f77cc219,predictor_path_diagnosis,True,cqr_wrapper_fit,mapie.regression.quantile_regression,fit,ConformalizedQuantileRegressor,17048,2026-09-14T15:12:30.550709+00:00,520,{},09d748d3947fcdaa5a6b30a84aae9475e8def716f791556d4e22a2cfb353cebc,0.05431940000562463,0.03125,returned,False
review/context_replay005_implementation_20260914/synthetic_debug_operations.jsonl,6ff7e6036eb24ec79e7eb03e9b44a1f9,predictor_path_diagnosis,True,calibrator_conformalize,mapie.regression.quantile_regression,conformalize,_MapieQuantileRegressor,17048,2026-09-14T15:12:30.603206+00:00,420,"{'alpha': 0.05, 'cv': 'split', 'estimator': ""HistGradientBoostingRegressor(early_stopping=False, learning_rate=0.05,\n                              loss='quantile', max_iter=3, max_leaf_nodes=7,\n                              min_samples_leaf=10, random_state=42)"", 'method': 'quantile'}",58814adb836f9a6318242b8c8887bfb3f13299f4108ca98c2ab8bddd5ff383ce,0.0035576999944169074,0.0,returned,False
review/context_replay005_implementation_20260914/synthetic_debug_operations.jsonl,bd8a74dfcf6a4b009a5fc80e4a05b422,predictor_path_diagnosis,True,calibrator_conformalize,mapie.regression.quantile_regression,conformalize,ConformalizedQuantileRegressor,17048,2026-09-14T15:12:30.603206+00:00,420,{},58814adb836f9a6318242b8c8887bfb3f13299f4108ca98c2ab8bddd5ff383ce,0.00589600000239443,0.015625,returned,False
review/context_replay005_implementation_20260914/synthetic_test_operations.jsonl,3ba5a15927a64b2cb7a8f7f7a3e9da1b,bounded_regression_gate,True,quantile_estimator_fit,sklearn.ensemble._hist_gradient_boosting.gradient_boosting,fit,HistGradientBoostingRegressor,32260,2026-09-14T15:06:09.100821+00:00,520,"{'categorical_features': 'warn', 'early_stopping': False, 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.05, 'loss': 'quantile', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 3, 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': 0.025, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",be7ef172cdf3ded66a55e432e02424953c7c2ec0ccc4a25f3d2c1994ce45791c,0.03224450000561774,0.46875,returned,False
review/context_replay005_implementation_20260914/synthetic_test_operations.jsonl,c389921ba23748cf8cddf29d5a34c3a9,bounded_regression_gate,True,quantile_estimator_fit,sklearn.ensemble._hist_gradient_boosting.gradient_boosting,fit,HistGradientBoostingRegressor,32260,2026-09-14T15:06:09.148200+00:00,520,"{'categorical_features': 'warn', 'early_stopping': False, 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.05, 'loss': 'quantile', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 3, 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': 0.975, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",be7ef172cdf3ded66a55e432e02424953c7c2ec0ccc4a25f3d2c1994ce45791c,0.02441509999334812,0.515625,returned,False
review/context_replay005_implementation_20260914/synthetic_test_operations.jsonl,e3bea26693304f84b165cff2972cc675,bounded_regression_gate,True,quantile_estimator_fit,sklearn.ensemble._hist_gradient_boosting.gradient_boosting,fit,HistGradientBoostingRegressor,32260,2026-09-14T15:06:09.177471+00:00,520,"{'categorical_features': 'warn', 'early_stopping': False, 'interaction_cst': None, 'l2_regularization': 0.0, 'learning_rate': 0.05, 'loss': 'quantile', 'max_bins': 255, 'max_depth': None, 'max_features': 1.0, 'max_iter': 3, 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'monotonic_cst': None, 'n_iter_no_change': 10, 'quantile': 0.5, 'random_state': 42, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",be7ef172cdf3ded66a55e432e02424953c7c2ec0ccc4a25f3d2c1994ce45791c,0.019737599999643862,0.296875,returned,False
review/context_replay005_implementation_20260914/synthetic_test_operations.jsonl,0fd9788fdaad417eb0beeef599d0ff4c,bounded_regression_gate,True,cqr_wrapper_fit,mapie.regression.quantile_regression,fit,ConformalizedQuantileRegressor,32260,2026-09-14T15:06:09.100821+00:00,520,{},be7ef172cdf3ded66a55e432e02424953c7c2ec0ccc4a25f3d2c1994ce45791c,0.09815600000729319,1.296875,returned,False
