control_id,rule_id,channel,family,severity,recall,restricted_ttd_minutes,original_contexts
cqr_rolling,180min_3of18,availability_only,bias,0.5,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,bias,1.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,bias,2.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,block_missing,0.5,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,block_missing,1.0,1.0,30.0,68
cqr_rolling,180min_3of18,availability_only,block_missing,2.0,1.0,20.0,68
cqr_rolling,180min_3of18,availability_only,drift,0.5,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,drift,1.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,drift,2.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,dropout,0.5,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,dropout,1.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,dropout,2.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,level_shift,0.5,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,level_shift,1.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,level_shift,2.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,random_missing,0.5,0.03,107.8,50
cqr_rolling,180min_3of18,availability_only,random_missing,1.0,0.140625,100.234375,64
cqr_rolling,180min_3of18,availability_only,random_missing,2.0,0.47794117647058826,75.73529411764706,68
cqr_rolling,180min_3of18,availability_only,stuck,0.5,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,stuck,1.0,0.0,110.0,68
cqr_rolling,180min_3of18,availability_only,stuck,2.0,0.0,110.0,68
cqr_rolling,180min_3of18,combined,bias,0.5,0.24852941176470586,93.23529411764706,68
cqr_rolling,180min_3of18,combined,bias,1.0,0.3764705882352941,81.5,68
cqr_rolling,180min_3of18,combined,bias,2.0,0.4308823529411765,77.05882352941177,68
cqr_rolling,180min_3of18,combined,block_missing,0.5,0.35294117647058826,84.8529411764706,68
cqr_rolling,180min_3of18,combined,block_missing,1.0,0.7176470588235294,49.0,68
cqr_rolling,180min_3of18,combined,block_missing,2.0,0.7088235294117647,43.0,68
cqr_rolling,180min_3of18,combined,drift,0.5,0.20441176470588235,98.86764705882354,68
cqr_rolling,180min_3of18,combined,drift,1.0,0.35294117647058826,86.91176470588235,68
cqr_rolling,180min_3of18,combined,drift,2.0,0.4029411764705882,80.45588235294117,68
cqr_rolling,180min_3of18,combined,dropout,0.5,0.33235294117647063,86.55882352941177,68
cqr_rolling,180min_3of18,combined,dropout,1.0,0.6735294117647058,53.55882352941177,68
cqr_rolling,180min_3of18,combined,dropout,2.0,0.6794117647058824,46.294117647058826,68
cqr_rolling,180min_3of18,combined,level_shift,0.5,0.3044117647058823,88.97058823529412,68
cqr_rolling,180min_3of18,combined,level_shift,1.0,0.4029411764705882,77.54411764705883,68
cqr_rolling,180min_3of18,combined,level_shift,2.0,0.4441176470588235,72.42647058823529,68
cqr_rolling,180min_3of18,combined,random_missing,0.5,0.256,90.3,50
cqr_rolling,180min_3of18,combined,random_missing,1.0,0.3171875,87.21875,64
cqr_rolling,180min_3of18,combined,random_missing,2.0,0.5161764705882353,70.04411764705883,68
cqr_rolling,180min_3of18,combined,stuck,0.5,0.11764705882352941,104.0,68
cqr_rolling,180min_3of18,combined,stuck,1.0,0.1323529411764706,103.73529411764706,68
cqr_rolling,180min_3of18,combined,stuck,2.0,0.12352941176470589,105.70588235294117,68
cqr_rolling,180min_3of18,numerical_only,bias,0.5,0.24852941176470586,93.23529411764706,68
cqr_rolling,180min_3of18,numerical_only,bias,1.0,0.3764705882352941,81.5,68
cqr_rolling,180min_3of18,numerical_only,bias,2.0,0.4308823529411765,77.05882352941177,68
cqr_rolling,180min_3of18,numerical_only,block_missing,0.5,0.11470588235294119,104.41176470588235,68
cqr_rolling,180min_3of18,numerical_only,block_missing,1.0,0.1264705882352941,104.38235294117646,68
cqr_rolling,180min_3of18,numerical_only,block_missing,2.0,0.12352941176470589,106.97058823529412,68
cqr_rolling,180min_3of18,numerical_only,drift,0.5,0.20441176470588235,98.86764705882354,68
cqr_rolling,180min_3of18,numerical_only,drift,1.0,0.35294117647058826,86.91176470588235,68
cqr_rolling,180min_3of18,numerical_only,drift,2.0,0.4029411764705882,80.45588235294117,68
cqr_rolling,180min_3of18,numerical_only,dropout,0.5,0.33235294117647063,86.55882352941177,68
cqr_rolling,180min_3of18,numerical_only,dropout,1.0,0.6735294117647058,53.55882352941177,68
cqr_rolling,180min_3of18,numerical_only,dropout,2.0,0.6794117647058824,46.294117647058826,68
cqr_rolling,180min_3of18,numerical_only,level_shift,0.5,0.3044117647058823,88.97058823529412,68
cqr_rolling,180min_3of18,numerical_only,level_shift,1.0,0.4029411764705882,77.54411764705883,68
cqr_rolling,180min_3of18,numerical_only,level_shift,2.0,0.4441176470588235,72.42647058823529,68
cqr_rolling,180min_3of18,numerical_only,random_missing,0.5,0.098,103.56,50
cqr_rolling,180min_3of18,numerical_only,random_missing,1.0,0.10625,103.984375,64
cqr_rolling,180min_3of18,numerical_only,random_missing,2.0,0.13088235294117648,103.3970588235294,68
cqr_rolling,180min_3of18,numerical_only,stuck,0.5,0.11764705882352941,104.0,68
cqr_rolling,180min_3of18,numerical_only,stuck,1.0,0.1323529411764706,103.73529411764706,68
cqr_rolling,180min_3of18,numerical_only,stuck,2.0,0.12352941176470589,105.70588235294117,68
cqr_rolling,30min_3of3,availability_only,bias,0.5,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,bias,1.0,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,bias,2.0,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,block_missing,0.5,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,block_missing,1.0,1.0,30.0,68
cqr_rolling,30min_3of3,availability_only,block_missing,2.0,1.0,20.0,68
cqr_rolling,30min_3of3,availability_only,drift,0.5,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,drift,1.0,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,drift,2.0,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,dropout,0.5,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,dropout,1.0,0.0,110.0,68
cqr_rolling,30min_3of3,availability_only,dropout,2.0,0.0,110.0,68
