control_id,rule_id,channel,conditional_context_detection,macro_status,supported_strata,min_effective_contexts,max_effective_contexts,scheduled,effective,null,aliases,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,restricted_ttd_equal_stratum_minutes,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
cqr_rolling,180min_3of18,availability_only,0.1261221988795518,supported_point_estimate,21,50,68,2856,2742,114,763,349,2393,30.0,40.0,99.70331757703082,9907,68.79861111111111,0,0.0,0,0.0,0.0
cqr_static,180min_3of18,availability_only,0.1261221988795518,supported_point_estimate,21,50,68,2856,2742,114,763,349,2393,30.0,40.0,99.70331757703082,9907,68.79861111111111,0,0.0,0,0.0,0.0
persistence_static,180min_3of18,availability_only,0.1261221988795518,supported_point_estimate,21,50,68,2856,2742,114,763,349,2393,30.0,40.0,99.70331757703082,9907,68.79861111111111,0,0.0,0,0.0,0.0
quantile_static,180min_3of18,availability_only,0.1261221988795518,supported_point_estimate,21,50,68,2856,2742,114,763,349,2393,30.0,40.0,99.70331757703082,9907,68.79861111111111,0,0.0,0,0.0,0.0
cqr_rolling,30min_3of3,availability_only,0.10777223389355742,supported_point_estimate,21,50,68,2856,2742,114,763,303,2439,30.0,30.0,100.96954656862744,9907,68.79861111111111,0,0.0,0,0.0,0.0
cqr_static,30min_3of3,availability_only,0.10777223389355742,supported_point_estimate,21,50,68,2856,2742,114,763,303,2439,30.0,30.0,100.96954656862744,9907,68.79861111111111,0,0.0,0,0.0,0.0
persistence_static,30min_3of3,availability_only,0.10777223389355742,supported_point_estimate,21,50,68,2856,2742,114,763,303,2439,30.0,30.0,100.96954656862744,9907,68.79861111111111,0,0.0,0,0.0,0.0
quantile_static,30min_3of3,availability_only,0.10777223389355742,supported_point_estimate,21,50,68,2856,2742,114,763,303,2439,30.0,30.0,100.96954656862744,9907,68.79861111111111,0,0.0,0,0.0,0.0
cqr_rolling,360min_4of36,availability_only,0.05965511204481792,supported_point_estimate,21,50,68,2856,2742,114,763,166,2576,30.0,50.0,105.41557247899159,9907,68.79861111111111,0,0.0,0,0.0,0.0
cqr_static,360min_4of36,availability_only,0.05965511204481792,supported_point_estimate,21,50,68,2856,2742,114,763,166,2576,30.0,50.0,105.41557247899159,9907,68.79861111111111,0,0.0,0,0.0,0.0
persistence_static,360min_4of36,availability_only,0.05965511204481792,supported_point_estimate,21,50,68,2856,2742,114,763,166,2576,30.0,50.0,105.41557247899159,9907,68.79861111111111,0,0.0,0,0.0,0.0
