scope,control_id,target,streams,n,unavailable_n,coverage,mpiw,winkler
identity,cqr_rolling,clean_counterfactual,68,9792.0,0.0,0.9105392156862745,0.4972826724236654,0.9254024725200104
identity,cqr_rolling,corrupted_observation,68,9792.0,0.0,0.9105392156862745,0.4972826724236654,0.9254024725200104
identity,cqr_static,clean_counterfactual,68,9792.0,0.0,0.8566176470588235,0.3808916943389073,1.1717319844203793
identity,cqr_static,corrupted_observation,68,9792.0,0.0,0.8566176470588235,0.3808916943389073,1.1717319844203793
identity,persistence_static,clean_counterfactual,68,9792.0,0.0,0.6483864379084967,0.125,3.715750102124183
identity,persistence_static,corrupted_observation,68,9792.0,0.0,0.6483864379084967,0.125,3.715750102124183
identity,quantile_static,clean_counterfactual,68,9792.0,0.0,0.8409926470588235,0.43573383609833777,1.0528769839042886
identity,quantile_static,corrupted_observation,68,9792.0,0.0,0.8409926470588235,0.43573383609833777,1.0528769839042886
all_scheduled_fault_slots,cqr_rolling,clean_counterfactual,2856,411264.0,0.0,0.9112273381574852,0.5057015255592004,0.9340334413768641
all_scheduled_fault_slots,cqr_rolling,corrupted_observation,2856,409195.0,2069.0,0.9047251310499884,0.5058754089207836,0.960615089737038
all_scheduled_fault_slots,cqr_static,clean_counterfactual,2856,411264.0,0.0,0.8576777933395581,0.3883511018540995,1.1809244349931756
all_scheduled_fault_slots,cqr_static,corrupted_observation,2856,409195.0,2069.0,0.8505382519336746,0.3885272201899816,1.2049112690086552
all_scheduled_fault_slots,persistence_static,clean_counterfactual,2856,411264.0,0.0,0.6385752217553688,0.125,3.795959919206398
all_scheduled_fault_slots,persistence_static,corrupted_observation,2856,409195.0,2069.0,0.6453255782695292,0.125,3.7300873953127485
all_scheduled_fault_slots,quantile_static,clean_counterfactual,2856,411264.0,0.0,0.8417828937130408,0.44319323522132037,1.0613246736985729
all_scheduled_fault_slots,quantile_static,corrupted_observation,2856,409195.0,2069.0,0.8352399222864404,0.4433698355548396,1.0936262644875094
effective_fault_slots,cqr_rolling,clean_counterfactual,2742,394848.0,0.0,0.9117964381230246,0.5045431362443488,0.9297523378459637
effective_fault_slots,cqr_rolling,corrupted_observation,2742,392779.0,2069.0,0.9050254723394071,0.5047181850495309,0.9574224016669315
effective_fault_slots,cqr_static,clean_counterfactual,2742,394848.0,0.0,0.8585556973822838,0.3876387334476928,1.1745939117670614
effective_fault_slots,cqr_static,corrupted_observation,2742,392779.0,2069.0,0.8511223868893194,0.38781846009351256,1.1995499167785546
effective_fault_slots,persistence_static,clean_counterfactual,2742,394848.0,0.0,0.6399500567306913,0.125,3.780126238989434
effective_fault_slots,persistence_static,corrupted_observation,2742,392779.0,2069.0,0.6469897830586666,0.125,3.7114172008304918
effective_fault_slots,quantile_static,clean_counterfactual,2742,394848.0,0.0,0.8424912877866926,0.4424809946146806,1.0554601202720695
effective_fault_slots,quantile_static,corrupted_observation,2742,392779.0,2069.0,0.8356785877045362,0.4426612240761825,1.0890808476577993
