control_a,control_b,metric,definition,rule_id,channel,paired_strata,min_paired_contexts,status,equal_stratum_mean_difference
quantile_static,cqr_static,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.030006127450980385
quantile_static,cqr_static,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.021713935574229695
quantile_static,cqr_static,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,0.012724089635854339
quantile_static,cqr_static,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,0.006869747899159662
quantile_static,cqr_static,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,0.03632265406162465
quantile_static,cqr_static,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.033264180672268905
quantile_static,cqr_static,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.07164215686274511
quantile_static,cqr_static,recall,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,0.05812324929971988
quantile_static,cqr_static,recall,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,recall,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-0.007024684873949581
quantile_static,cqr_static,recall,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,0.028068977591036416
quantile_static,cqr_static,restricted_delay,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,restricted_delay,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,-1.3679621848739496
quantile_static,cqr_static,restricted_delay,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,-0.9348651960784312
quantile_static,cqr_static,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-1.5844100140056023
quantile_static,cqr_static,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-1.2410189075630254
quantile_static,cqr_static,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-2.7964023109243694
quantile_static,cqr_static,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-2.2482142857142855
quantile_static,cqr_static,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-5.29704131652661
quantile_static,cqr_static,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-4.403492647058824
quantile_static,cqr_static,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_static,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,2.6873949579831926
quantile_static,cqr_static,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-0.16762955182072836
quantile_static,cqr_rolling,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.045110294117647054
quantile_static,cqr_rolling,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.0630654761904762
quantile_static,cqr_rolling,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,0.06751225490196078
quantile_static,cqr_rolling,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,0.05711659663865546
quantile_static,cqr_rolling,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,0.022831757703081237
quantile_static,cqr_rolling,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.025112920168067227
quantile_static,cqr_rolling,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.11089285714285715
quantile_static,cqr_rolling,recall,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,0.0905015756302521
quantile_static,cqr_rolling,recall,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,recall,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,0.0811344537815126
quantile_static,cqr_rolling,recall,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,0.15337710084033615
quantile_static,cqr_rolling,restricted_delay,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,-4.85295868347339
quantile_static,cqr_rolling,restricted_delay,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,-5.680435924369748
quantile_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-4.305479691876751
quantile_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-3.3494222689075634
quantile_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-2.8769082633053222
quantile_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-2.047942927170868
quantile_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-7.580365896358544
quantile_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-5.622715336134455
quantile_static,cqr_rolling,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-5.788007703081233
quantile_static,cqr_rolling,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-11.032134103641456
quantile_static,persistence_static,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.3395238095238095
quantile_static,persistence_static,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.3153982843137255
quantile_static,persistence_static,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-0.044543067226890755
quantile_static,persistence_static,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-0.12413252801120452
quantile_static,persistence_static,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,0.20171831232492998
quantile_static,persistence_static,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.17210696778711487
quantile_static,persistence_static,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.11429446778711486
