part,bytes,sha256,members,uncompressed_bytes
core.zip,23592976,373cb197ec2f1b98b3f63bc90ad67a4652a1224a8c408b13f4eb1b23767cb016,85,47805255
contexts_01_08.zip,63992394,2ba14727a6c5c1bb6af812d71f2acaf91e2ad384f409675c6011dc6a0bef17fe,15057,61794723
contexts_09_16.zip,63356721,880eb20d2ad8c2857dd56739211212338af344c0c8090e94117b58592f840b31,15057,61162057
contexts_17_24.zip,64064120,af9103771336925458674ef2fd5f6163ade2ce1e433d1fadf5098f8d25610b4f,15057,61871487
contexts_25_32.zip,63447404,628870f2227c0d380a75f7935568a68224d751bfc8cd0a3fd38fa8fdae8746fa,15002,61258600
contexts_33_40.zip,63417481,c89593749683839c60cc7579414cb97cd0a372dff8113428a7761b29add06fe7,15222,61199864
contexts_41_48.zip,61975649,72703f0708b6b3fc81187e35ffc514be817b5280d0874eaf7414417b12abc1b7,14672,59834908
contexts_49_56.zip,64179465,edb1e772432cc57e2679008f51b8602e23e545c6826bbbb18e7f3ab13be90343,15002,61990341
contexts_57_64.zip,62662392,d3d43378f309d534c95f21ae0cc2f21fec3135c230f9e41c3b2ab5cb98f255fc,14947,60484871
contexts_65_68.zip,31575610,d80c36b45c7e01120375cf59ac62cce0ae2376af3c020d515007c21cd1026de9,7611,30465396
