part,bytes,sha256,members,uncompressed_bytes
core.zip,22343374,f3a41f12a652fd6196e460be2aaa0d0931318582ed7beac66c168ca62f59aff1,85,45454523
contexts_01_08.zip,61405459,2620bd7bc10eac1e7485b2b7529ee226d83778e315366a8cd1adb2e546af8a03,14837,59293756
contexts_09_16.zip,62885588,41a07f1ae4c1865db73fe755c0ea6370a7506261cfa80ee4f06467c711be1411,15112,60728282
contexts_17_24.zip,62057145,c1c6cb263a2aef9e3f6ba45085880845ccba74809539714d4fbbc459dd6a11f4,14947,59926979
contexts_25_32.zip,62411939,318706c04125e8cea5b0867a51db42b319a1c9df9ef3ca2e4ee012f1d090bf10,15002,60274478
contexts_33_40.zip,63039739,dbb1148a789318967b92a1ca1db05433226b72d9badb15ce22449fdf3422302c,15167,60877487
contexts_41_48.zip,62084729,ad6379c10efede066ae462d83c3d8ed0dbfae5841f2a3bbda3299b80d1f31707,14947,59953796
contexts_49_56.zip,61073277,69b7ef949b64350904d322b31121e78ee22ac54a90a9e80bf8740d9245fafa38,14727,58975533
contexts_57_64.zip,61921006,ba3cb4d86905a26f6fbacd233a2a69f71d7801472047255a5a90ceeb661050c5,14947,59796763
contexts_65_68.zip,30670256,3fab0d73a97ea3433b38d8758e409073cc17b4dd53b93d2ed495675c6e9f1ba4,7391,29616392
