control_a,control_b,definition,rule_id,channel,point_difference,status,valid_draws,lower,upper,draw_hash
quantile_static,cqr_static,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,180min_3of18,combined,-0.07848055064011329,supported,2000,-0.18350423381408978,-0.0055220067055438355,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,180min_3of18,numerical_only,-0.04368819153229106,supported,2000,-0.11885001263836516,0.0,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,30min_3of3,combined,-0.0065348665423339836,supported,2000,-0.0658527215285469,0.03520377917055987,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,30min_3of3,numerical_only,0.02352379100569496,supported,2000,-0.03315547299784132,0.069088432194169,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,360min_4of36,combined,-0.053763761344901344,supported,2000,-0.1274231855112013,-0.00021008403361344536,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,360min_4of36,numerical_only,-0.03838220638677275,supported,2000,-0.09385158562224598,-0.00021008403361344536,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,60min_4of6,combined,-0.0005081972763148479,supported,2000,-0.04747710060694025,0.030528868495371096,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,60min_4of6,numerical_only,0.008843450585944934,supported,2000,-0.03963128513268424,0.047153620486141495,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,single_sample,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,single_sample,combined,-0.014956447780279991,supported,2000,-0.05802577889506764,0.013675398600567969,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,single_sample,numerical_only,0.03783801807549769,supported,2000,-0.017239228230670495,0.07307356532356522,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,180min_3of18,combined,-0.2913529635572594,supported,2000,-0.4028070668608353,-0.23674099817346597,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,180min_3of18,numerical_only,-0.1796700356002232,supported,2000,-0.2929071582052199,-0.11859069291684474,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,30min_3of3,combined,-0.09129504900597496,supported,2000,-0.23121145328891393,0.03593183099397416,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,30min_3of3,numerical_only,0.17498500941583645,supported,2000,0.09439035683246617,0.24667140188116324,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,360min_4of36,combined,-0.1448907783424856,supported,2000,-0.21089994092491846,-0.11609150841902582,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,360min_4of36,numerical_only,-0.10587398854739818,supported,2000,-0.1737428608168731,-0.07346684007170012,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
