dataset,outer_fold,model_seed,control_id,rule_id,channel,group_id,original_segment_id,eligible_rows,asset_days,episodes,episodes_per_asset_day,alert_rows,time_in_alert_days
pleia,2,42,quantile_static,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,282,4.098919955586958,7688,53.388888888888886
pleia,2,42,quantile_static,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,quantile_static,single_sample,combined,,None:segment:0,9907,68.79861111111111,282,4.098919955586958,7688,53.388888888888886
pleia,2,42,quantile_static,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,106,1.5407287776319774,7255,50.38194444444444
pleia,2,42,quantile_static,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,quantile_static,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,106,1.5407287776319774,7255,50.38194444444444
pleia,2,42,quantile_static,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,80,1.1628141717977187,7458,51.791666666666664
pleia,2,42,quantile_static,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,quantile_static,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,80,1.1628141717977187,7458,51.791666666666664
pleia,2,42,quantile_static,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,45,0.6540829716362168,8720,60.55555555555555
pleia,2,42,quantile_static,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,quantile_static,180min_3of18,combined,,None:segment:0,9907,68.79861111111111,45,0.6540829716362168,8720,60.55555555555555
pleia,2,42,quantile_static,360min_4of36,numerical_only,,None:segment:0,9907,68.79861111111111,26,0.37791460583425857,9190,63.81944444444444
pleia,2,42,quantile_static,360min_4of36,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,quantile_static,360min_4of36,combined,,None:segment:0,9907,68.79861111111111,26,0.37791460583425857,9190,63.81944444444444
pleia,2,42,cqr_static,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,183,2.6599374179872814,6691,46.46527777777778
pleia,2,42,cqr_static,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_static,single_sample,combined,,None:segment:0,9907,68.79861111111111,183,2.6599374179872814,6691,46.46527777777778
pleia,2,42,cqr_static,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,103,1.497123246189563,6382,44.31944444444444
pleia,2,42,cqr_static,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_static,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,103,1.497123246189563,6382,44.31944444444444
pleia,2,42,cqr_static,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,77,1.1192086403553043,6579,45.6875
pleia,2,42,cqr_static,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_static,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,77,1.1192086403553043,6579,45.6875
pleia,2,42,cqr_static,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,36,0.5232663773089734,7504,52.11111111111111
pleia,2,42,cqr_static,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_static,180min_3of18,combined,,None:segment:0,9907,68.79861111111111,36,0.5232663773089734,7504,52.11111111111111
pleia,2,42,cqr_static,360min_4of36,numerical_only,,None:segment:0,9907,68.79861111111111,17,0.24709801150701524,7901,54.86805555555555
pleia,2,42,cqr_static,360min_4of36,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_static,360min_4of36,combined,,None:segment:0,9907,68.79861111111111,17,0.24709801150701524,7901,54.86805555555555
pleia,2,42,cqr_rolling,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,212,3.0814575552639547,910,6.319444444444444
pleia,2,42,cqr_rolling,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_rolling,single_sample,combined,,None:segment:0,9907,68.79861111111111,212,3.0814575552639547,910,6.319444444444444
pleia,2,42,cqr_rolling,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,88,1.2790955889774906,584,4.055555555555555
pleia,2,42,cqr_rolling,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_rolling,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,88,1.2790955889774906,584,4.055555555555555
pleia,2,42,cqr_rolling,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,60,0.872110628848289,752,5.222222222222222
pleia,2,42,cqr_rolling,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_rolling,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,60,0.872110628848289,752,5.222222222222222
pleia,2,42,cqr_rolling,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,65,0.9447865145856464,1840,12.777777777777777
pleia,2,42,cqr_rolling,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_rolling,180min_3of18,combined,,None:segment:0,9907,68.79861111111111,65,0.9447865145856464,1840,12.777777777777777
pleia,2,42,cqr_rolling,360min_4of36,numerical_only,,None:segment:0,9907,68.79861111111111,53,0.7703643888159887,2615,18.15972222222222
pleia,2,42,cqr_rolling,360min_4of36,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,cqr_rolling,360min_4of36,combined,,None:segment:0,9907,68.79861111111111,53,0.7703643888159887,2615,18.15972222222222
pleia,2,42,persistence_static,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,292,4.244271727061673,345,2.395833333333333
pleia,2,42,persistence_static,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,persistence_static,single_sample,combined,,None:segment:0,9907,68.79861111111111,292,4.244271727061673,345,2.395833333333333
pleia,2,42,persistence_static,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,8,0.11628141717977188,8,0.05555555555555555
pleia,2,42,persistence_static,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,persistence_static,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,8,0.11628141717977188,8,0.05555555555555555
pleia,2,42,persistence_static,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,7,0.10174624003230039,14,0.09722222222222221
pleia,2,42,persistence_static,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,persistence_static,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,7,0.10174624003230039,14,0.09722222222222221
pleia,2,42,persistence_static,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,56,0.8139699202584031,620,4.305555555555555
pleia,2,42,persistence_static,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,persistence_static,180min_3of18,combined,,None:segment:0,9907,68.79861111111111,56,0.8139699202584031,620,4.305555555555555
pleia,2,42,persistence_static,360min_4of36,numerical_only,,None:segment:0,9907,68.79861111111111,48,0.6976885030786313,990,6.875
pleia,2,42,persistence_static,360min_4of36,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,42,persistence_static,360min_4of36,combined,,None:segment:0,9907,68.79861111111111,48,0.6976885030786313,990,6.875
pleia,2,43,quantile_static,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,305,4.433229029978802,7831,54.38194444444444
pleia,2,43,quantile_static,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,quantile_static,single_sample,combined,,None:segment:0,9907,68.79861111111111,305,4.433229029978802,7831,54.38194444444444
pleia,2,43,quantile_static,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,106,1.5407287776319774,7360,51.11111111111111
pleia,2,43,quantile_static,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,quantile_static,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,106,1.5407287776319774,7360,51.11111111111111
pleia,2,43,quantile_static,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,82,1.1918845260926616,7584,52.666666666666664
pleia,2,43,quantile_static,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,quantile_static,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,82,1.1918845260926616,7584,52.666666666666664
pleia,2,43,quantile_static,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,44,0.6395477944887453,8937,62.0625
pleia,2,43,quantile_static,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,quantile_static,180min_3of18,combined,,None:segment:0,9907,68.79861111111111,44,0.6395477944887453,8937,62.0625
pleia,2,43,quantile_static,360min_4of36,numerical_only,,None:segment:0,9907,68.79861111111111,21,0.3052387200969012,9384,65.16666666666666
pleia,2,43,quantile_static,360min_4of36,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,quantile_static,360min_4of36,combined,,None:segment:0,9907,68.79861111111111,21,0.3052387200969012,9384,65.16666666666666
pleia,2,43,cqr_static,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,199,2.8925002523468253,6853,47.59027777777778
pleia,2,43,cqr_static,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_static,single_sample,combined,,None:segment:0,9907,68.79861111111111,199,2.8925002523468253,6853,47.59027777777778
pleia,2,43,cqr_static,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,108,1.5697991319269202,6526,45.31944444444444
pleia,2,43,cqr_static,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_static,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,108,1.5697991319269202,6526,45.31944444444444
pleia,2,43,cqr_static,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,78,1.1337438175027759,6732,46.75
pleia,2,43,cqr_static,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_static,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,78,1.1337438175027759,6732,46.75
pleia,2,43,cqr_static,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,33,0.479660845866559,7676,53.30555555555555
pleia,2,43,cqr_static,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_static,180min_3of18,combined,,None:segment:0,9907,68.79861111111111,33,0.479660845866559,7676,53.30555555555555
pleia,2,43,cqr_static,360min_4of36,numerical_only,,None:segment:0,9907,68.79861111111111,19,0.2761683658019582,8039,55.826388888888886
pleia,2,43,cqr_static,360min_4of36,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_static,360min_4of36,combined,,None:segment:0,9907,68.79861111111111,19,0.2761683658019582,8039,55.826388888888886
pleia,2,43,cqr_rolling,single_sample,numerical_only,,None:segment:0,9907,68.79861111111111,223,3.241344503886141,901,6.256944444444444
pleia,2,43,cqr_rolling,single_sample,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_rolling,single_sample,combined,,None:segment:0,9907,68.79861111111111,223,3.241344503886141,901,6.256944444444444
pleia,2,43,cqr_rolling,30min_3of3,numerical_only,,None:segment:0,9907,68.79861111111111,89,1.2936307661249622,563,3.909722222222222
pleia,2,43,cqr_rolling,30min_3of3,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_rolling,30min_3of3,combined,,None:segment:0,9907,68.79861111111111,89,1.2936307661249622,563,3.909722222222222
pleia,2,43,cqr_rolling,60min_4of6,numerical_only,,None:segment:0,9907,68.79861111111111,67,0.9738568688805894,726,5.041666666666666
pleia,2,43,cqr_rolling,60min_4of6,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,43,cqr_rolling,60min_4of6,combined,,None:segment:0,9907,68.79861111111111,67,0.9738568688805894,726,5.041666666666666
pleia,2,43,cqr_rolling,180min_3of18,numerical_only,,None:segment:0,9907,68.79861111111111,65,0.9447865145856464,1872,13.0
pleia,2,43,cqr_rolling,180min_3of18,availability_only,,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
