file,format,size_mb,n_rows,n_cols,timestamp_columns,identifier_columns,numeric_columns,missing_fraction,min_timestamp,max_timestamp,primary_timestamp_column,note
Data_Nature\.ipynb_checkpoints\Notebook_Scientific_Data_Nature-checkpoint.ipynb,ipynb,1.832,,,,,,,,,,non-tabular; not profiled as a table
Data_Nature\Notebook_Scientific_Data_Nature.ipynb,ipynb,3.027,,,,,,,,,,non-tabular; not profiled as a table
Data_Nature\processed_data\consA-10T.csv,csv,2.317,50545,3,Date,,dif_cons; cons_total,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\consA-60T.csv,csv,0.367,8266,4,Date,,dif_cons_real; cons_total; dif_cons_smooth,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\consB-10T.csv,csv,2.538,50545,3,Date,,dif_cons; cons_total,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\consB-60T.csv,csv,0.366,8268,4,Date,,dif_cons_real; cons_total; dif_cons_smooth,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\consC-10T.csv,csv,2.468,50545,3,Date,,dif_cons; cons_total,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\consC-60T.csv,csv,0.354,7965,4,Date,,dif_cons_real; cons_total; dif_cons_smooth,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\data-model-consumoA-60T.csv,csv,1.208,7611,27,Date,Unnamed: 0,Unnamed: 0; dif_cons_real; cons_total; dif_cons_smooth; V2; V4; V12; V26; V5_0; V5_1; V5_2; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv,0.0,2021-01-05 07:00:00+00:00,2021-12-17 23:00:00+00:00,Date,
Data_Nature\processed_data\data-model-consumoB-60T.csv,csv,1.14,8266,27,Date,Unnamed: 0,Unnamed: 0; dif_cons_real; cons_total; dif_cons_smooth; V2; V4; V12; V26; V5_0; V5_1; V5_2; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv,0.0,2021-01-01 01:00:00+00:00,2021-12-17 23:00:00+00:00,Date,
Data_Nature\processed_data\data-model-consumoC-60T.csv,csv,1.076,7963,27,Date,Unnamed: 0,Unnamed: 0; dif_cons_real; cons_total; dif_cons_smooth; V2; V4; V12; V26; V5_0; V5_1; V5_2; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv,0.0,2021-01-01 01:00:00+00:00,2021-12-17 23:00:00+00:00,Date,
Data_Nature\processed_data\data-room10T-all.csv,csv,357.115,2527150,27,Date,Date; room; block,room; dif_cons; cons_total; V12; V4; V26; V5_0; V5_1; V5_2; V2; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:10:00+00:00,2021-12-17 23:50:00+00:00,Date,
Data_Nature\processed_data\data-roomA-10T.csv,csv,281.736,2021720,29,Date,Date; IDhvac; block; room; IDsensor,dif_cons; cons_total; IDhvac; room; V12; V4; V26; V5_0; V5_1; V5_2; IDsensor; V2; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:10:00+00:00,2021-12-17 23:50:00+00:00,Date,
Data_Nature\processed_data\data-roomB-10T.csv,csv,107.068,758145,30,Date,IDhvac; block; room; IDsensor,dif_cons; cons_total; IDhvac; room; V12; V4; V26; V5_0; V5_1; V5_2; V5_4; IDsensor; V2; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:10:00+00:00,2021-12-17 23:50:00+00:00,Date,
Data_Nature\processed_data\data-roomC-10T.csv,csv,42.236,303258,29,Date,IDhvac; block; room; IDsensor,dif_cons; cons_total; IDhvac; room; V12; V4; V26; V5_0; V5_1; V5_2; IDsensor; V2; tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:10:00+00:00,2021-12-17 23:50:00+00:00,Date,
Data_Nature\processed_data\data-weather-10T.csv,csv,3.234,50543,9,Date,,tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv,0.0,2021-01-01 00:10:00+00:00,2021-12-17 23:50:00+00:00,Date,
Data_Nature\processed_data\data-weather-60T.csv,csv,0.532,8424,9,Date,,tmed; hrmed; radmed; vvmed; dvmed; prec; dewpt; dpv,0.0,2021-01-01 00:00:00+00:00,2021-12-17 23:00:00+00:00,Date,
Data_Nature\processed_data\hvac-aggA-60T.csv,csv,0.506,8425,14,Date,,V4; V12; V26; V5_0; V5_1; V5_2; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\hvac-aggB-60T.csv,csv,0.504,8425,14,Date,,V4; V12; V26; V5_0; V5_1; V5_2; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\hvac-aggC-60T.csv,csv,0.505,8425,14,Date,,V4; V12; V26; V5_0; V5_1; V5_2; Hour_1; Hour_2; Hour_3; Season_1; Season_2; Season_3; Season_4,0.0,2021-01-01 00:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\temp-sensorA-60T.csv,csv,0.374,8424,2,Date,,V2,0.0,2021-01-01 01:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\temp-sensorB-60T.csv,csv,0.372,8424,2,Date,,V2,0.0,2021-01-01 01:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\processed_data\temp-sensorC-60T.csv,csv,0.355,8424,2,Date,,V2,0.0,2021-01-01 01:00:00+00:00,2021-12-18 00:00:00+00:00,Date,
Data_Nature\raw_data\data-CO2.csv,csv,561.934,10217246,3,Date,IDdevice,IDdevice; V17,0.0,2021-01-01 00:00:11.342000+01:00,2021-12-31 23:59:57.460000+01:00,Date,
Data_Nature\raw_data\data-cons.csv,csv,9.228,154833,4,Date,ID; IDdevice,ID; IDdevice; V22,0.0,2021-01-01 00:03:32.406000+01:00,2021-12-31 23:56:08.958000+01:00,Date,
Data_Nature\raw_data\data-hvac.csv,csv,220.552,4339076,7,Date,IDdevice; Date,IDdevice; V4; V5; V6; V12; V26,0.0,2021-01-01 00:00:59.868000+01:00,2021-12-31 23:51:40.395000+01:00,Date,
Data_Nature\raw_data\data-presence.csv,csv,12.527,314198,3,Date,IDdevice,IDdevice; V2,0.0,2021-01-02 08:51:08.814000+01:00,2021-12-31 19:39:03.230000+01:00,Date,
Data_Nature\raw_data\data-sensor.csv,csv,504.748,9857796,3,Date,IDdevice,IDdevice; V2,0.0,2021-01-01 00:02:08.034000+01:00,2021-12-31 23:55:19.635000+01:00,Date,
Data_Nature\raw_data\MU62_dm.txt,txt,6.63,55713,16,fecha; hora,fecha; hora,tmed; tmax; tmin; hrmed; hrmax; hrmin; radmed; radmax; vvmed; vvmax; dvmed; prec; dewpt; dpv,0.0,2021-01-01 00:00:00,2022-12-02 00:00:00,fecha,
Data_Nature\raw_data\relations-CO2.csv,csv,0.0,14,3,,block; room; ID,room; ID,0.0,,,,
Data_Nature\raw_data\relations-hvac.csv,csv,0.001,87,3,,ID; block; room,ID; room,0.0,,,,
Data_Nature\raw_data\relations-presence.csv,csv,0.0,12,3,,block; room; ID,room; ID,0.0,,,,
Data_Nature\raw_data\relations-sensor.csv,csv,0.001,90,3,,ID; block; room,ID; room,0.0,,,,
