dataset,event_id,event_type,severity,magnitude_sd,start_index,end_index,start_time,end_time,n_steps
test,0,level_shift,0.5sd,0.5,164,175,2021-10-09 22:40:00,2021-10-10 00:30:00,12
test,1,level_shift,0.5sd,0.5,230,241,2021-10-10 09:40:00,2021-10-10 11:30:00,12
test,2,drift,high,2.0,913,948,2021-10-15 03:30:00,2021-10-15 09:20:00,36
test,3,level_shift,1.0sd,1.0,1089,1100,2021-10-16 08:50:00,2021-10-16 10:40:00,12
test,4,level_shift,2.0sd,2.0,1629,1640,2021-10-20 02:50:00,2021-10-20 04:40:00,12
test,5,spike,spike,4.0,2096,2096,2021-10-23 08:40:00,2021-10-23 08:40:00,1
test,6,drift,high,2.0,2299,2334,2021-10-24 18:30:00,2021-10-25 00:20:00,36
test,7,drift,high,2.0,2559,2594,2021-10-26 13:50:00,2021-10-26 19:40:00,36
test,8,spike,spike,4.0,3334,3334,2021-10-31 23:00:00,2021-10-31 23:00:00,1
test,9,spike,spike,4.0,3533,3533,2021-11-02 08:10:00,2021-11-02 08:10:00,1
test,10,drift,low,1.0,4463,4498,2021-11-08 19:10:00,2021-11-09 01:00:00,36
test,11,level_shift,1.0sd,1.0,4544,4555,2021-11-09 08:40:00,2021-11-09 10:30:00,12
test,12,stuck,stuck,0.0,4610,4627,2021-11-09 19:40:00,2021-11-09 22:30:00,18
test,13,level_shift,0.5sd,0.5,5332,5343,2021-11-14 20:00:00,2021-11-14 21:50:00,12
test,14,stuck,stuck,0.0,5584,5601,2021-11-16 14:00:00,2021-11-16 16:50:00,18
test,15,stuck,stuck,0.0,6097,6114,2021-11-20 03:30:00,2021-11-20 06:20:00,18
test,16,level_shift,1.0sd,1.0,6538,6549,2021-11-23 05:00:00,2021-11-23 06:50:00,12
test,17,level_shift,2.0sd,2.0,6597,6608,2021-11-23 14:50:00,2021-11-23 16:40:00,12
test,18,drift,low,1.0,7755,7790,2021-12-01 15:50:00,2021-12-01 21:40:00,36
test,19,drift,low,1.0,9143,9178,2021-12-11 07:10:00,2021-12-11 13:00:00,36
test,20,level_shift,2.0sd,2.0,9693,9704,2021-12-15 02:50:00,2021-12-15 04:40:00,12
