dataset,metric,estimate,ci_low,ci_high,n_boot,n_units
pleia,macro_event_recall,0.6629629629629629,0.615797534824483,0.7067687878709261,2000,23
pleia,empirical_coverage,0.8461895629352982,0.7431172403351165,0.9337589583123044,2000,4
pleia,background_episodes_per_asset_day,1.6851115372968608,1.3554052690017158,2.1593822549712325,2000,4
pleia_energy,macro_event_recall,0.725925925925926,0.6566418376036761,0.7852366158744097,2000,23
pleia_energy,empirical_coverage,0.7862597988090031,0.7550813136347005,0.8113219449420908,2000,4
pleia_energy,background_episodes_per_asset_day,10.441417236001747,7.074921791877764,13.69692160709494,2000,4
rico,macro_event_recall,0.3333333333333333,0.3333333333333333,0.3333333333333333,2000,3
rico,empirical_coverage,1.0,1.0,1.0,2000,3
rico,background_episodes_per_asset_day,0.0,0.0,0.0,2000,4
bdg2,macro_event_recall,0.37302791465277335,0.3356655300178616,0.41410794361483244,2000,10
bdg2,empirical_coverage,0.8906491558666307,0.8647647865244292,0.9146506712106709,2000,10
bdg2,background_episodes_per_asset_day,1.4326830373370707,1.37943651987245,1.4935362001537797,2000,4
