dataset,scope,metric,estimate,ci_low,ci_high,n_independent_units,method
pleia,all_60_units,empirical_coverage,0.8462,NA,NA,3,NA_insufficient_independent_groups(<4)
pleia,all_60_units,macro_event_recall_unitmean,0.698,NA,NA,3,NA_insufficient_independent_groups(<4)
pleia,all_60_units,background_per_asset_day,1.6851,NA,NA,3,NA_insufficient_independent_groups(<4)
pleia,feasible_only,empirical_coverage,0.7937,NA,NA,2,NA_insufficient_independent_groups(<4)
pleia,feasible_only,macro_event_recall_unitmean,0.6706,NA,NA,2,NA_insufficient_independent_groups(<4)
pleia,feasible_only,background_per_asset_day,1.2355,NA,NA,2,NA_insufficient_independent_groups(<4)
pleia_energy,all_60_units,empirical_coverage,0.7863,NA,NA,3,NA_insufficient_independent_groups(<4)
pleia_energy,all_60_units,macro_event_recall_unitmean,0.7451,NA,NA,3,NA_insufficient_independent_groups(<4)
pleia_energy,all_60_units,background_per_asset_day,10.4414,NA,NA,3,NA_insufficient_independent_groups(<4)
pleia_energy,feasible_only,empirical_coverage,0.912,NA,NA,2,NA_insufficient_independent_groups(<4)
pleia_energy,feasible_only,macro_event_recall_unitmean,0.4559,NA,NA,2,NA_insufficient_independent_groups(<4)
pleia_energy,feasible_only,background_per_asset_day,0.1599,NA,NA,2,NA_insufficient_independent_groups(<4)
rico,all_60_units,empirical_coverage,1.0,NA,NA,3,NA_insufficient_independent_groups(<4)
rico,all_60_units,macro_event_recall_unitmean,0.4167,NA,NA,3,NA_insufficient_independent_groups(<4)
rico,all_60_units,background_per_asset_day,0.0,NA,NA,3,NA_insufficient_independent_groups(<4)
rico,feasible_only,ALL,,,,0,no_feasible_units
bdg2,all_60_units,empirical_coverage,0.8908,0.8649,0.9147,10,percentile_bootstrap
bdg2,all_60_units,macro_event_recall_unitmean,0.3746,0.3338,0.4165,10,percentile_bootstrap
bdg2,all_60_units,background_per_asset_day,1.4327,NA,NA,3,NA_insufficient_independent_groups(<4)
bdg2,feasible_only,ALL,,,,0,no_feasible_units
