ablation,applicable,dataset,seed,outer_fold,interval_method,recalibration,rule,macro_recall,background_episodes_per_asset_day,operational_feasible
baseline,True,bdg2,42,0,quantile_uncalibrated,static,single,0.3720766991953432,1.478541762805722,False
conformal_only,True,bdg2,42,0,cqr,static,single,0.3716829310049648,1.154591601292109,False
temporal,True,bdg2,42,0,cqr,static,single,0.3716829310049648,1.154591601292109,False
full,True,bdg2,42,0,cqr,static,single,0.3716829310049648,1.154591601292109,False
baseline,True,bdg2,42,1,quantile_uncalibrated,static,single,0.3230976341807909,1.357484857225267,False
conformal_only,True,bdg2,42,1,cqr,static,single,0.36593249764595104,1.1152004614940871,False
temporal,True,bdg2,42,1,cqr,static,single,0.36593249764595104,1.1152004614940871,False
full,True,bdg2,42,1,cqr,periodic,single,0.3711011064030132,1.3263340063455438,False
baseline,True,bdg2,42,2,quantile_uncalibrated,static,single,0.3836469534050178,1.596308047303144,False
conformal_only,True,bdg2,42,2,cqr,static,single,0.3437275985663082,1.001672916065763,False
temporal,True,bdg2,42,2,cqr,static,single,0.3437275985663082,1.001672916065763,False
full,True,bdg2,42,2,cqr,periodic,single,0.3947132616487455,1.6433804441880588,False
baseline,True,bdg2,43,0,quantile_uncalibrated,static,single,0.3437082691319979,1.488232579603138,False
conformal_only,True,bdg2,43,0,cqr,static,single,0.36957712720424585,1.1656668204891554,False
temporal,True,bdg2,43,0,cqr,static,single,0.36957712720424585,1.1656668204891554,False
full,True,bdg2,43,0,cqr,periodic,single,0.3591444102037322,1.4273188740193816,False
baseline,True,bdg2,43,1,quantile_uncalibrated,static,single,0.3313912429378531,1.3554081338332853,False
conformal_only,True,bdg2,43,1,cqr,static,single,0.3593190913370998,1.1110470147101241,False
temporal,True,bdg2,43,1,cqr,static,single,0.3593190913370998,1.1110470147101241,False
full,True,bdg2,43,1,quantile_uncalibrated,static,single,0.3313912429378531,1.3554081338332853,False
baseline,True,bdg2,43,2,quantile_uncalibrated,static,single,0.3850358422939068,1.593539082780502,False
conformal_only,True,bdg2,43,2,cqr,static,single,0.351926523297491,1.000288433804442,False
temporal,True,bdg2,43,2,cqr,static,single,0.351926523297491,1.000288433804442,False
full,True,bdg2,43,2,cqr,periodic,single,0.39596774193548384,1.641995961926738,False
baseline,True,bdg2,44,0,quantile_uncalibrated,static,single,0.33916281458654346,1.4896169820027687,False
conformal_only,True,bdg2,44,0,cqr,static,single,0.35148947098099637,1.161513613290263,False
temporal,True,bdg2,44,0,cqr,static,single,0.35148947098099637,1.161513613290263,False
full,True,bdg2,44,0,cqr,static,single,0.35148947098099637,1.161513613290263,False
baseline,True,bdg2,44,1,quantile_uncalibrated,static,single,0.3289209628060264,1.3554081338332853,False
conformal_only,True,bdg2,44,1,cqr,static,single,0.37310499058380414,1.1117392558407846,False
temporal,True,bdg2,44,1,cqr,static,single,0.37310499058380414,1.1117392558407846,False
full,True,bdg2,44,1,cqr,periodic,single,0.38554172551789073,1.3249495240842228,False
baseline,True,bdg2,44,2,quantile_uncalibrated,static,single,0.369937275985663,1.59077011825786,False
conformal_only,True,bdg2,44,2,cqr,static,single,0.3382168458781362,1.0023651571964234,False
temporal,True,bdg2,44,2,cqr,static,single,0.3382168458781362,1.0023651571964234,False
full,True,bdg2,44,2,cqr,periodic,single,0.4085125448028673,1.6357657917507933,False
baseline,True,bdg2,45,0,quantile_uncalibrated,static,single,0.3404340010272213,1.4868481772035071,False
conformal_only,True,bdg2,45,0,cqr,static,single,0.35568823831535695,1.1601292108906323,False
temporal,True,bdg2,45,0,cqr,static,single,0.35568823831535695,1.1601292108906323,False
full,True,bdg2,45,0,cqr,periodic,single,0.3718412942989214,1.4245500692201198,False
baseline,True,bdg2,45,1,quantile_uncalibrated,static,single,0.3077168667608286,1.3588693394865878,False
conformal_only,True,bdg2,45,1,cqr,static,single,0.354978813559322,1.1138159792327662,False
temporal,True,bdg2,45,1,cqr,static,single,0.354978813559322,1.1138159792327662,False
full,True,bdg2,45,1,cqr,periodic,single,0.34670874529190204,1.3422555523507356,False
baseline,True,bdg2,45,2,quantile_uncalibrated,static,single,0.38234767025089605,1.599077011825786,False
conformal_only,True,bdg2,45,2,cqr,static,single,0.3326164874551972,1.0065186039803866,False
temporal,True,bdg2,45,2,cqr,static,single,0.3326164874551972,1.0065186039803866,False
full,True,bdg2,45,2,cqr,periodic,single,0.39171146953405017,1.6509950966253246,False
baseline,True,bdg2,46,0,quantile_uncalibrated,static,single,0.3719996575928779,1.4840793724042454,False
conformal_only,True,bdg2,46,0,cqr,static,single,0.3760486218113337,1.1622058144900784,False
temporal,True,bdg2,46,0,cqr,static,single,0.3760486218113337,1.1622058144900784,False
full,True,bdg2,46,0,cqr,periodic,single,0.38560392056154763,1.4252422704199352,False
baseline,True,bdg2,46,1,quantile_uncalibrated,static,single,0.31478784133709975,1.3567926160946064,False
conformal_only,True,bdg2,46,1,cqr,static,single,0.3493997175141243,1.112431496971445,False
temporal,True,bdg2,46,1,cqr,static,single,0.3493997175141243,1.112431496971445,False
full,True,bdg2,46,1,cqr,periodic,single,0.3468661723163841,1.3277184886068647,False
baseline,True,bdg2,46,2,quantile_uncalibrated,static,single,0.37522401433691743,1.5886933948658783,False
conformal_only,True,bdg2,46,2,cqr,static,single,0.3450268817204301,0.9975194692817999,False
temporal,True,bdg2,46,2,cqr,static,single,0.3450268817204301,0.9975194692817999,False
full,True,bdg2,46,2,cqr,periodic,single,0.38337813620071676,1.6482261321026825,False
