dataset,seed,outer_fold,attempted,placed,rejected,requested_incidence_per_asset_day,realised_incidence_per_asset_day,viability_floor_applied
bdg2,42,0,722,722,0,0.5,0.4998557664570473,False
bdg2,42,1,542,542,0,0.5,0.5003076923076922,False
bdg2,42,2,361,361,0,0.5,0.49988460650819294,False
bdg2,43,0,722,722,0,0.5,0.4998557664570473,False
bdg2,43,1,542,542,0,0.5,0.5003076923076922,False
bdg2,43,2,361,361,0,0.5,0.49988460650819294,False
bdg2,44,0,722,722,0,0.5,0.4998557664570473,False
bdg2,44,1,542,542,0,0.5,0.5003076923076922,False
bdg2,44,2,361,361,0,0.5,0.49988460650819294,False
bdg2,45,0,722,722,0,0.5,0.4998557664570473,False
bdg2,45,1,542,542,0,0.5,0.5003076923076922,False
bdg2,45,2,361,361,0,0.5,0.49988460650819294,False
bdg2,46,0,722,722,0,0.5,0.4998557664570473,False
bdg2,46,1,542,542,0,0.5,0.5003076923076922,False
bdg2,46,2,361,361,0,0.5,0.49988460650819294,False
