dataset,horizon,seed,outer_fold,config_hash,point_model,interval_method,operating_level,recalibration,rule,empirical_coverage,macro_recall,background_episodes_per_asset_day,n_detected,n_events,events_placed,operational_feasible
bdg2,1,42,0,fa47952d6331f922a75ba660dd395351dd70c053912d8d11fe7db8d58e971ad2,xgboost,cqr,0.95,static,single,0.9426626672819566,0.3716829310049648,1.154591601292109,270,722,722,False
bdg2,1,42,1,8b146d0774cd9334fd1e3122d1e63f34b37d590783d93638eedb752b3ddc3167,xgboost,cqr,0.95,periodic,single,0.8841072973752524,0.3711011064030132,1.3263340063455438,269,722,722,False
bdg2,1,42,2,ee8030d808ada40480165db1f4d581c475972dce83a3a0b9806b786057582590,persistence,cqr,0.95,periodic,single,0.9007499278915488,0.3947132616487455,1.6433804441880588,285,722,722,False
bdg2,1,43,0,2eb3178388662ff74822f361ca7823bdadf0793ed728ac0cd00276c1ab8aedf4,xgboost,cqr,0.95,periodic,single,0.8850657591139824,0.3591444102037322,1.4273188740193816,261,722,722,False
bdg2,1,43,1,fd61c6eeed51ce2f9a303bccd4ad7adc95a6ee4b128c45fb8142b94e951b47a6,xgboost,quantile_uncalibrated,0.95,static,single,0.7790308624170753,0.3313912429378531,1.3554081338332853,240,722,722,False
bdg2,1,43,2,baada0c56c0feaa7e481d51753f0d0891b5da13c2058c7e3be7e0eef7f7f56d5,persistence,cqr,0.95,periodic,single,0.9007499278915488,0.39596774193548384,1.641995961926738,286,722,722,False
bdg2,1,44,0,f02e0086c30cd2e67ec107d94b57591322a7af8fbf0121a119b6aa5aae97090c,xgboost,cqr,0.95,static,single,0.9426626672819566,0.35148947098099637,1.161513613290263,255,722,722,False
bdg2,1,44,1,90487fab945947c472efbc15a3666aa991f763e84cbed978a024f9332a4322d6,xgboost,cqr,0.95,periodic,single,0.8841072973752524,0.38554172551789073,1.3249495240842228,279,722,722,False
bdg2,1,44,2,52522c319b7662b0029506d8bdaae093487b3105a410f4f1fb8e3a42575d9cd3,persistence,cqr,0.95,periodic,single,0.9007499278915488,0.4085125448028673,1.6357657917507933,295,722,722,False
bdg2,1,45,0,b92a1d23b979a37d451f91bb96177984bcc5995e1c408cdb0bf3798f7253c8a5,xgboost,cqr,0.95,periodic,single,0.8850657591139824,0.3718412942989214,1.4245500692201198,270,722,722,False
bdg2,1,45,1,028d9751c697e62e5041ddb5404904c4c8ea4fbddfb430109358ca1780491926,xgboost,cqr,0.95,periodic,single,0.8841072973752524,0.34670874529190204,1.3422555523507356,251,722,722,False
bdg2,1,45,2,67b4cd6f84087da3329451675a6358fafd3de6fbd5085b8528a38e8b98e6c938,persistence,cqr,0.95,periodic,single,0.9007499278915488,0.39171146953405017,1.6509950966253246,283,722,722,False
bdg2,1,46,0,33b988e378cb87f7bb8aa565104f266abaa584b0b41a450f4c509d9b54a2766f,xgboost,cqr,0.95,periodic,single,0.8850657591139824,0.38560392056154763,1.4252422704199352,280,722,722,False
bdg2,1,46,1,10ddd690e5cbb507c71dfac2d2d3b939074000d741f20bb4326a228af1990ede,xgboost,cqr,0.95,periodic,single,0.8841072973752524,0.3468661723163841,1.3277184886068647,251,722,722,False
bdg2,1,46,2,316e2822c476eef77c1377640cf2472285fc80f80912be93ecc8d1ac3e00abf6,persistence,cqr,0.95,periodic,single,0.9007499278915488,0.38337813620071676,1.6482261321026825,277,722,722,False
