ablation,applicable,dataset,seed,outer_fold,interval_method,recalibration,rule,macro_recall,background_episodes_per_asset_day,operational_feasible
baseline,True,pleia,42,0,quantile_uncalibrated,static,single,0.8611111111111112,2.2965579893004944,True
conformal_only,True,pleia,42,0,cqr,static,single,0.7777777777777778,0.6686181487836883,True
temporal,True,pleia,42,0,cqr,static,single,0.7777777777777778,0.6686181487836883,True
full,True,pleia,42,0,recentred_enbpi_updated,static,single,0.7777777777777778,1.6570101948117493,True
baseline,True,pleia,42,1,quantile_uncalibrated,static,single,0.5416666666666666,5.886746744725951,False
conformal_only,True,pleia,42,1,cqr,static,single,0.611111111111111,2.6890077722822245,False
temporal,True,pleia,42,1,cqr,static,single,0.611111111111111,2.6890077722822245,False
full,True,pleia,42,1,recentred_enbpi_updated,static,single,0.6666666666666666,2.223882103563137,False
baseline,True,pleia,42,2,quantile_uncalibrated,static,single,0.25,3.633794286867871,True
conformal_only,True,pleia,42,2,cqr,static,single,0.5416666666666666,2.616331886544867,True
temporal,True,pleia,42,2,cqr,static,k3_w180,0.3055555555555555,0.40698496012920155,True
full,True,pleia,42,2,recentred_enbpi_updated,static,k3_w180,0.5416666666666666,0.8575754517008176,True
baseline,True,pleia,43,0,quantile_uncalibrated,static,single,0.75,2.25295245785808,True
conformal_only,True,pleia,43,0,cqr,static,single,0.7222222222222222,0.6540829716362168,True
temporal,True,pleia,43,0,cqr,static,single,0.7222222222222222,0.6540829716362168,True
full,True,pleia,43,0,recentred_enbpi_updated,static,single,0.7777777777777778,1.5988694862218633,True
baseline,True,pleia,43,1,quantile_uncalibrated,static,single,0.4305555555555555,7.165842333703441,False
conformal_only,True,pleia,43,1,cqr,static,single,0.75,3.9099626526698295,False
temporal,True,pleia,43,1,cqr,static,single,0.75,3.9099626526698295,False
full,True,pleia,43,1,recentred_enbpi_updated,static,single,0.7638888888888888,4.01170889270213,False
baseline,True,pleia,43,2,quantile_uncalibrated,static,single,0.5555555555555555,3.5320480468355706,True
conformal_only,True,pleia,43,2,cqr,static,single,0.5416666666666666,2.7180781265771676,True
temporal,True,pleia,43,2,cqr,static,k3_w180,0.16666666666666666,0.4651256687190875,True
full,True,pleia,43,2,recentred_enbpi_updated,static,k3_w180,0.4583333333333333,0.8866458059957605,True
baseline,True,pleia,44,0,quantile_uncalibrated,static,single,0.7777777777777778,1.8168971434339356,True
conformal_only,True,pleia,44,0,cqr,static,single,0.75,0.5523367316039164,True
temporal,True,pleia,44,0,cqr,static,single,0.75,0.5523367316039164,True
full,True,pleia,44,0,cqr,static,single,0.75,0.5523367316039164,True
baseline,True,pleia,44,1,quantile_uncalibrated,static,single,0.3055555555555555,7.136771979408499,False
conformal_only,True,pleia,44,1,cqr,static,single,0.6944444444444445,3.953568184112244,False
temporal,True,pleia,44,1,cqr,static,single,0.6944444444444445,3.953568184112244,False
full,True,pleia,44,1,recentred_enbpi_updated,static,single,0.7222222222222222,3.953568184112244,False
baseline,True,pleia,44,2,quantile_uncalibrated,static,single,0.5277777777777777,3.5175128696880993,True
conformal_only,True,pleia,44,2,cqr,static,single,0.5833333333333333,3.183203795296255,True
temporal,True,pleia,44,2,cqr,static,k3_w30,0.5277777777777777,1.3953770061572626,True
full,True,pleia,44,2,cqr,static,k3_w30,0.5277777777777777,1.3953770061572626,True
baseline,True,pleia,45,0,quantile_uncalibrated,static,single,0.875,7.4420106995054,True
conformal_only,True,pleia,45,0,cqr,static,single,0.7777777777777778,4.709397395780761,True
temporal,True,pleia,45,0,cqr,static,k3_w30,0.7777777777777778,0.10174624003230039,True
full,True,pleia,45,0,cqr,static,k3_w30,0.7777777777777778,0.10174624003230039,True
baseline,True,pleia,45,1,quantile_uncalibrated,static,single,0.47222222222222215,6.148379933380438,False
conformal_only,True,pleia,45,1,cqr,static,single,0.7222222222222222,2.703542949429696,False
temporal,True,pleia,45,1,cqr,static,single,0.7222222222222222,2.703542949429696,False
full,True,pleia,45,1,recentred_enbpi_updated,static,single,0.7361111111111112,2.1802765721207225,False
baseline,True,pleia,45,2,quantile_uncalibrated,static,single,0.4166666666666667,5.930352276168366,True
conformal_only,True,pleia,45,2,cqr,static,single,0.5972222222222222,2.9215706066417684,True
temporal,True,pleia,45,2,cqr,static,k3_w30,0.5,1.5116584233370343,True
full,True,pleia,45,2,cqr,periodic,k3_w30,0.47222222222222227,1.438982537599677,True
baseline,True,pleia,46,0,quantile_uncalibrated,static,single,0.75,1.8459674977288785,True
conformal_only,True,pleia,46,0,cqr,static,single,0.75,0.5814070858988594,True
temporal,True,pleia,46,0,cqr,static,single,0.75,0.5814070858988594,True
full,True,pleia,46,0,cqr,static,single,0.75,0.5814070858988594,True
baseline,True,pleia,46,1,quantile_uncalibrated,static,single,0.4305555555555555,4.418693852831331,False
conformal_only,True,pleia,46,1,cqr,static,single,0.625,0.5668719087513879,False
temporal,True,pleia,46,1,cqr,static,single,0.625,0.5668719087513879,False
full,True,pleia,46,1,recentred_enbpi_updated,static,single,0.6944444444444443,0.5523367316039164,False
baseline,True,pleia,46,2,quantile_uncalibrated,static,single,0.4305555555555555,4.854749167255476,True
conformal_only,True,pleia,46,2,cqr,static,single,0.5277777777777777,3.2849500353285555,True
temporal,True,pleia,46,2,cqr,static,single,0.5277777777777777,3.2849500353285555,True
full,True,pleia,46,2,cqr,static,single,0.5277777777777777,3.2849500353285555,True
