dataset,horizon,seed,outer_fold,config_hash,point_model,interval_method,operating_level,recalibration,rule,empirical_coverage,macro_recall,background_episodes_per_asset_day,n_detected,n_events,events_placed,operational_feasible
pleia,1,42,0,819d66331748e160921e175d93d09692d9fea3b2a72c808c490d87ba54395e3a,persistence,recentred_enbpi_updated,0.99,static,single,0.9853638841223378,0.7777777777777778,1.6570101948117493,28,34,34,True
pleia,1,42,1,8101121b1b21733b0445fca81e807c507b68f0aacc4f5911c238d062d6abb85c,persistence,recentred_enbpi_updated,0.975,static,single,0.9606338952255981,0.6666666666666666,2.223882103563137,24,34,34,False
pleia,1,42,2,dd713859e5aeb9ab91ae34e834d6bf73dc502c1768e6ed597c1af8694c3886eb,persistence,recentred_enbpi_updated,0.95,static,k3_w180,0.8506106793176542,0.5416666666666666,0.8575754517008176,19,34,34,True
pleia,1,43,0,e25e9d86d7d90b9720cdfe1368ff41745a3a6a6f99b227b2f2f93c3dee1440f7,persistence,recentred_enbpi_updated,0.99,static,single,0.9853638841223378,0.7777777777777778,1.5988694862218633,28,34,34,True
pleia,1,43,1,84b5e59dfe51cd0ea6df5c51cd46b5d2ab9f16ae69777ba5d552e4814b43cf18,persistence,recentred_enbpi_updated,0.95,static,single,0.9213687291813869,0.7638888888888888,4.01170889270213,27,34,34,False
pleia,1,43,2,77c120353816aa8bebf0472f5c7cf41dcfca77f3c5ee699b455db74e39b37bf8,persistence,recentred_enbpi_updated,0.95,static,k3_w180,0.8506106793176542,0.4583333333333333,0.8866458059957605,16,34,34,True
pleia,1,44,0,e8d0e376f58cf2b50c1c10abf52364a593743dca96b84e1767083b1b403d58d1,persistence,cqr,0.995,static,single,0.9947511860300797,0.75,0.5523367316039164,27,34,34,True
pleia,1,44,1,a008135fcea959c1407ed1db454960c6381bb1cba6481069e33e6e81a8a643a1,persistence,recentred_enbpi_updated,0.95,static,single,0.9213687291813869,0.7222222222222222,3.953568184112244,26,34,34,False
pleia,1,44,2,125bf6275d29c8a5cd4698951f8457785555e6b6c75924e7c55feeba41ed998f,persistence,cqr,0.975,static,k3_w30,0.40244271727061676,0.5277777777777777,1.3953770061572626,19,34,34,True
pleia,1,45,0,12a12666b67714a95bad9f034040e237fab9799c68f72dc6b1a9f7e484843b70,persistence,cqr,0.95,static,k3_w30,0.9596245079236904,0.7777777777777778,0.10174624003230039,28,34,34,True
pleia,1,45,1,f0a6a7dc0cf6040c4d22f826b1d2ad8ccc66585b463c6c77ef1a8ef045a1b329,persistence,recentred_enbpi_updated,0.975,static,single,0.9606338952255981,0.7361111111111112,2.1802765721207225,26,34,34,False
pleia,1,45,2,66ccdc6e50d2b5ac814ab779b3bc5a9f6a15cdef5f2d02a480c82cb0c10d9a61,persistence,cqr,0.99,periodic,k3_w30,0.41122438679721407,0.47222222222222227,1.438982537599677,17,34,34,True
pleia,1,46,0,ace79354d5b609f5c1bce8044ab496f8e7ede704d31f473ba9d7e57963cb696e,persistence,cqr,0.995,static,single,0.9947511860300797,0.75,0.5814070858988594,27,34,34,True
pleia,1,46,1,d938def449f48eb7dd1e592b871147d4c69af1f64d42933cc65621d1ef4c7f2b,persistence,recentred_enbpi_updated,0.995,static,single,0.9918239628545473,0.6944444444444443,0.5523367316039164,25,34,34,False
pleia,1,46,2,6c55f0a95b32c1084ab4e5068f8eba7d8e78aefa9117fc4b35ef1005a97ece6f,persistence,cqr,0.995,static,single,0.5022711214292924,0.5277777777777777,3.2849500353285555,19,34,34,True
