dataset,seed,outer_fold,attempted,placed,rejected,requested_incidence_per_asset_day,realised_incidence_per_asset_day,viability_floor_applied
pleia_energy,42,0,34,34,0,0.5,0.4941960230140305,False
pleia_energy,42,1,26,26,0,0.5,0.5039030955585464,False
pleia_energy,42,2,17,17,0,0.5,0.494146144529673,False
pleia_energy,43,0,34,34,0,0.5,0.4941960230140305,False
pleia_energy,43,1,26,26,0,0.5,0.5039030955585464,False
pleia_energy,43,2,17,17,0,0.5,0.494146144529673,False
pleia_energy,44,0,34,34,0,0.5,0.4941960230140305,False
pleia_energy,44,1,26,26,0,0.5,0.5039030955585464,False
pleia_energy,44,2,17,17,0,0.5,0.494146144529673,False
pleia_energy,45,0,34,34,0,0.5,0.4941960230140305,False
pleia_energy,45,1,26,26,0,0.5,0.5039030955585464,False
pleia_energy,45,2,17,17,0,0.5,0.494146144529673,False
pleia_energy,46,0,34,34,0,0.5,0.4941960230140305,False
pleia_energy,46,1,26,26,0,0.5,0.5039030955585464,False
pleia_energy,46,2,17,17,0,0.5,0.494146144529673,False
