event_id,event_type,severity,group_id,detected,detection_delay_steps,detection_delay_min,dataset,seed,outer_fold
0,bias,0.5sd,,True,0.0,0.0,pleia_energy,42,0
1,drift,2.0sd,,True,4.0,40.0,pleia_energy,42,0
2,drift,0.5sd,,True,0.0,0.0,pleia_energy,42,0
3,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,42,0
4,stuck,1.0sd,,True,8.0,80.0,pleia_energy,42,0
5,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,42,0
6,level_shift,0.5sd,,True,0.0,0.0,pleia_energy,42,0
7,drift,1.0sd,,True,1.0,10.0,pleia_energy,42,0
8,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,0
9,bias,0.5sd,,True,0.0,0.0,pleia_energy,42,0
10,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,0
11,stuck,0.5sd,,False,,,pleia_energy,42,0
12,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,0
13,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,0
14,drift,2.0sd,,True,1.0,10.0,pleia_energy,42,0
15,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,0
16,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,0
17,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,0
18,stuck,0.5sd,,True,5.0,50.0,pleia_energy,42,0
19,drift,1.0sd,,True,1.0,10.0,pleia_energy,42,0
20,bias,2.0sd,,False,,,pleia_energy,42,0
21,stuck,0.5sd,,True,11.0,110.0,pleia_energy,42,0
22,drift,0.5sd,,True,2.0,20.0,pleia_energy,42,0
23,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,0
24,level_shift,0.5sd,,True,10.0,100.0,pleia_energy,42,0
25,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,42,0
26,stuck,2.0sd,,True,7.0,70.0,pleia_energy,42,0
27,drift,2.0sd,,True,1.0,10.0,pleia_energy,42,0
28,drift,0.5sd,,True,0.0,0.0,pleia_energy,42,0
29,stuck,2.0sd,,True,5.0,50.0,pleia_energy,42,0
30,stuck,1.0sd,,True,7.0,70.0,pleia_energy,42,0
31,bias,0.5sd,,False,,,pleia_energy,42,0
32,drift,1.0sd,,True,2.0,20.0,pleia_energy,42,0
33,level_shift,0.5sd,,True,0.0,0.0,pleia_energy,42,0
0,bias,0.5sd,,False,,,pleia_energy,42,1
1,drift,2.0sd,,True,4.0,40.0,pleia_energy,42,1
2,drift,0.5sd,,False,,,pleia_energy,42,1
3,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,42,1
4,stuck,1.0sd,,False,,,pleia_energy,42,1
5,level_shift,1.0sd,,True,1.0,10.0,pleia_energy,42,1
6,level_shift,0.5sd,,True,4.0,40.0,pleia_energy,42,1
7,drift,1.0sd,,True,4.0,40.0,pleia_energy,42,1
8,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,1
9,bias,0.5sd,,False,,,pleia_energy,42,1
10,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,1
11,stuck,0.5sd,,False,,,pleia_energy,42,1
12,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,1
13,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,1
14,drift,2.0sd,,True,0.0,0.0,pleia_energy,42,1
15,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,1
16,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,1
17,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,1
18,stuck,0.5sd,,False,,,pleia_energy,42,1
19,drift,1.0sd,,True,3.0,30.0,pleia_energy,42,1
20,bias,2.0sd,,True,1.0,10.0,pleia_energy,42,1
21,stuck,0.5sd,,True,9.0,90.0,pleia_energy,42,1
22,drift,0.5sd,,True,4.0,40.0,pleia_energy,42,1
23,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,1
24,level_shift,0.5sd,,True,0.0,0.0,pleia_energy,42,1
25,level_shift,1.0sd,,False,,,pleia_energy,42,1
26,stuck,2.0sd,,False,,,pleia_energy,42,1
27,drift,2.0sd,,True,5.0,50.0,pleia_energy,42,1
28,drift,0.5sd,,False,,,pleia_energy,42,1
29,stuck,2.0sd,,False,,,pleia_energy,42,1
30,stuck,1.0sd,,False,,,pleia_energy,42,1
31,bias,0.5sd,,False,,,pleia_energy,42,1
32,drift,1.0sd,,True,4.0,40.0,pleia_energy,42,1
33,level_shift,0.5sd,,True,2.0,20.0,pleia_energy,42,1
0,bias,0.5sd,,True,0.0,0.0,pleia_energy,42,2
1,drift,2.0sd,,True,1.0,10.0,pleia_energy,42,2
2,drift,0.5sd,,True,3.0,30.0,pleia_energy,42,2
3,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,42,2
4,stuck,1.0sd,,True,7.0,70.0,pleia_energy,42,2
5,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,42,2
6,level_shift,0.5sd,,False,,,pleia_energy,42,2
7,drift,1.0sd,,True,1.0,10.0,pleia_energy,42,2
8,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,2
9,bias,0.5sd,,True,0.0,0.0,pleia_energy,42,2
10,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,2
11,stuck,0.5sd,,True,1.0,10.0,pleia_energy,42,2
12,bias,1.0sd,,True,0.0,0.0,pleia_energy,42,2
13,bias,1.0sd,,False,,,pleia_energy,42,2
14,drift,2.0sd,,True,1.0,10.0,pleia_energy,42,2
15,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,2
16,level_shift,2.0sd,,True,9.0,90.0,pleia_energy,42,2
17,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,42,2
18,stuck,0.5sd,,False,,,pleia_energy,42,2
19,drift,1.0sd,,True,10.0,100.0,pleia_energy,42,2
20,bias,2.0sd,,True,0.0,0.0,pleia_energy,42,2
21,stuck,0.5sd,,False,,,pleia_energy,42,2
22,drift,0.5sd,,True,0.0,0.0,pleia_energy,42,2
23,level_shift,2.0sd,,False,,,pleia_energy,42,2
24,level_shift,0.5sd,,False,,,pleia_energy,42,2
25,level_shift,1.0sd,,True,4.0,40.0,pleia_energy,42,2
26,stuck,2.0sd,,True,6.0,60.0,pleia_energy,42,2
27,drift,2.0sd,,True,8.0,80.0,pleia_energy,42,2
28,drift,0.5sd,,True,4.0,40.0,pleia_energy,42,2
29,stuck,2.0sd,,True,5.0,50.0,pleia_energy,42,2
30,stuck,1.0sd,,True,1.0,10.0,pleia_energy,42,2
31,bias,0.5sd,,True,2.0,20.0,pleia_energy,42,2
32,drift,1.0sd,,True,5.0,50.0,pleia_energy,42,2
33,level_shift,0.5sd,,True,7.0,70.0,pleia_energy,42,2
0,stuck,0.5sd,,False,,,pleia_energy,43,0
1,bias,2.0sd,,True,0.0,0.0,pleia_energy,43,0
2,bias,2.0sd,,True,0.0,0.0,pleia_energy,43,0
3,stuck,1.0sd,,False,,,pleia_energy,43,0
4,drift,0.5sd,,True,2.0,20.0,pleia_energy,43,0
5,drift,0.5sd,,True,2.0,20.0,pleia_energy,43,0
6,bias,0.5sd,,True,6.0,60.0,pleia_energy,43,0
7,stuck,2.0sd,,False,,,pleia_energy,43,0
8,drift,0.5sd,,True,1.0,10.0,pleia_energy,43,0
9,drift,2.0sd,,True,1.0,10.0,pleia_energy,43,0
10,drift,1.0sd,,True,1.0,10.0,pleia_energy,43,0
11,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,43,0
12,drift,2.0sd,,True,1.0,10.0,pleia_energy,43,0
13,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,43,0
14,bias,0.5sd,,True,0.0,0.0,pleia_energy,43,0
15,stuck,0.5sd,,False,,,pleia_energy,43,0
16,stuck,0.5sd,,False,,,pleia_energy,43,0
17,level_shift,0.5sd,,True,0.0,0.0,pleia_energy,43,0
18,drift,1.0sd,,True,2.0,20.0,pleia_energy,43,0
19,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,43,0
20,level_shift,1.0sd,,True,0.0,0.0,pleia_energy,43,0
21,stuck,1.0sd,,True,11.0,110.0,pleia_energy,43,0
22,drift,1.0sd,,True,3.0,30.0,pleia_energy,43,0
23,level_shift,2.0sd,,True,0.0,0.0,pleia_energy,43,0
24,bias,1.0sd,,True,0.0,0.0,pleia_energy,43,0
25,level_shift,1.0sd,,False,,,pleia_energy,43,0
26,level_shift,0.5sd,,True,0.0,0.0,pleia_energy,43,0
27,bias,2.0sd,,True,0.0,0.0,pleia_energy,43,0
28,drift,2.0sd,,True,1.0,10.0,pleia_energy,43,0
29,bias,1.0sd,,True,1.0,10.0,pleia_energy,43,0
30,stuck,2.0sd,,False,,,pleia_energy,43,0
31,bias,1.0sd,,True,1.0,10.0,pleia_energy,43,0
32,bias,0.5sd,,True,2.0,20.0,pleia_energy,43,0
33,level_shift,0.5sd,,True,0.0,0.0,pleia_energy,43,0
0,stuck,0.5sd,,False,,,pleia_energy,43,1
1,bias,2.0sd,,True,0.0,0.0,pleia_energy,43,1
2,bias,2.0sd,,True,0.0,0.0,pleia_energy,43,1
3,stuck,1.0sd,,False,,,pleia_energy,43,1
4,drift,0.5sd,,True,2.0,20.0,pleia_energy,43,1
5,drift,0.5sd,,False,,,pleia_energy,43,1
6,bias,0.5sd,,False,,,pleia_energy,43,1
7,stuck,2.0sd,,False,,,pleia_energy,43,1
8,drift,0.5sd,,False,,,pleia_energy,43,1
9,drift,2.0sd,,True,4.0,40.0,pleia_energy,43,1
10,drift,1.0sd,,True,2.0,20.0,pleia_energy,43,1
