dataset,horizon,seed,outer_fold,config_hash,point_model,interval_method,operating_level,recalibration,rule,empirical_coverage,macro_recall,background_episodes_per_asset_day,n_detected,n_events,events_placed,operational_feasible
rico,5,42,0,0fe8eb6b77714d9ba6ff130e460a034bdf54ef2ccb394ea5ddf4f5745c7d2da0,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,42,1,c5fbd1dcf573026e6f0ee7fc4f36ceb2af8139bd4c34e4b0ca13c7dcb76575ad,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,42,2,617ea6b653a3e41990e7d0c0b22054f9061c209f835d3818342b6b6a3e974fe3,xgboost,cqr,0.95,static,k3_w30,1.0,0.5,0.0,1,2,2,False
rico,5,43,0,553562cac31a0533c44ef19c3321dabf1266ce0a306b98fa774ee161050a5afe,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,43,1,19a0bd2089d9ee79187fa86c8b221bfb07ec2591f3f8f5fcdc39e20cf691c788,xgboost,cqr,0.95,static,k3_w30,1.0,0.5,0.0,1,2,2,False
rico,5,43,2,7fa2f0aef8265df0b7feaffc2afe017e6363e30d379a896fe26dbcad08ff8823,xgboost,cqr,0.95,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,44,0,aec08837cbff3a0a37b31338e6e0c45adf66cb9223f7766042b33419ca1a261b,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.3333333333333333,0.0,1,3,3,False
rico,5,44,1,53274c3a627ba23151bf982069d4675cf6fb6462a5ffedb0082f476989a15d29,xgboost,cqr,0.95,static,k4_w60,1.0,0.3333333333333333,0.0,1,3,3,False
rico,5,44,2,2dce9629b88c8f94d119e52fc55cf5e06cc300c83814355fe8f93829b8a7824f,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.3333333333333333,0.0,1,3,3,False
rico,5,45,0,e9e5a2ed3a28fdddb1eda19b81d94e22daf6ee31adf0e17cd1d050b69a9d5bb5,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,45,1,bb607fa1d4f6e3d0deb01f37d23d9a961de8922414e4444bdd06a9a9ecbbc03e,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,45,2,38f86e83120437655f4fae26d26e9c3b519d66833e3644c92904e7a0120255da,xgboost,cqr,0.95,static,k4_w60,1.0,0.5,0.0,1,2,2,False
rico,5,46,0,1750549866ee1df82ca55ecb0bf651966795377af3881f2680977d8f65c63b79,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.3333333333333333,0.0,1,3,3,False
rico,5,46,1,3fa474a7b9a59c7df97a2a9c97547bea090732205d313cb0087710476f5621a7,xgboost,cqr,0.95,static,k4_w60,1.0,0.3333333333333333,0.0,1,3,3,False
rico,5,46,2,bd56acad6d44c8cab63281756c3566005986c100ddb5af4ba84f216bc25ed8db,xgboost,recentred_enbpi_static,0.995,static,k4_w60,1.0,0.3333333333333333,0.0,1,3,3,False
