dataset,seed,outer_fold,decision,reason
rico,42,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,42,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,42,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,43,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,43,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,43,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,44,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,44,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,44,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,45,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,45,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,45,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,46,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,46,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
rico,46,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
