dataset,target,partition,event_id,event_type,severity,magnitude_sd,injected_magnitude,scale_used,start_index,end_index,duration_steps,start_time,end_time,group_id,seed
bdg2,electricity,calibration_rule_block,0,bias_positive,2.0sd,2.0,489.58322004410036,244.79161002205018,62,73,12,2017-06-13 04:00:00,2017-06-13 15:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,1,bias_positive,2.0sd,2.0,489.58322004410036,244.79161002205018,221,232,12,2017-06-19 19:00:00,2017-06-20 06:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,2,stuck,stuck,0.0,0.0,244.79161002205018,384,395,12,2017-06-26 14:00:00,2017-06-27 01:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,3,drift,2.0sd,2.0,-489.58322004410036,244.79161002205018,411,434,24,2017-06-27 17:00:00,2017-06-28 16:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,4,bias_negative,1.0sd,1.0,-244.79161002205018,244.79161002205018,511,522,12,2017-07-01 21:00:00,2017-07-02 08:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,5,bias_positive,1.0sd,1.0,244.79161002205018,244.79161002205018,553,564,12,2017-07-03 15:00:00,2017-07-04 02:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,6,bias_negative,2.0sd,2.0,-489.58322004410036,244.79161002205018,612,623,12,2017-07-06 02:00:00,2017-07-06 13:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,7,dropout,dropout,0.0,0.0,244.79161002205018,1065,1072,8,2017-07-24 23:00:00,2017-07-25 06:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,8,bias_positive,0.5sd,0.5,122.39580501102509,244.79161002205018,1081,1092,12,2017-07-25 15:00:00,2017-07-26 02:00:00,Eagle_assembly_Benny,92
bdg2,electricity,calibration_rule_block,9,drift,2.0sd,2.0,-489.58322004410036,244.79161002205018,2061,2084,24,2017-07-08 05:00:00,2017-07-09 04:00:00,Eagle_assembly_Ian,92
bdg2,electricity,calibration_rule_block,10,bias_negative,2.0sd,2.0,-489.58322004410036,244.79161002205018,2139,2150,12,2017-07-11 11:00:00,2017-07-11 22:00:00,Eagle_assembly_Ian,92
bdg2,electricity,calibration_rule_block,11,level_shift,0.5sd,0.5,122.39580501102509,244.79161002205018,2826,2833,8,2017-06-11 20:00:00,2017-06-12 03:00:00,Fox_education_Henrietta,92
bdg2,electricity,calibration_rule_block,12,drift,1.0sd,1.0,244.79161002205018,244.79161002205018,3025,3048,24,2017-06-20 03:00:00,2017-06-21 02:00:00,Fox_education_Henrietta,92
