dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,persistence,18.916745751765312,17.785423076238587,20.076173455852803,37.84220951840036,35.93294469784763,39.887814001149124
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,seasonal_naive,36.535110614845856,34.0056068370027,39.430454122438135,79.06979368406134,72.38811414555552,86.48134140026588
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,21.34873021294618,20.212220374078353,22.602064829075772,39.710225211418525,37.34241216510185,42.323913211703555
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,attention_lstm,19.8654064566084,18.82606157386376,20.899187187471156,35.305224500096884,33.377107116843376,37.36875399466885
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,persistence,35.99321614107645,33.93495701095697,38.17178609483601,70.02285072881378,66.54521620615142,73.48410705797323
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,seasonal_naive,36.52653519731174,33.94361926733299,39.450412837181915,79.07606585618335,72.38339896998585,86.36129916296866
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,28.141572189913322,26.551847771575012,30.007592469635885,52.6496262862125,49.16902058350608,56.51767046858855
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,attention_lstm,30.278125018887458,28.37881503867113,32.35609346555957,57.16367378932886,53.709867777182126,60.97741259486726
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,persistence,60.91129144245143,57.3965651262648,64.87969974703921,106.77716740059824,101.4638662848656,112.05958990273992
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,seasonal_naive,36.530802451994944,33.82522732989825,39.41035139092503,79.09887745427744,72.33406382019683,86.71406840518196
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,31.676645455114045,29.667030692830128,34.00682752594344,60.0627422315755,55.52672583586269,65.08020939431158
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,attention_lstm,40.70410072382517,38.20390674566761,43.45383934286903,75.02924618731939,69.69684989776812,80.29434320341348
