dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,mae_a,mae_b,rmse_a,rmse_b,pct_mae_improvement,pct_rmse_improvement,median_abs_error_difference,mean_abs_error_difference,mean_difference_ci_low,mean_difference_ci_high,win_rate_a
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,persistence,34838,21.34873021294618,18.916745751765312,39.710225211418525,37.84220951840036,-12.856251773399844,-4.936328287358229,2.2617373046875855,2.431984461180869,1.8900623880624867,2.970296189065561,0.35073770021241174
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,attention_lstm,persistence,34700,19.8654064566084,18.971259965417868,35.305224500096884,37.912161580299326,-4.71316345261435,6.876255458768436,2.8593587890625,0.8941464911905335,0.49027531863979357,1.339973527931138,0.3614121037463977
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,attention_lstm,34700,21.400812546167614,19.8654064566084,39.783120781098,35.305224500096884,-7.729044421582662,-12.683381409991677,-0.7485350400924682,1.535406089559214,0.9484994446610813,2.1552298092635978,0.5365417867435158
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,seasonal_naive,persistence,34838,36.535110614845856,18.916745751765312,79.06979368406134,37.84220951840036,-93.13634117769118,-108.94602796809346,0.3999999999999986,17.618364863080544,15.46274032837706,19.716489657127273,0.3060451231413973
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,persistence,34818,28.141572189913322,35.99321614107645,52.6496262862125,70.02285072881378,21.814232772054556,24.810792850871966,1.0714110565185528,-7.851643951163134,-9.157662441768043,-6.568122560605203,0.43626859670285484
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,attention_lstm,persistence,34680,30.278125018887458,36.08315829008073,57.16367378932886,70.14292393692453,16.087930065670218,18.50400499310117,1.4796967773437215,-5.805033271193279,-6.766817626009043,-4.800470010638246,0.4127739331026528
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,attention_lstm,34680,28.203889343740308,30.278125018887458,52.74366651826782,57.16367378932886,6.850608067220955,7.7321959525389214,-0.35777008533477783,-2.0742356751471505,-3.354188910392566,-0.8440783274474508,0.5171856978085352
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,seasonal_naive,persistence,34818,36.52653519731174,35.99321614107645,79.07606585618335,70.02285072881378,-1.4817210391672861,-12.92894395635374,0.0,0.5333190562352808,-1.2180345330719735,2.477341052257453,0.41768625423631456
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,persistence,34788,31.676645455114045,60.91129144245143,60.0627422315755,106.77716740059824,47.99544599207534,43.74945159742177,-3.513952331542967,-29.234645987337366,-31.862654855526717,-26.76289326876261,0.545302978038404
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,attention_lstm,persistence,34650,40.70410072382517,61.048412447330456,75.02924618731939,106.95271496350674,33.32488251198563,29.848207955337955,0.0567626953125,-20.34431172350528,-22.593799047167746,-18.192633906874022,0.4991053391053391
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,attention_lstm,34650,31.73839622779418,40.70410072382517,60.168395924619404,75.02924618731939,22.026538694129975,19.806743393900177,-3.6631336212158203,-8.965704496030986,-10.74764309048254,-7.183735691326138,0.6111688311688311
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,seasonal_naive,persistence,34788,36.530802451994944,60.91129144245143,79.09887745427744,106.77716740059824,40.02622241804051,25.921543547301226,-2.110000000000003,-24.38048899045648,-26.74967581896056,-21.758666990628953,0.5389502127170288
