dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,applicable,note,mae,rmse,pct_mae_improvement,pct_rmse_improvement,n_seeds,n_test,mae_std,rmse_std,seeds_used
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,persistence,True,,18.916745751765312,37.84220951840036,0.0,0.0,1,34838,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,seasonal_naive,True,,36.535110614845856,79.06979368406134,-93.13634117769118,-108.94602796809346,1,34838,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,True,,21.34873021294618,39.710225211418525,-12.856251773399844,-4.936328287358229,5,34838,0.09717790757621997,0.047073735920920484,"42,43,44,45,46"
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,attention_lstm,True,,19.8654064566084,35.305224500096884,-5.01492549137084,6.70411440185567,3,34700,0.9987077537555273,0.7956142232687663,"42,43,44"
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,persistence,True,,35.99321614107645,70.02285072881378,0.0,0.0,1,34818,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,seasonal_naive,True,,36.52653519731174,79.07606585618335,-1.4817210391672861,-12.92894395635374,1,34818,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,True,,28.141572189913322,52.6496262862125,21.814232772054556,24.810792850871966,5,34818,0.12320744102423847,0.1644598560822725,"42,43,44,45,46"
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,attention_lstm,True,,30.278125018887458,57.16367378932886,15.878245222067761,18.36425796099941,3,34680,2.6355691910314585,2.9216109308521614,"42,43,44"
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,persistence,True,,60.91129144245143,106.77716740059824,0.0,0.0,1,34788,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,seasonal_naive,True,,36.530802451994944,79.09887745427744,40.02622241804051,25.921543547301226,1,34788,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,True,,31.676645455114045,60.0627422315755,47.99544599207534,43.74945159742177,5,34788,0.23487679704277034,0.14949666847034265,"42,43,44,45,46"
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,attention_lstm,True,,40.70410072382517,75.02924618731939,33.17478621795086,29.73287453315697,3,34650,2.95038399224067,5.1983017228905775,"42,43,44"
