dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,mode,scenario,kind,severity,severity_label,alert_rule,seed,n_test,mae_vs_clean_truth,rmse_vs_clean_truth,empirical_coverage_vs_clean_truth,coverage_deviation_vs_clean_truth,mae,rmse,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,alert_rate,n_alert_clusters,false_alert_events_per_day,n_violation_steps,n_rows_rebuilt,n_contaminated
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,clean,none,0.0,none,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,110.21934661236617,65.1315350145615,160.67975640918965,34838,0.05732246397611803,1454.0,1.0016648487284001,1997.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,clean,none,0.0,none,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,110.21934661236617,65.1315350145615,160.67975640918965,34838,0.05732246397611803,1454.0,1.0016648487284001,1997.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,random_missing_5pct,random_missing,0.05,5%,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,31.903569497096612,85.02444448339008,0.9023193065043917,0.04768069349560822,110.21934661236617,65.1315350145615,563.1881615159322,34838,0.09768069349560825,2713.0,1.8689936276479706,3403.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,random_missing_5pct,random_missing,0.05,5%,1-of-1,42,34838.0,19.989908837901336,40.11509615354047,0.942390493139675,0.0076095068603249105,19.8620519265546,39.692785965936075,0.9434812560996613,0.006518743900338686,109.85970775194869,64.82677287590599,159.25164255483548,34838,0.05651874390033871,1426.0,0.9823755669096964,1969.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,random_missing_10pct,random_missing,0.1,10%,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,44.522135603771,116.04966586276383,0.8608583321372183,0.08914166786278166,110.21934661236617,65.1315350145615,989.7672748784124,34835,0.13912968597508468,3866.0,2.6632986968253056,4847.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,random_missing_10pct,random_missing,0.1,10%,1-of-1,42,34688.0,19.916196726385635,39.680292007544516,0.941420664206642,0.0085793357933579,19.65591264197795,39.05872207047155,0.9436404520295203,0.006359547970479662,109.59925847381932,64.98441931853897,156.8112794724716,34688,0.056359547970479706,1409.0,0.9748616236162362,1955.0,34688.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,random_missing_20pct,random_missing,0.2,20%,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,67.4098157263345,154.05830217573904,0.78112784548172,0.16887215451827997,110.21934661236617,65.1315350145615,1768.431879395053,34792,0.21858315632355474,5730.0,3.947413743613296,7615.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,random_missing_20pct,random_missing,0.2,20%,1-of-1,42,34388.0,19.76728417216344,39.20465132939524,0.9418983366290566,0.008101663370943313,19.05362743075441,37.4061276457367,0.9477143189484704,0.0022856810515295978,108.75887918925174,64.59431643852346,151.68402558224625,34388,0.0522856810515296,1272.0,0.8877515412353147,1798.0,34388.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,block_missing_5pct,block_missing,0.05,5%,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,22.807371426115935,52.87254716797598,0.9325544660686079,0.017445533931392032,110.21934661236617,65.1315350145615,256.3682842177327,33553,0.06495780469602158,1539.0,1.0602215971066078,2263.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,block_missing_5pct,block_missing,0.05,5%,1-of-1,42,29739.0,20.164030715888817,40.282621280278384,0.9416591008440095,0.008340899155990456,20.127008332053062,40.14683366345975,0.9420962372641986,0.0079037627358014,110.11658996109342,65.01225330491744,159.89947110380947,29739,0.05790376273580147,1250.0,1.0087763542822556,1722.0,29739.0,
