dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,role,rule,true_positives,false_positives,false_negatives,precision,recall,f1,false_alert_events_per_day,mean_detection_delay_min,median_detection_delay_min,n_events,point_false_positives,point_true_negatives,far,k,m,n_violation_steps,n_alert_steps,selection_partition,n_selection_windows,selected_operating_rule,selection_reason
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_selection,1-of-1,39,563,3,0.0647840531561461,0.9285714285714286,0.1211180124223602,0.966661897267134,35.38461538461539,0.0,42,835,12522,0.0625140375832896,1,1,1255,1255,calibration_rule_block,13978.0,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_selection,2-of-3,36,198,6,0.1538461538461538,0.8571428571428571,0.2608695652173913,0.3399627986836457,95.0,60.0,42,501,12856,0.0375084225499737,2,3,1255,924,calibration_rule_block,13978.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_selection,3-of-5,36,100,6,0.2647058823529412,0.8571428571428571,0.4044943820224719,0.1716983831735584,155.0,120.0,42,304,13053,0.0227596017069701,3,5,1255,725,calibration_rule_block,13978.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_selection,4-of-7,35,70,7,0.3333333333333333,0.8333333333333334,0.4761904761904761,0.1201888682214909,236.57142857142856,180.0,42,241,13116,0.018042973721644,4,7,1255,650,calibration_rule_block,13978.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,post_hoc_sensitivity,1-of-1,37,1431,5,0.0252043596730245,0.8809523809523809,0.0490066225165563,0.9858200815201792,30.81081081081081,0.0,42,1967,32250,0.0574860449484174,1,1,2373,2373,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,post_hoc_sensitivity,2-of-3,35,434,7,0.0746268656716417,0.8333333333333334,0.136986301369863,0.2989838681899076,96.0,60.0,42,1025,33192,0.0299558698892363,2,3,2373,1429,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,post_hoc_sensitivity,3-of-5,34,174,8,0.1634615384615384,0.8095238095238095,0.272,0.1198691084448016,176.47058823529412,120.0,42,490,33727,0.0143203670690007,3,5,2373,894,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,post_hoc_sensitivity,4-of-7,33,90,9,0.2682926829268293,0.7857142857142857,0.3999999999999999,0.0620012629886905,216.3636363636364,180.0,42,289,33928,0.0084460940468188,4,7,2373,693,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,clean_test_no_events,1-of-1,0,1454,0,0.0,,,1.0016648487284,,,0,1997,32841,0.057322463976118,1,1,1997,1997,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,clean_test_no_events,2-of-3,0,442,0,0.0,,,0.3044950915666801,,,0,1040,33798,0.0298524599575176,2,3,1997,1040,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
