dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,applicable,note,mae,rmse,pct_mae_improvement,pct_rmse_improvement,n_seeds,n_test,mae_std,rmse_std,seeds_used
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,persistence,True,,18.916745751765312,37.84220951840036,0.0,0.0,1,34838.0,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,seasonal_naive,True,,36.535110614845856,79.06979368406134,-93.13634117769118,-108.94602796809346,1,34838.0,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,True,,21.34873021294618,39.710225211418525,-12.856251773399844,-4.936328287358229,5,34838.0,0.0971779075762199,0.0470737359209204,"42,43,44,45,46"
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,attention_lstm,True,,19.8654064566084,35.305224500096884,-5.01492549137084,6.70411440185567,3,34700.0,0.9987077537555272,0.7956142232687663,"42,43,44"
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,persistence,True,,35.99321614107645,70.02285072881378,0.0,0.0,1,34818.0,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,seasonal_naive,True,,36.52653519731174,79.07606585618335,-1.481721039167286,-12.92894395635374,1,34818.0,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,True,,28.14157218991332,52.6496262862125,21.81423277205456,24.81079285087197,5,34818.0,0.1232074410242384,0.1644598560822725,"42,43,44,45,46"
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,attention_lstm,True,,30.278125018887454,57.16367378932886,15.87824522206776,18.36425796099941,3,34680.0,2.6355691910314585,2.9216109308521614,"42,43,44"
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,persistence,True,,60.91129144245143,106.77716740059824,0.0,0.0,1,34788.0,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,seasonal_naive,True,,36.530802451994944,79.09887745427744,40.02622241804051,25.921543547301223,1,34788.0,,,
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,True,,31.676645455114045,60.0627422315755,47.99544599207534,43.74945159742177,5,34788.0,0.2348767970427703,0.1494966684703426,"42,43,44,45,46"
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,attention_lstm,True,,40.70410072382517,75.02924618731939,33.17478621795086,29.73287453315697,3,34650.0,2.95038399224067,5.1983017228905775,"42,43,44"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,persistence,True,,0.202601899485556,0.3253274506378214,0.0,0.0,1,10108.0,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,seasonal_naive,True,,1.476810447170558,2.1972867032664185,-628.9223106597,-575.4077158132593,1,10108.0,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,True,,0.3427870573806914,0.5013628122812165,-69.1924203332208,-54.11020843715111,5,10108.0,0.0069807580209462,0.0059869388128907,"42,43,44,45,46"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,attention_lstm,True,,0.8028620711607002,1.0739033997270842,-296.275688036152,-230.09922698550048,3,10108.0,0.0942038386737358,0.1176908004112309,"42,43,44"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,persistence,True,,0.3750940035622403,0.6058173361381183,0.0,0.0,1,10106.0,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,seasonal_naive,True,,1.4770631308133784,2.197501865042041,-293.7847890890864,-262.7334072429119,1,10106.0,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,True,,0.5316771750164202,0.7282952625552968,-41.74504789922552,-20.21697285817769,5,10106.0,0.0,0.0,"42,43,44,45,46"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,attention_lstm,True,,0.8126456875388702,1.074935177277692,-116.6512073830116,-77.43552604982258,3,10106.0,0.0247261919869583,0.0200017677231072,"42,43,44"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,persistence,True,,0.5457190933386123,0.8723348149066551,0.0,0.0,1,10103.0,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,seasonal_naive,True,,1.4774324458081758,2.19782337683528,-170.73130917401238,-151.94722705988298,1,10103.0,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,True,,0.6932987235034442,0.9500461027868468,-27.043149482266774,-8.908424443487027,5,10103.0,0.0096864340216832,0.00589327070542,"42,43,44,45,46"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,attention_lstm,True,,1.0566345066076976,1.3689137164227851,-93.62241847603237,-56.9252645922732,3,10103.0,0.0245611763931161,0.0185316601023084,"42,43,44"
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,persistence,True,,0.1417155656410763,3.462749137985321,0.0,0.0,1,10108.0,,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,seasonal_naive,True,,0.198186152057776,3.467963505018397,-39.84783616481688,-0.1505846027330117,1,10108.0,,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,xgboost,True,,0.0977431125157569,2.4509902444031786,31.028668535034942,29.218371105300424,5,10108.0,0.000304857142252,5.866419572502901e-05,"42,43,44,45,46"
