dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,mae_a,mae_b,rmse_a,rmse_b,pct_mae_improvement,pct_rmse_improvement,median_abs_error_difference,mean_abs_error_difference,mean_difference_ci_low,mean_difference_ci_high,win_rate_a
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,persistence,10108,0.34278705738069143,0.20260189948555601,0.5013628122812165,0.3253274506378214,-69.1924203332208,-54.11020843715111,0.09252262115478516,0.1401851578951354,0.12903155344203385,0.15226463228900491,0.28066877720617334
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,attention_lstm,persistence,10108,0.8028620711607002,0.20260189948555601,1.0739033997270842,0.3253274506378214,-296.27568803615196,-230.09922698550048,0.4057598114013672,0.6002601716751443,0.5520068595755653,0.6514720984792162,0.16224772457459438
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,attention_lstm,10108,0.34278705738069143,0.8028620711607002,0.5013628122812165,1.0739033997270842,57.30436525851531,53.31397475707498,-0.28091583251953267,-0.46007501378000887,-0.5089894994681751,-0.4149434306897992,0.7636525524337159
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,seasonal_naive,persistence,10108,1.4768104471705579,0.20260189948555601,2.1972867032664185,0.3253274506378214,-628.9223106597,-575.4077158132593,0.6999999999999993,1.2742085476850018,1.1474732884843688,1.4058943411159477,0.0884447962010289
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,persistence,10106,0.5316771750164202,0.3750940035622403,0.7282952625552968,0.6058173361381183,-41.74504789922552,-20.21697285817769,0.1364562988281257,0.1565831714541799,0.13921289674791748,0.17325426399129792,0.3259449831783099
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,attention_lstm,persistence,10106,0.8126456875388702,0.3750940035622403,1.074935177277692,0.6058173361381183,-116.65120738301161,-77.43552604982258,0.31233882904052557,0.4375516839766299,0.39405130378236963,0.4841437268743132,0.2601424896101326
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,attention_lstm,10106,0.5316771750164202,0.8126456875388702,0.7282952625552968,1.074935177277692,34.574540520035775,32.2475179945522,-0.15967845916748047,-0.2809685125224499,-0.32565115277139167,-0.2447163343354072,0.6602018602810211
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,seasonal_naive,persistence,10106,1.4770631308133784,0.3750940035622403,2.197501865042041,0.6058173361381183,-293.7847890890864,-262.7334072429119,0.5000000000000036,1.101969127251138,0.9713702256085494,1.234123293093212,0.1673263407876509
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,persistence,10103,0.6932987235034442,0.5457190933386123,0.9500461027868469,0.8723348149066551,-27.043149482266774,-8.908424443487027,0.12597160339355895,0.14757963016483203,0.11740630287469453,0.17448023539798677,0.38325249925764626
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,attention_lstm,persistence,10103,1.0566345066076976,0.5457190933386123,1.3689137164227851,0.8723348149066551,-93.62241847603235,-56.925264592273194,0.41429061889648366,0.5109154132690853,0.45858982755820915,0.5671158399934002,0.26309017123626643
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,attention_lstm,10103,0.6932987235034442,1.0566345066076976,0.9500461027868469,1.3689137164227851,34.38613643905451,30.598540186339413,-0.25678596496582173,-0.36333578310425324,-0.4176560236205798,-0.3152799588954533,0.6710877957042463
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,seasonal_naive,persistence,10103,1.4774324458081758,0.5457190933386123,2.19782337683528,0.8723348149066551,-170.73130917401238,-151.94722705988298,0.40000000000000213,0.9317133524695635,0.7979313075324163,1.0651618331188755,0.23705829951499555
