dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,persistence,0.14171556564107637,0.08577851392461416,0.2440345247885338,3.462749137985321,0.1883290453296653,5.99122684084559
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,seasonal_naive,0.198186152057776,0.14178381294519193,0.27888422227443604,3.467963505018397,0.2770890806341848,5.47297042955365
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,xgboost,0.09774311251575692,0.06746707459614838,0.15340601919208946,2.4509902444031786,0.14317195797629298,4.239985751585969
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,attention_lstm,0.10198547555923132,0.07205111571415511,0.15684111643439586,2.4510685308000872,0.14486362809798484,4.2400210350117655
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,persistence,0.13034954482485653,0.07558721304175738,0.23354491221180487,3.4574979182886185,0.1750992953659937,5.982947547803223
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,seasonal_naive,0.19822073520680783,0.14149783776345737,0.2764636648401939,3.4683066312365676,0.2771206748163166,5.473469375066836
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,xgboost,0.10418214682875211,0.073643840356534,0.15871456609021478,2.4517226073802143,0.15345052012525442,4.240431587467722
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,attention_lstm,0.10559620229756268,0.07492353021586158,0.16085265031640666,2.451804966139684,0.15055888653050353,4.240782304232056
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,persistence,0.14165656240720578,0.08602528719810948,0.2466693641430763,3.457333492768957,0.1947600312484707,5.9815582643024285
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,seasonal_naive,0.19827650202910027,0.14134885290878949,0.2761795885194992,3.4688215298816774,0.27719378632816927,5.474282871914834
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,xgboost,0.11174286867880083,0.08073987996667155,0.16644969150858369,2.4524244399884307,0.16110579153078616,4.241059378494349
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,attention_lstm,0.11498698518144769,0.08373002900749277,0.1699295804472748,2.4529228954698703,0.15762976380130422,4.242076192520827
