dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,mae_a,mae_b,rmse_a,rmse_b,pct_mae_improvement,pct_rmse_improvement,median_abs_error_difference,mean_abs_error_difference,mean_difference_ci_low,mean_difference_ci_high,win_rate_a
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,xgboost,persistence,10108,0.09774311251575692,0.14171556564107637,2.4509902444031786,3.462749137985321,31.028668535034946,29.218371105300424,-0.0032440274953842163,-0.043972453125319465,-0.09256837760678926,-0.016224615997468984,0.5574792243767313
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,attention_lstm,persistence,10108,0.10198547555923132,0.14171556564107637,2.4510685308000872,3.462749137985321,28.035092618174087,29.216110289001318,-0.0013342052698135376,-0.03973009008184506,-0.08942580366165159,-0.012041889508610478,0.5165215670755837
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,xgboost,attention_lstm,10108,0.09774311251575692,0.10198547555923132,2.4509902444031786,2.4510685308000872,4.159771791239543,0.0031939701368978463,-0.002557162195444107,-0.004242363043474405,-0.006635041815458365,-0.0022157344993385944,0.5592599920854768
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,seasonal_naive,persistence,10108,0.198186152057776,0.14171556564107637,3.467963505018397,3.462749137985321,-39.84783616481688,-0.15058460273301172,0.0078125,0.05647058641669964,-0.005115456198060939,0.12486255858602097,0.34418282548476453
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,xgboost,persistence,10106,0.10418214682875211,0.13034954482485653,2.4517226073802143,3.4574979182886185,20.074790465332352,29.089686665848802,-0.0006330385804176331,-0.026167397996104402,-0.07895655182884906,0.002877617004890911,0.5164258856125075
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,attention_lstm,persistence,10106,0.10559620229756268,0.13034954482485653,2.451804966139684,3.4574979182886185,18.989972355142125,29.087304632325832,0.002676665782928467,-0.024753342527293838,-0.075036173336084,0.0024106184630338654,0.44755590738175344
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,xgboost,attention_lstm,10106,0.10418214682875211,0.10559620229756268,2.4517226073802143,2.451804966139684,1.339115837542966,0.003359107294707665,-0.002503763884305954,-0.0014140554688105648,-0.0052891815198829045,0.0023678897121578724,0.5662972491589155
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,seasonal_naive,persistence,10106,0.19822073520680783,0.13034954482485653,3.4683066312365676,3.4574979182886185,-52.06860558903068,-0.31261661477150254,0.0078125,0.06787119038195132,0.005270383930338453,0.13776911998441518,0.3078369285572927
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,xgboost,persistence,10103,0.11174286867880083,0.14165656240720578,2.4524244399884307,3.457333492768957,21.11705467087016,29.06601445542648,-0.0003148093819618225,-0.029913693728404956,-0.08300270217534524,-0.0017043521621331052,0.50371176878155
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,attention_lstm,persistence,10103,0.11498698518144769,0.14165656240720578,2.4529228954698703,3.457333492768957,18.826926739259534,29.051597116674458,0.006787627935409546,-0.026669577225758086,-0.07839751073691079,0.0010998900535436258,0.40037612590319704
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,xgboost,attention_lstm,10103,0.11174286867880083,0.11498698518144769,2.4524244399884307,2.4529228954698703,2.8212901638630616,0.020320878506215004,-0.006414264440536499,-0.0032441165026468677,-0.006742860158546057,0.00024428701804959804,0.6020983866178363
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,seasonal_naive,persistence,10103,0.19827650202910027,0.14165656240720578,3.4688215298816774,3.457333492768957,-39.969867021857326,-0.33228027139261296,0.0078125,0.05661993962189449,-0.008277611693308895,0.12916267135999196,0.33762248836979114
