dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
pleia_energy,static,14,-35,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,158,-34,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,302,-33,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,446,-32,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,590,-31,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,734,-30,144,0.9791666666666666,0.029166666666666674,0.9407170666103087,False
pleia_energy,static,878,-29,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,1022,-28,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,1166,-27,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,1310,-26,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,1454,-25,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,1598,-24,144,0.9930555555555556,0.043055555555555625,0.9407170666103087,False
pleia_energy,static,1742,-23,144,0.9791666666666666,0.029166666666666674,0.9407170666103087,False
pleia_energy,static,1886,-22,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2030,-21,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2174,-20,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2318,-19,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2462,-18,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2606,-17,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2750,-16,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,2894,-15,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,3038,-14,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,3182,-13,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,3326,-12,144,1.0,0.050000000000000044,0.9407170666103087,False
pleia_energy,static,3470,-11,144,1.0,0.050000000000000044,0.9407170666103087,False
