event_id,event_type,severity,lo,hi,nuisance_violations,alert_steps_3of5,alert_steps_4of7,difference,qualifies
1,bias_negative,1.0sd,144,281,1,18,18,0,False
3,drift,2.0sd,679,834,11,57,53,4,True
4,level_shift,0.5sd,740,871,9,51,51,0,False
5,bias_negative,1.0sd,855,992,4,20,21,-1,False
6,bias_positive,0.5sd,1029,1166,3,19,19,0,False
7,bias_negative,0.5sd,1568,1705,3,18,18,0,False
8,stuck,stuck,1884,2021,5,0,0,0,False
9,bias_positive,2.0sd,2032,2169,10,21,19,2,True
10,level_shift,1.0sd,2197,2328,4,30,30,0,False
11,bias_negative,1.0sd,2243,2380,6,30,30,0,False
12,bias_positive,2.0sd,2503,2640,10,18,18,0,False
13,drift,1.0sd,2700,2855,17,52,47,5,True
14,level_shift,1.0sd,3116,3247,9,12,12,0,False
15,level_shift,1.0sd,3246,3377,9,31,30,1,True
16,bias_negative,2.0sd,3268,3405,7,31,30,1,True
17,bias_positive,2.0sd,3467,3604,15,20,20,0,False
18,level_shift,2.0sd,4057,4188,11,17,14,3,True
19,drift,1.0sd,4266,4421,17,31,33,-2,False
20,bias_positive,1.0sd,4411,4548,9,27,26,1,True
21,bias_positive,0.5sd,4482,4619,13,41,39,2,True
22,bias_negative,2.0sd,4550,4687,18,42,37,5,True
23,drift,1.0sd,5073,5228,1,29,29,0,False
25,level_shift,0.5sd,5528,5659,4,15,13,2,True
26,bias_negative,2.0sd,6037,6174,0,18,18,0,False
27,dropout,dropout,6066,6197,0,18,18,0,False
28,level_shift,2.0sd,6248,6379,1,12,12,0,False
29,bias_positive,0.5sd,6474,6611,4,32,32,0,False
30,bias_negative,0.5sd,6533,6670,3,33,34,-1,False
31,dropout,dropout,7156,7287,5,3,0,3,True
32,level_shift,2.0sd,7424,7555,7,12,12,0,False
33,dropout,dropout,7672,7803,2,18,18,0,False
34,bias_positive,1.0sd,7709,7846,7,22,23,-1,False
35,level_shift,0.5sd,8089,8220,9,14,12,2,True
36,drift,2.0sd,8255,8410,7,34,31,3,True
37,drift,2.0sd,8359,8514,7,34,31,3,True
38,stuck,stuck,8552,8689,8,7,7,0,False
39,bias_positive,1.0sd,9099,9236,0,18,18,0,False
40,stuck,stuck,9560,9697,2,9,8,1,True
41,bias_negative,0.5sd,9627,9764,1,18,18,0,False
