dataset,group_id,target_id,n_rows,start,end,freq,season_steps,seasonal_naive_supported,n_train,n_calibration,n_test
rico,P1S1,B.RTD3,240,2023-07-26 15:01:00,2023-07-26 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S2,B.RTD3,240,2023-07-26 19:01:00,2023-07-26 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S4,B.RTD3,240,2023-07-27 03:01:00,2023-07-27 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S5,B.RTD3,240,2023-07-27 07:01:00,2023-07-27 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S7,B.RTD3,240,2023-07-27 15:01:00,2023-07-27 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S8,B.RTD3,240,2023-07-27 19:01:00,2023-07-27 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S9,B.RTD3,240,2023-07-27 23:01:00,2023-07-28 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S10,B.RTD3,240,2023-07-28 03:01:00,2023-07-28 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S11,B.RTD3,240,2023-07-28 07:01:00,2023-07-28 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S12,B.RTD3,240,2023-07-28 11:01:00,2023-07-28 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S13,B.RTD3,240,2023-07-28 15:01:00,2023-07-28 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S14,B.RTD3,240,2023-07-28 19:01:00,2023-07-28 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S15,B.RTD3,240,2023-07-28 23:01:00,2023-07-29 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S16,B.RTD3,240,2023-07-29 03:01:00,2023-07-29 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S17,B.RTD3,240,2023-07-29 07:01:00,2023-07-29 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S20,B.RTD3,240,2023-07-29 19:01:00,2023-07-29 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S21,B.RTD3,240,2023-07-29 23:01:00,2023-07-30 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S22,B.RTD3,240,2023-07-30 03:01:00,2023-07-30 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S23,B.RTD3,240,2023-07-30 07:01:00,2023-07-30 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S26,B.RTD3,240,2023-07-30 19:01:00,2023-07-30 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S27,B.RTD3,240,2023-07-30 23:01:00,2023-07-31 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S28,B.RTD3,240,2023-07-31 03:01:00,2023-07-31 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S29,B.RTD3,240,2023-07-31 07:01:00,2023-07-31 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S31,B.RTD3,240,2023-07-31 15:01:00,2023-07-31 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S32,B.RTD3,240,2023-07-31 19:01:00,2023-07-31 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S33,B.RTD3,240,2023-07-31 23:01:00,2023-08-01 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S34,B.RTD3,240,2023-08-01 03:01:00,2023-08-01 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S37,B.RTD3,240,2023-08-01 15:01:00,2023-08-01 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S38,B.RTD3,240,2023-08-01 19:01:00,2023-08-01 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S39,B.RTD3,240,2023-08-01 23:01:00,2023-08-02 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S40,B.RTD3,240,2023-08-02 03:01:00,2023-08-02 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S41,B.RTD3,240,2023-08-02 07:01:00,2023-08-02 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S42,B.RTD3,240,2023-08-02 11:01:00,2023-08-02 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S43,B.RTD3,240,2023-08-02 15:01:00,2023-08-02 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S44,B.RTD3,240,2023-08-02 19:01:00,2023-08-02 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S45,B.RTD3,240,2023-08-02 23:01:00,2023-08-03 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S46,B.RTD3,240,2023-08-03 03:01:00,2023-08-03 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S47,B.RTD3,240,2023-08-03 07:01:00,2023-08-03 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S49,B.RTD3,240,2023-08-03 15:01:00,2023-08-03 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S50,B.RTD3,240,2023-08-03 19:01:00,2023-08-03 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S51,B.RTD3,240,2023-08-03 23:01:00,2023-08-04 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S52,B.RTD3,240,2023-08-04 03:01:00,2023-08-04 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S53,B.RTD3,240,2023-08-04 07:01:00,2023-08-04 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S55,B.RTD3,240,2023-08-04 15:01:00,2023-08-04 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S56,B.RTD3,240,2023-08-04 19:01:00,2023-08-04 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S57,B.RTD3,240,2023-08-04 23:01:00,2023-08-05 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S58,B.RTD3,240,2023-08-05 03:01:00,2023-08-05 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S59,B.RTD3,240,2023-08-05 07:01:00,2023-08-05 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S60,B.RTD3,240,2023-08-05 11:01:00,2023-08-05 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S61,B.RTD3,240,2023-08-05 15:01:00,2023-08-05 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S62,B.RTD3,240,2023-08-05 19:01:00,2023-08-05 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S63,B.RTD3,240,2023-08-05 23:01:00,2023-08-06 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S64,B.RTD3,240,2023-08-06 03:01:00,2023-08-06 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S65,B.RTD3,240,2023-08-06 07:01:00,2023-08-06 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S67,B.RTD3,240,2023-08-06 15:01:00,2023-08-06 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S68,B.RTD3,240,2023-08-06 19:01:00,2023-08-06 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S69,B.RTD3,240,2023-08-06 23:01:00,2023-08-07 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S70,B.RTD3,240,2023-08-07 03:01:00,2023-08-07 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S72,B.RTD3,240,2023-08-07 11:01:00,2023-08-07 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S73,B.RTD3,240,2023-08-07 15:01:00,2023-08-07 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S74,B.RTD3,240,2023-08-07 19:01:00,2023-08-07 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S75,B.RTD3,240,2023-08-07 23:01:00,2023-08-08 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S76,B.RTD3,240,2023-08-08 03:01:00,2023-08-08 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S77,B.RTD3,240,2023-08-08 07:01:00,2023-08-08 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S78,B.RTD3,240,2023-08-08 11:01:00,2023-08-08 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S79,B.RTD3,240,2023-08-08 15:01:00,2023-08-08 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S80,B.RTD3,240,2023-08-08 19:01:00,2023-08-08 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S81,B.RTD3,240,2023-08-08 23:01:00,2023-08-09 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S82,B.RTD3,240,2023-08-09 03:01:00,2023-08-09 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S83,B.RTD3,240,2023-08-09 07:01:00,2023-08-09 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S85,B.RTD3,240,2023-08-09 15:01:00,2023-08-09 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S86,B.RTD3,240,2023-08-09 19:01:00,2023-08-09 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S87,B.RTD3,240,2023-08-09 23:01:00,2023-08-10 03:00:00,0 days 00:01:00,,False,240,0,0
